META; english/premier-league/bournemouth-v-man-utd; 2018-04-02 14:16:44 GMT+3; 2018-04-18 19:45; Nothing; Xlenovo
Man Utd; 8/13; 57/100; 5/9; 1/2; 1/2; 1/2
Draw; 14/5; 69/20; 16/5; 16/5; 16/5; 16/5
Bournemouth; 9/2; 11/2; 5; 11/2; 27/5; 11/2
META; english/premier-league/bournemouth-v-man-utd; 2018-04-02 18:16:42 GMT+3; 2018-04-18 19:45; Nothing; Xlenovo
Man Utd; 8/13; 57/100; 5/9; 1/2; 1/2; 1/2
Draw; 14/5; 69/20; 16/5; 16/5; 16/5; 16/5
Bournemouth; 9/2; 11/2; 5; 11/2; 27/5; 11/2
META; english/premier-league/bournemouth-v-man-utd; 2018-04-02 22:16:42 GMT+3; 2018-04-18 19:45; Nothing; Xlenovo
Man Utd; 8/13; 57/100; 5/9; 1/2; 1/2; 1/2
Draw; 14/5; 69/20; 16/5; 16/5; 16/5; 16/5
Bournemouth; 9/2; 11/2; 5; 11/2; 27/5; 11/2
META; english/premier-league/bournemouth-v-man-utd; 2018-04-03 02:16:37 GMT+3; 2018-04-18 19:45; Nothing; Xlenovo
Man Utd; 8/13; 57/100; 5/9; 1/2; 1/2; 1/2
Draw; 14/5; 69/20; 16/5; 16/5; 16/5; 16/5
Bournemouth; 9/2; 11/2; 5; 11/2; 27/5; 11/2
META; english/premier-league/bournemouth-v-man-utd; 2018-04-03 10:16:38 GMT+3; 2018-04-18 19:45; Nothing; Xlenovo
Man Utd; 8/13; 57/100; 5/9; 1/2; 1/2; 1/2
Draw; 14/5; 69/20; 16/5; 16/5; 16/5; 16/5
Bournemouth; 9/2; 11/2; 5; 11/2; 27/5; 11/2
META; english/premier-league/bournemouth-v-man-utd; 2018-04-03 14:16:41 GMT+3; 2018-04-18 19:45; Nothing; Xlenovo
Man Utd; 8/13; 57/100; 5/9; 1/2; 1/2; 1/2
Draw; 14/5; 69/20; 16/5; 16/5; 16/5; 16/5
Bournemouth; 9/2; 11/2; 5; 11/2; 27/5; 11/2
META; english/premier-league/bournemouth-v-man-utd; 2018-04-03 18:16:41 GMT+3; 2018-04-18 19:45; Nothing; Xlenovo
Man Utd; 8/13; 57/100; 5/9; 1/2; 1/2; 1/2
Draw; 14/5; 69/20; 16/5; 16/5; 16/5; 16/5
Bournemouth; 9/2; 11/2; 5; 11/2; 27/5; 11/2
META; english/premier-league/bournemouth-v-man-utd; 2018-04-03 22:16:40 GMT+3; 2018-04-18 19:45; Nothing; Xlenovo
Man Utd; 8/13; 57/100; 5/9; 1/2; 1/2; 1/2
Draw; 14/5; 69/20; 16/5; 16/5; 16/5; 16/5
Bournemouth; 9/2; 11/2; 5; 11/2; 27/5; 11/2
META; english/premier-league/bournemouth-v-man-utd; 2018-04-04 02:16:43 GMT+3; 2018-04-18 19:45; Nothing; Xlenovo
Man Utd; 8/13; 57/100; 5/9; 1/2; 1/2; 1/2
Draw; 14/5; 69/20; 16/5; 16/5; 16/5; 16/5
Bournemouth; 9/2; 11/2; 5; 11/2; 27/5; 11/2
META; english/premier-league/bournemouth-v-man-utd; 2018-04-04 10:16:40 GMT+3; 2018-04-18 19:45; Nothing; Xlenovo
Man Utd; 8/13; 57/100; 5/9; 1/2; 1/2; 1/2
Draw; 14/5; 69/20; 16/5; 16/5; 16/5; 16/5
Bournemouth; 9/2; 11/2; 5; 11/2; 27/5; 11/2
META; english/premier-league/bournemouth-v-man-utd; 2018-04-04 14:16:43 GMT+3; 2018-04-18 19:45; Nothing; Xlenovo
Man Utd; 8/13; 57/100; 5/9; 1/2; 1/2; 1/2
Draw; 14/5; 69/20; 16/5; 16/5; 16/5; 16/5
Bournemouth; 9/2; 11/2; 5; 11/2; 27/5; 11/2
META; english/premier-league/bournemouth-v-man-utd; 2018-04-04 18:16:44 GMT+3; 2018-04-18 19:45; Nothing; Xlenovo
Man Utd; 8/13; 57/100; 5/9; 1/2; 1/2; 1/2
Draw; 14/5; 69/20; 16/5; 16/5; 16/5; 16/5
Bournemouth; 9/2; 11/2; 5; 11/2; 27/5; 11/2
META; english/premier-league/bournemouth-v-man-utd; 2018-04-04 22:16:41 GMT+3; 2018-04-18 19:45; Nothing; Xlenovo
Man Utd; 8/13; 57/100; 5/9; 1/2; 1/2; 1/2
Draw; 14/5; 69/20; 16/5; 16/5; 16/5; 16/5
Bournemouth; 9/2; 11/2; 5; 11/2; 27/5; 11/2
META; english/premier-league/bournemouth-v-man-utd; 2018-04-05 02:16:40 GMT+3; 2018-04-18 19:45; Nothing; Xlenovo
Man Utd; 8/13; 57/100; 5/9; 1/2; 1/2; 1/2
Draw; 14/5; 69/20; 16/5; 16/5; 16/5; 16/5
Bournemouth; 9/2; 11/2; 5; 11/2; 27/5; 11/2
META; english/premier-league/bournemouth-v-man-utd; 2018-04-05 10:16:39 GMT+3; 2018-04-18 19:45; Nothing; Xlenovo
Man Utd; 8/13; 57/100; 5/9; 1/2; 1/2
Draw; 14/5; 69/20; 16/5; 16/5; 16/5
Bournemouth; 9/2; 11/2; 5; 11/2; 27/5
META; english/premier-league/bournemouth-v-man-utd; 2018-04-05 14:16:42 GMT+3; 2018-04-18 19:45; Nothing; Xlenovo
Man Utd; 8/13; 57/100; 5/9; 1/2; 1/2
Draw; 14/5; 69/20; 16/5; 16/5; 16/5
Bournemouth; 9/2; 11/2; 5; 11/2; 27/5
META; english/premier-league/bournemouth-v-man-utd; 2018-04-05 18:16:43 GMT+3; 2018-04-18 19:45; Nothing; Xlenovo
Man Utd; 8/13; 57/100; 5/9; 1/2; 11/20; 1/2
Draw; 14/5; 69/20; 16/5; 16/5; 14/5; 16/5
Bournemouth; 9/2; 11/2; 5; 11/2; 5; 27/5
META; english/premier-league/bournemouth-v-man-utd; 2018-04-05 22:16:41 GMT+3; 2018-04-18 19:45; Nothing; Xlenovo
Man Utd; 8/13; 57/100; 5/9; 1/2; 11/20; 1/2
Draw; 14/5; 69/20; 16/5; 16/5; 14/5; 16/5
Bournemouth; 9/2; 11/2; 5; 11/2; 5; 27/5
META; english/premier-league/bournemouth-v-man-utd; 2018-04-06 02:16:40 GMT+3; 2018-04-18 19:45; Nothing; Xlenovo
Man Utd; 8/13; 57/100; 5/9; 1/2; 11/20; 1/2
Draw; 14/5; 69/20; 16/5; 16/5; 14/5; 16/5
Bournemouth; 9/2; 11/2; 5; 11/2; 5; 27/5
META; english/premier-league/bournemouth-v-man-utd; 2018-04-06 10:16:42 GMT+3; 2018-04-18 19:45; Nothing; Xlenovo
Man Utd; 8/13; 57/100; 5/9; 1/2; 11/20; 1/2
Draw; 14/5; 69/20; 16/5; 16/5; 14/5; 16/5
Bournemouth; 9/2; 11/2; 5; 11/2; 5; 27/5
META; english/premier-league/bournemouth-v-man-utd; 2018-04-06 14:16:45 GMT+3; 2018-04-18 19:45; Nothing; Xlenovo
Man Utd; 8/13; 57/100; 5/9; 1/2; 11/20; 1/2
Draw; 14/5; 69/20; 16/5; 16/5; 14/5; 16/5
Bournemouth; 9/2; 11/2; 5; 11/2; 5; 27/5
META; english/premier-league/bournemouth-v-man-utd; 2018-04-06 18:16:42 GMT+3; 2018-04-18 19:45; Nothing; Xlenovo
Man Utd; 8/13; 57/100; 5/9; 1/2; 11/20; 1/2
Draw; 14/5; 69/20; 16/5; 16/5; 14/5; 16/5
Bournemouth; 9/2; 11/2; 5; 11/2; 5; 27/5
META; english/premier-league/bournemouth-v-man-utd; 2018-04-06 22:16:42 GMT+3; 2018-04-18 19:45; Nothing; Xlenovo
Man Utd; 8/13; 57/100; 5/9; 1/2; 11/20; 1/2
Draw; 14/5; 69/20; 16/5; 16/5; 14/5; 16/5
