META; english/premier-league/burnley-v-chelsea; 2018-04-02 14:16:48 GMT+3; 2018-04-19 19:45; Nothing; Xlenovo
Chelsea; 8/13; 8/11; 4/6; 4/6; 4/6
Draw; 11/4; 147/50; 14/5; 14/5; 27/10
Burnley; 9/2; 9/2; 4; 17/4; 
META; english/premier-league/burnley-v-chelsea; 2018-04-02 18:16:46 GMT+3; 2018-04-19 19:45; Nothing; Xlenovo
Chelsea; 8/13; 8/11; 4/6; 4/6; 4/6
Draw; 11/4; 147/50; 14/5; 14/5; 27/10
Burnley; 9/2; 9/2; 4; 17/4; 
META; english/premier-league/burnley-v-chelsea; 2018-04-02 22:16:45 GMT+3; 2018-04-19 19:45; Nothing; Xlenovo
Chelsea; 8/13; 8/11; 4/6; 4/6; 4/6
Draw; 11/4; 147/50; 14/5; 14/5; 27/10
Burnley; 9/2; 9/2; 4; 17/4; 
META; english/premier-league/burnley-v-chelsea; 2018-04-03 02:16:40 GMT+3; 2018-04-19 19:45; Nothing; Xlenovo
Chelsea; 8/13; 71/100; 4/6; 4/6; 4/6
Draw; 11/4; 147/50; 14/5; 14/5; 27/10
Burnley; 9/2; 47/10; 4; 17/4; 
META; english/premier-league/burnley-v-chelsea; 2018-04-03 10:16:41 GMT+3; 2018-04-19 19:45; Nothing; Xlenovo
Chelsea; 8/13; 71/100; 4/6; 4/6; 4/6
Draw; 11/4; 147/50; 14/5; 14/5; 27/10
Burnley; 9/2; 47/10; 4; 17/4; 
META; english/premier-league/burnley-v-chelsea; 2018-04-03 14:16:44 GMT+3; 2018-04-19 19:45; Nothing; Xlenovo
Chelsea; 8/13; 71/100; 4/6; 4/6; 4/6
Draw; 11/4; 147/50; 14/5; 14/5; 27/10
Burnley; 9/2; 47/10; 4; 17/4; 
META; english/premier-league/burnley-v-chelsea; 2018-04-03 18:16:44 GMT+3; 2018-04-19 19:45; Nothing; Xlenovo
Chelsea; 8/13; 71/100; 4/6; 4/6; 4/6
Draw; 11/4; 147/50; 14/5; 14/5; 27/10
Burnley; 9/2; 47/10; 4; 17/4; 
META; english/premier-league/burnley-v-chelsea; 2018-04-03 22:16:43 GMT+3; 2018-04-19 19:45; Nothing; Xlenovo
Chelsea; 8/13; 71/100; 4/6; 4/6; 4/6
Draw; 11/4; 147/50; 14/5; 14/5; 27/10
Burnley; 9/2; 47/10; 4; 17/4; 
META; english/premier-league/burnley-v-chelsea; 2018-04-04 02:16:46 GMT+3; 2018-04-19 19:45; Nothing; Xlenovo
Chelsea; 8/13; 71/100; 4/6; 4/6; 4/6
Draw; 11/4; 147/50; 14/5; 14/5; 27/10
Burnley; 9/2; 47/10; 4; 17/4; 
META; english/premier-league/burnley-v-chelsea; 2018-04-04 10:16:44 GMT+3; 2018-04-19 19:45; Nothing; Xlenovo
Chelsea; 8/13; 71/100; 4/6; 4/6; 4/6
Draw; 11/4; 147/50; 14/5; 14/5; 27/10
Burnley; 9/2; 47/10; 4; 17/4; 
META; english/premier-league/burnley-v-chelsea; 2018-04-04 14:16:46 GMT+3; 2018-04-19 19:45; Nothing; Xlenovo
Chelsea; 8/13; 71/100; 4/6; 4/6; 4/6
Draw; 11/4; 147/50; 14/5; 14/5; 27/10
Burnley; 9/2; 47/10; 4; 17/4; 
META; english/premier-league/burnley-v-chelsea; 2018-04-04 18:16:47 GMT+3; 2018-04-19 19:45; Nothing; Xlenovo
Chelsea; 8/13; 71/100; 4/6; 4/6; 4/6
Draw; 11/4; 147/50; 14/5; 14/5; 27/10
Burnley; 9/2; 47/10; 4; 17/4; 
META; english/premier-league/burnley-v-chelsea; 2018-04-04 22:16:45 GMT+3; 2018-04-19 19:45; Nothing; Xlenovo
Chelsea; 8/13; 71/100; 4/6; 4/6; 4/6
