META; english/premier-league/arsenal-v-chelsea; 2017-12-20 18:17:37 GMT+2; 2018-01-03 19:45; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
Chelsea; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; 
META; english/premier-league/arsenal-v-chelsea; 2017-12-20 22:17:43 GMT+2; 2018-01-03 19:45; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
Chelsea; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
META; english/premier-league/arsenal-v-chelsea; 2017-12-21 02:17:35 GMT+2; 2018-01-03 19:45; Nothing; Xlenovo
Chelsea; 5/6; ; ; 4/6; ; ; ; 9/4; ; ; ; ; ; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; 11/4; ; ; 11/4; ; ; ; 11/5; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
Arsenal; 3; ; ; 10/3; ; ; ; 6/5; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; 3/10; ; 
META; english/premier-league/arsenal-v-chelsea; 2017-12-21 10:17:38 GMT+2; 2018-01-03 19:45; Nothing; Xlenovo
Chelsea; 5/6; ; ; 8/11; ; ; ; 9/4; ; ; ; ; ; ; ; 17/20; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; 11/4; ; ; 11/4; ; ; ; 11/5; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Arsenal; 3; ; ; 3; ; ; ; 6/5; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 3/10; ; 
META; english/premier-league/arsenal-v-chelsea; 2017-12-21 14:17:46 GMT+2; 2018-01-03 19:45; Nothing; Xlenovo
Chelsea; 5/6; ; ; 8/11; ; 9/4; ; 9/4; ; ; ; ; ; ; ; 17/20; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Draw; 11/4; ; ; 11/4; ; 9/4; ; 11/5; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Arsenal; 3; ; ; 3; ; 23/20; ; 6/5; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; 2; ; 
META; english/premier-league/arsenal-v-chelsea; 2017-12-21 18:17:39 GMT+2; 2018-01-03 19:45; Nothing; Xlenovo
Chelsea; 5/6; ; ; 8/11; ; 9/4; ; 9/4; ; ; ; ; ; ; ; 17/20; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 11/4; ; ; 11/4; ; 9/4; ; 11/5; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal; 3; ; ; 3; ; 23/20; ; 6/5; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-chelsea; 2017-12-21 22:17:39 GMT+2; 2018-01-03 19:45; Nothing; Xlenovo
Chelsea; 5/6; ; ; 8/11; ; ; 9/4; ; ; ; ; ; ; ; 17/20; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; 11/4; ; ; 11/4; ; ; 11/5; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
Arsenal; 3; ; ; 3; ; ; 6/5; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; 
META; english/premier-league/arsenal-v-chelsea; 2017-12-22 02:17:38 GMT+2; 2018-01-03 19:45; Nothing; Xlenovo
Chelsea; 5/6; ; ; 8/11; ; 9/4; ; 9/4; ; ; ; ; ; ; ; 5/6; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
Draw; 11/4; ; ; 11/4; ; 9/4; ; 11/5; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
Arsenal; 3; ; ; 3; ; 23/20; ; 6/5; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
META; english/premier-league/arsenal-v-chelsea; 2017-12-22 10:17:46 GMT+2; 2018-01-03 19:45; Nothing; Xlenovo
Chelsea; 5/6; ; ; 8/11; ; 9/4; ; 9/4; ; ; ; ; ; ; ; 17/20; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
Draw; 11/4; ; ; 11/4; ; 9/4; ; 11/5; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
Arsenal; 3; ; ; 3; ; 23/20; ; 6/5; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
META; english/premier-league/arsenal-v-chelsea; 2017-12-22 14:17:44 GMT+2; 2018-01-03 19:45; Nothing; Xlenovo
Chelsea; 5/6; ; ; 8/11; ; 9/4; ; 9/4; ; ; ; ; ; ; ; 17/20; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
Draw; 11/4; ; ; 11/4; ; 9/4; ; 11/5; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
Arsenal; 3; ; ; 3; ; 23/20; ; 6/5; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
META; english/premier-league/arsenal-v-chelsea; 2017-12-22 18:17:45 GMT+2; 2018-01-03 19:45; Nothing; Xlenovo
Chelsea; 5/6; ; ; 8/11; ; 9/4; ; 9/4; ; ; ; ; ; ; ; 17/20; ; ; ; ; ; ; ; 23/10; ; ; 19/10; ; 
Draw; 11/4; ; ; 11/4; ; 9/4; ; 11/5; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; 23/10; ; ; 19/10; ; 
Arsenal; 3; ; ; 3; ; 23/20; ; 6/5; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; 6/5; ; ; 19/10; ; 
META; english/premier-league/arsenal-v-chelsea; 2017-12-22 22:17:49 GMT+2; 2018-01-03 19:45; Nothing; Xlenovo
Chelsea; 5/6; ; ; 8/11; ; 9/4; ; 9/4; ; ; ; ; ; ; ; 17/20; ; ; ; ; ; ; ; 23/10; ; ; 19/10; ; 
Draw; 11/4; ; ; 11/4; ; 9/4; ; 11/5; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; 23/10; ; ; 9/4; ; 
Arsenal; 3; ; ; 3; ; 23/20; ; 6/5; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; 6/5; ; ; 19/10; ; 
META; english/premier-league/arsenal-v-chelsea; 2017-12-23 02:17:38 GMT+2; 2018-01-03 19:45; Nothing; Xlenovo
Chelsea; 5/6; ; ; 8/11; ; 9/4; ; 9/4; ; ; ; ; ; ; ; 17/20; ; ; ; ; ; ; ; 23/10; ; ; 1/25; ; 
Draw; 11/4; ; ; 11/4; ; 9/4; ; 11/5; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; 23/10; ; ; 11/5; ; 
Arsenal; 3; ; ; 3; ; 23/20; ; 6/5; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; 6/5; ; ; 19/10; ; 
META; english/premier-league/arsenal-v-chelsea; 2017-12-23 10:17:39 GMT+2; 2018-01-03 19:45; Nothing; Xlenovo
Chelsea; 5/6; ; ; 8/11; ; 9/4; ; 9/4; ; ; ; ; ; ; ; 17/20; ; ; ; ; ; ; ; 23/10; ; ; 1/25; ; 
Draw; 11/4; ; ; 11/4; ; 9/4; ; 11/5; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; 23/10; ; ; 19/10; ; 
Arsenal; 3; ; ; 3; ; 23/20; ; 6/5; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; 6/5; ; ; 19/10; ; 
META; english/premier-league/arsenal-v-chelsea; 2017-12-23 14:17:46 GMT+2; 2018-01-03 19:45; Nothing; Xlenovo
Chelsea; 5/6; ; ; 8/11; 9/5; 9/4; 19/10; 9/4; ; ; ; ; ; ; ; 17/20; ; ; ; ; ; 15/8; ; 39/20; ; ; 1/25; ; 
Draw; 11/4; ; ; 11/4; 51/20; 9/4; 23/10; 11/5; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; 12/5; ; 23/10; ; ; 19/10; ; 
Arsenal; 3; ; ; 3; 33/20; 23/20; 7/5; 6/5; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; 7/5; ; 7/5; ; ; 19/10; ; 
META; english/premier-league/arsenal-v-chelsea; 2017-12-23 18:17:37 GMT+2; 2018-01-03 19:45; Nothing; Xlenovo
Chelsea; 5/6; ; ; 8/11; 9/5; 9/4; 19/10; 9/4; ; ; ; ; ; ; ; 17/20; ; ; ; ; ; 15/8; ; 39/20; ; ; 1/25; ; 
Draw; 11/4; ; ; 11/4; 51/20; 9/4; 23/10; 11/5; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; 12/5; ; 23/10; ; ; 11/5; ; 
Arsenal; 3; ; ; 3; 33/20; 23/20; 7/5; 6/5; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; 7/5; ; 7/5; ; ; 19/10; ; 
META; english/premier-league/arsenal-v-chelsea; 2017-12-23 22:17:16 GMT+2; 2018-01-03 19:45; Nothing; Xlenovo
Chelsea; 5/6; ; ; 8/11; 9/5; 9/4; 19/10; 9/4; ; ; ; ; ; ; ; 17/20; ; ; ; ; ; 15/8; ; 39/20; ; ; 1/25; ; 
Draw; 11/4; ; ; 11/4; 51/20; 9/4; 23/10; 11/5; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; 12/5; ; 23/10; ; ; 23/10; ; 
Arsenal; 3; ; ; 3; 33/20; 23/20; 7/5; 6/5; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; 7/5; ; 7/5; ; ; 27/20; ; 
META; english/premier-league/arsenal-v-chelsea; 2017-12-24 02:17:13 GMT+2; 2018-01-03 19:45; Nothing; Xlenovo
Chelsea; 5/6; ; ; 8/11; 9/5; 9/4; 19/10; 9/4; ; ; ; ; ; ; ; 17/20; ; ; ; ; ; 15/8; ; 39/20; ; ; 1/25; ; 
Draw; 11/4; ; ; 11/4; 51/20; 9/4; 23/10; 11/5; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; 12/5; ; 23/10; ; ; 11/5; ; 
Arsenal; 3; ; ; 3; 33/20; 23/20; 7/5; 6/5; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; 7/5; ; 7/5; ; ; 19/10; ; 
META; english/premier-league/arsenal-v-chelsea; 2017-12-24 10:17:10 GMT+2; 2018-01-03 19:45; Nothing; Xlenovo
