META; english/premier-league/arsenal-v-swansea; 2017-10-02 18:17:33 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; 1/4; 2/9; ; ; ; ; ; ; ; ; ; ; 3/10; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 9/2; 9/2; ; ; ; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; ; 
Swansea; ; ; ; ; ; ; 11; 11; ; ; ; ; ; ; ; ; ; ; 23/2; ; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-swansea; 2017-10-02 22:17:40 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; 1/4; 2/9; ; ; ; ; ; ; ; ; 1/5; ; 3/10; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 9/2; 9/2; ; ; ; ; ; ; ; ; 11/2; ; 5; ; ; ; ; ; ; ; ; 
Swansea; ; ; ; ; ; ; 11; 11; ; ; ; ; ; ; ; ; 11; ; 23/2; ; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-swansea; 2017-10-03 02:17:31 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; 1/4; 2/9; ; ; ; ; ; ; ; ; 1/5; ; 3/10; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 5; 9/2; ; ; ; ; ; ; ; ; 11/2; ; 5; ; ; ; ; ; ; ; ; 
Swansea; ; ; ; ; ; ; 11; 11; ; ; ; ; ; ; ; ; 11; ; 23/2; ; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-swansea; 2017-10-03 10:17:35 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; 1/4; 2/9; ; ; ; ; ; ; ; 1/4; 1/5; ; 3/10; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 5; 9/2; ; ; ; ; ; ; ; 9/2; 11/2; ; 5; ; ; ; ; ; ; ; ; 
Swansea; ; ; ; ; ; ; 11; 11; ; ; ; ; ; ; ; 11; 11; ; 23/2; ; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-swansea; 2017-10-03 14:17:43 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; 2/9; 2/9; ; ; ; ; ; ; ; 2/9; 1/5; ; 7/25; ; ; 1/4; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 5; 9/2; ; ; ; ; ; ; ; 5; 11/2; ; 27/5; ; ; 21/4; ; ; ; ; ; 
Swansea; ; ; ; ; ; ; 11; 11; ; ; ; ; ; ; ; 11; 11; ; 12; ; ; 12; ; ; ; ; ; 
META; english/premier-league/arsenal-v-swansea; 2017-10-03 18:17:38 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; 2/9; 2/9; ; ; ; ; ; ; ; 2/9; 1/5; ; 7/25; ; ; 1/4; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 5; 9/2; ; ; ; ; ; ; ; 5; 11/2; ; 27/5; ; ; 21/4; ; ; ; ; ; 
Swansea; ; ; ; ; ; ; 11; 11; ; ; ; ; ; ; ; 11; 11; ; 12; ; ; 12; ; ; ; ; ; 
META; english/premier-league/arsenal-v-swansea; 2017-10-03 22:17:37 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; 2/9; 2/9; ; ; ; ; ; ; ; 2/9; 1/5; ; 7/25; ; ; 1/4; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 5; 9/2; ; ; ; ; ; ; ; 5; 11/2; ; 27/5; ; ; 21/4; ; ; ; ; ; 
Swansea; ; ; ; ; ; ; 11; 11; ; ; ; ; ; ; ; 11; 11; ; 12; ; ; 12; ; ; ; ; ; 
META; english/premier-league/arsenal-v-swansea; 2017-10-04 02:17:34 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; 2/9; 2/9; ; ; ; ; ; ; ; 2/9; 1/5; ; 7/25; ; ; 1/4; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 5; 9/2; ; ; ; ; ; ; ; 5; 11/2; ; 27/5; ; ; 21/4; ; ; ; ; ; 
Swansea; ; ; ; ; ; ; 11; 11; ; ; ; ; ; ; ; 11; 11; ; 12; ; ; 12; ; ; ; ; ; 
META; english/premier-league/arsenal-v-swansea; 2017-10-04 10:17:41 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; 2/9; 2/9; ; ; ; ; ; ; ; 2/9; 1/5; ; 7/25; ; ; 1/4; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 5; 9/2; ; ; ; ; ; ; ; 5; 11/2; ; 27/5; ; ; 21/4; ; ; ; ; ; 
Swansea; ; ; ; ; ; ; 11; 11; ; ; ; ; ; ; ; 11; 11; ; 12; ; ; 12; ; ; ; ; ; 
META; english/premier-league/arsenal-v-swansea; 2017-10-04 14:17:38 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; 2/9; 2/9; ; ; ; ; ; ; ; 2/9; 1/5; ; 7/25; ; ; 1/4; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 5; 9/2; ; ; ; ; ; ; ; 5; 11/2; ; 27/5; ; ; 21/4; ; ; ; ; ; 
Swansea; ; ; ; ; ; ; 11; 11; ; ; ; ; ; ; ; 11; 11; ; 12; ; ; 12; ; ; ; ; ; 
META; english/premier-league/arsenal-v-swansea; 2017-10-04 18:17:35 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; 2/9; 2/9; ; ; ; ; ; ; ; 2/9; 1/5; ; 7/25; ; ; 1/4; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 5; 9/2; ; ; ; ; ; ; ; 5; 11/2; ; 27/5; ; ; 21/4; ; ; ; ; ; 
Swansea; ; ; ; ; ; ; 11; 11; ; ; ; ; ; ; ; 11; 11; ; 12; ; ; 12; ; ; ; ; ; 
META; english/premier-league/arsenal-v-swansea; 2017-10-04 22:17:35 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; 2/9; 2/9; ; ; ; ; ; ; ; 2/9; 1/5; ; 7/25; ; ; 1/4; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 5; 9/2; ; ; ; ; ; ; ; 5; 11/2; ; 27/5; ; ; 21/4; ; ; ; ; ; 
Swansea; ; ; ; ; ; ; 11; 11; ; ; ; ; ; ; ; 11; 11; ; 12; ; ; 12; ; ; ; ; ; 
META; english/premier-league/arsenal-v-swansea; 2017-10-05 02:17:36 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; 2/9; 2/9; ; ; ; ; ; ; ; 2/9; 1/5; ; 7/25; ; ; 1/4; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 5; 9/2; ; ; ; ; ; ; ; 5; 11/2; ; 27/5; ; ; 21/4; ; ; ; ; ; 
Swansea; ; ; ; ; ; ; 11; 11; ; ; ; ; ; ; ; 11; 11; ; 12; ; ; 12; ; ; ; ; ; 
META; english/premier-league/arsenal-v-swansea; 2017-10-05 10:17:38 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; 2/9; 2/9; ; ; ; ; ; ; ; 2/9; 1/5; ; 7/25; ; ; 1/4; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 5; 9/2; ; ; ; ; ; ; ; 5; 11/2; ; 27/5; ; ; 21/4; ; ; ; ; ; 
Swansea; ; ; ; ; ; ; 11; 11; ; ; ; ; ; ; ; 11; 11; ; 12; ; ; 12; ; ; ; ; ; 
META; english/premier-league/arsenal-v-swansea; 2017-10-05 14:17:49 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; 2/9; 2/9; ; ; ; ; ; ; ; 2/9; 1/5; ; 7/25; ; ; 1/4; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 5; 9/2; ; ; ; ; ; ; ; 5; 11/2; ; 27/5; ; ; 21/4; ; ; ; ; ; 
Swansea; ; ; ; ; ; ; 11; 11; ; ; ; ; ; ; ; 11; 11; ; 12; ; ; 12; ; ; ; ; ; 
META; english/premier-league/arsenal-v-swansea; 2017-10-05 18:17:50 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; 2/9; 2/9; ; ; ; ; ; ; ; 2/9; 1/5; ; 27/100; ; ; 1/4; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 5; 9/2; ; ; ; ; ; ; ; 5; 11/2; ; 28/5; ; ; 21/4; ; ; ; ; ; 
Swansea; ; ; ; ; ; ; 11; 11; ; ; ; ; ; ; ; 11; 11; ; 12; ; ; 12; ; ; ; ; ; 
META; english/premier-league/arsenal-v-swansea; 2017-10-05 22:17:44 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; 2/9; 2/9; ; ; ; ; ; ; ; 2/9; 1/5; ; 27/100; ; ; 1/4; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 5; 9/2; ; ; ; ; ; ; ; 5; 11/2; ; 28/5; ; ; 21/4; ; ; ; ; ; 
Swansea; ; ; ; ; ; ; 11; 11; ; ; ; ; ; ; ; 11; 11; ; 12; ; ; 12; ; ; ; ; ; 
META; english/premier-league/arsenal-v-swansea; 2017-10-06 02:18:30 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; 2/9; 2/9; ; ; ; ; ; ; ; 2/9; 1/5; ; 27/100; ; ; 1/5; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 5; 9/2; ; ; ; ; ; ; ; 11/2; 11/2; ; 28/5; ; ; 11/2; ; ; ; ; ; 
Swansea; ; ; ; ; ; ; 11; 11; ; ; ; ; ; ; ; 11; 11; ; 12; ; ; 11; ; ; ; ; ; 
META; english/premier-league/arsenal-v-swansea; 2017-10-06 10:17:40 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; 2/9; 2/9; ; ; ; ; ; ; ; 2/9; 1/5; ; 27/100; ; ; 1/5; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 5; 9/2; ; ; ; ; ; ; ; 11/2; 11/2; ; 28/5; ; ; 11/2; ; ; ; ; ; 
Swansea; ; ; ; ; ; ; 11; 11; ; ; ; ; ; ; ; 11; 11; ; 12; ; ; 11; ; ; ; ; ; 
META; english/premier-league/arsenal-v-swansea; 2017-10-06 14:17:56 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; 2/9; 2/9; ; ; ; ; ; ; ; 2/9; 1/5; ; 27/100; ; ; 1/5; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 5; 9/2; ; ; ; ; ; ; ; 11/2; 11/2; ; 28/5; ; ; 11/2; ; ; ; ; ; 
Swansea; ; ; ; ; ; ; 11; 11; ; ; ; ; ; ; ; 11; 11; ; 12; ; ; 11; ; ; ; ; ; 
META; english/premier-league/arsenal-v-swansea; 2017-10-06 18:17:44 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; 2/9; 2/9; ; ; ; ; ; ; ; 2/9; 1/5; ; 27/100; ; ; 1/5; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 5; 9/2; ; ; ; ; ; ; ; 11/2; 11/2; ; 28/5; ; ; 11/2; ; ; ; ; ; 
Swansea; ; ; ; ; ; ; 11; 11; ; ; ; ; ; ; ; 11; 11; ; 12; ; ; 11; ; ; ; ; ; 
META; english/premier-league/arsenal-v-swansea; 2017-10-06 22:17:54 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; 2/9; 2/9; ; ; ; ; ; ; ; 2/9; 1/5; ; 27/100; ; ; 1/5; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 5; 9/2; ; ; ; ; ; ; ; 11/2; 11/2; ; 28/5; ; ; 11/2; ; ; ; ; ; 
Swansea; ; ; ; ; ; ; 11; 11; ; ; ; ; ; ; ; 11; 11; ; 12; ; ; 11; ; ; ; ; ; 
META; english/premier-league/arsenal-v-swansea; 2017-10-07 02:17:40 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; 2/9; 2/9; ; ; ; ; ; ; ; 2/9; 1/5; ; 27/100; ; ; 1/5; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 5; 9/2; ; ; ; ; ; ; ; 11/2; 11/2; ; 28/5; ; ; 11/2; ; ; ; ; ; 
Swansea; ; ; ; ; ; ; 11; 11; ; ; ; ; ; ; ; 11; 11; ; 12; ; ; 11; ; ; ; ; ; 
META; english/premier-league/arsenal-v-swansea; 2017-10-07 10:17:59 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; 2/9; 2/9; ; ; ; ; ; ; ; 2/9; 1/5; ; 27/100; ; ; 1/5; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 5; 9/2; ; ; ; ; ; ; ; 11/2; 11/2; ; 28/5; ; ; 11/2; ; ; ; ; ; 
Swansea; ; ; ; ; ; ; 11; 11; ; ; ; ; ; ; ; 11; 11; ; 12; ; ; 11; ; ; ; ; ; 
META; english/premier-league/arsenal-v-swansea; 2017-10-07 14:17:54 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; 2/9; 2/9; ; ; ; ; ; ; ; 2/9; 1/5; ; 27/100; ; ; 1/5; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 5; 9/2; ; ; ; ; ; ; ; 11/2; 11/2; ; 28/5; ; ; 11/2; ; ; ; ; ; 
Swansea; ; ; ; ; ; ; 11; 11; ; ; ; ; ; ; ; 11; 11; ; 12; ; ; 11; ; ; ; ; ; 
META; english/premier-league/arsenal-v-swansea; 2017-10-07 18:17:37 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; 2/9; 2/9; ; ; ; ; ; ; ; 2/9; 1/5; ; 27/100; ; ; 1/5; ; ; ; 1/25; ; 
Draw; ; ; ; ; ; ; 5; 9/2; ; ; ; ; ; ; ; 11/2; 11/2; ; 28/5; ; ; 11/2; ; ; ; 1/100; ; 
Swansea; ; ; ; ; ; ; 11; 11; ; ; ; ; ; ; ; 11; 11; ; 12; ; ; 11; ; ; ; 1/25; ; 
META; english/premier-league/arsenal-v-swansea; 2017-10-07 22:17:57 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; 2/9; 2/9; ; ; ; ; ; ; ; 2/9; 1/5; ; 27/100; ; ; 1/5; ; ; ; 1/25; ; 
Draw; ; ; ; ; ; ; 5; 9/2; ; ; ; ; ; ; ; 11/2; 11/2; ; 28/5; ; ; 11/2; ; ; ; 1/100; ; 
Swansea; ; ; ; ; ; ; 11; 11; ; ; ; ; ; ; ; 11; 11; ; 12; ; ; 11; ; ; ; 1/25; ; 
META; english/premier-league/arsenal-v-swansea; 2017-10-08 02:17:40 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; 2/9; 2/9; ; ; ; ; ; ; ; 2/9; 1/5; ; 27/100; ; ; 1/5; ; ; ; 1/25; ; 
Draw; ; ; ; ; ; ; 5; 9/2; ; ; ; ; ; ; ; 11/2; 11/2; ; 28/5; ; ; 11/2; ; ; ; 1/100; ; 
Swansea; ; ; ; ; ; ; 11; 11; ; ; ; ; ; ; ; 11; 11; ; 12; ; ; 11; ; ; ; 1/25; ; 
META; english/premier-league/arsenal-v-swansea; 2017-10-08 10:17:57 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; 2/9; 2/9; ; ; ; ; ; ; ; 2/9; 1/5; ; 27/100; ; ; 1/5; ; ; ; 1/25; ; 
Draw; ; ; ; ; ; ; 5; 9/2; ; ; ; ; ; ; ; 11/2; 11/2; ; 28/5; ; ; 11/2; ; ; ; 1/100; ; 
Swansea; ; ; ; ; ; ; 11; 11; ; ; ; ; ; ; ; 11; 11; ; 12; ; ; 11; ; ; ; 1/25; ; 
META; english/premier-league/arsenal-v-swansea; 2017-10-08 14:18:00 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; 2/9; 2/9; ; ; ; ; ; ; ; 2/9; 1/5; ; 27/100; ; ; 1/5; ; ; ; 1/25; ; 
Draw; ; ; ; ; ; ; 5; 9/2; ; ; ; ; ; ; ; 11/2; 11/2; ; 28/5; ; ; 11/2; ; ; ; 1/100; ; 
Swansea; ; ; ; ; ; ; 11; 11; ; ; ; ; ; ; ; 11; 11; ; 12; ; ; 11; ; ; ; 1/25; ; 
META; english/premier-league/arsenal-v-swansea; 2017-10-08 18:17:55 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; 2/9; 2/9; ; ; ; ; ; ; ; ; 1/5; ; 27/100; ; ; 1/5; ; ; ; 1/25; ; 
Draw; ; ; ; ; ; ; 5; 9/2; ; ; ; ; ; ; ; ; 11/2; ; 28/5; ; ; 11/2; ; ; ; 21/10; ; 
Swansea; ; ; ; ; ; ; 11; 11; ; ; ; ; ; ; ; ; 11; ; 12; ; ; 11; ; ; ; 1/25; ; 
META; english/premier-league/arsenal-v-swansea; 2017-10-08 22:17:49 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; 2/9; 2/9; ; ; ; ; ; ; ; ; 1/5; ; 27/100; ; ; 1/5; ; ; ; 1/25; ; 
Draw; ; ; ; ; ; ; 5; 9/2; ; ; ; ; ; ; ; ; 11/2; ; 28/5; ; ; 11/2; ; ; ; 21/10; ; 
Swansea; ; ; ; ; ; ; 11; 11; ; ; ; ; ; ; ; ; 11; ; 12; ; ; 11; ; ; ; 1/25; ; 
META; english/premier-league/arsenal-v-swansea; 2017-10-09 02:17:33 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; 2/9; 2/9; ; ; ; ; ; ; ; ; 1/5; ; 27/100; ; ; 1/5; ; ; ; 1/10; ; 
Draw; ; ; ; ; ; ; 5; 9/2; ; ; ; ; ; ; ; ; 11/2; ; 28/5; ; ; 11/2; ; ; ; 23/10; ; 
