META; english/premier-league/bournemouth-v-chelsea; 2017-10-02 22:17:52 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; ; ; 2/5; ; ; ; ; ; ; ; ; 4/11; ; 4/11; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; 15/4; ; 47/10; ; ; ; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 13/2; ; ; ; ; ; ; ; ; 7; ; 42/5; ; ; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-03 02:17:44 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; ; 4/11; 2/5; ; ; ; ; ; ; ; ; 4/11; ; 4/11; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 15/4; 10/3; ; ; ; ; ; ; ; ; 15/4; ; 47/10; ; ; ; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; 7; 13/2; ; ; ; ; ; ; ; ; 7; ; 42/5; ; ; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-03 10:17:49 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; ; 4/11; 2/5; ; ; ; ; ; ; ; 4/11; 4/11; ; 4/11; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 15/4; 10/3; ; ; ; ; ; ; ; 4; 15/4; ; 47/10; ; ; ; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; 7; 13/2; ; ; ; ; ; ; ; 7; 7; ; 42/5; ; ; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-03 14:17:56 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; ; 2/5; 2/5; ; ; ; ; ; ; ; 4/11; 4/11; ; 2/5; ; ; 2/5; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 7/2; 10/3; ; ; ; ; ; ; ; 15/4; 15/4; ; 43/10; ; ; 19/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; 7; 13/2; ; ; ; ; ; ; ; 7; 7; ; 79/10; ; ; 7; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-03 18:17:50 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; ; 2/5; 2/5; ; ; ; ; ; ; ; 4/11; 4/11; ; 2/5; ; ; 2/5; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 7/2; 10/3; ; ; ; ; ; ; ; 15/4; 15/4; ; 43/10; ; ; 19/5; ; ; ; ; ; 
