META; english/premier-league/southampton-v-watford; 2017-08-16 18:17:24 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; 3/5; ; ; 18/25; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; 11/4; ; ; 141/50; ; ; ; ; ; ; ; ; 
Watford; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; 9/2; ; ; 24/5; ; ; ; ; ; ; ; ; 
META; english/premier-league/southampton-v-watford; 2017-08-16 22:17:17 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; 3/5; ; ; 18/25; ; ; ; 4/6; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; 11/4; ; ; 141/50; ; ; ; 14/5; ; ; ; ; 
Watford; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; 9/2; ; ; 24/5; ; ; ; 9/2; ; ; ; ; 
META; english/premier-league/southampton-v-watford; 2017-08-17 02:17:17 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; 3/5; ; ; 18/25; ; ; ; 4/6; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; 11/4; ; ; 141/50; ; ; ; 14/5; ; ; ; ; 
Watford; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; 9/2; ; ; 24/5; ; ; ; 9/2; ; ; ; ; 
META; english/premier-league/southampton-v-watford; 2017-08-17 10:17:20 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; 3/5; ; ; 18/25; ; ; ; 4/6; 4/6; ; ; ; 
Draw; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; 11/4; ; ; 141/50; ; ; ; 14/5; 13/5; ; ; ; 
Watford; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; 9/2; ; ; 24/5; ; ; ; 9/2; 4; ; ; ; 
META; english/premier-league/southampton-v-watford; 2017-08-17 14:17:28 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; 3/5; ; ; 18/25; ; ; ; 4/6; 4/6; ; ; ; 
Draw; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; 11/4; ; ; 141/50; ; ; ; 14/5; 13/5; ; ; ; 
Watford; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; 9/2; ; ; 24/5; ; ; ; 9/2; 4; ; ; ; 
META; english/premier-league/southampton-v-watford; 2017-08-17 18:17:19 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; 3/5; ; ; 18/25; ; ; ; 4/6; 4/6; ; ; ; 
Draw; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; 11/4; ; ; 141/50; ; ; ; 14/5; 13/5; ; ; ; 
Watford; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; 9/2; ; ; 24/5; ; ; ; 9/2; 4; ; ; ; 
META; english/premier-league/southampton-v-watford; 2017-08-17 22:17:18 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; 3/5; ; ; 18/25; ; ; ; 4/6; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; 11/4; ; ; 141/50; ; ; ; 14/5; ; ; ; ; 
Watford; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; 9/2; ; ; 24/5; ; ; ; 9/2; ; ; ; ; 
META; english/premier-league/southampton-v-watford; 2017-08-18 02:16:57 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; 3/5; ; ; 18/25; ; ; ; 4/6; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; 11/4; ; ; 141/50; ; ; ; 14/5; ; ; ; ; 
Watford; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; 9/2; ; ; 24/5; ; ; ; 9/2; ; ; ; ; 
META; english/premier-league/southampton-v-watford; 2017-08-18 10:17:07 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; 3/5; ; ; 18/25; ; ; ; 4/6; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; 11/4; ; ; 141/50; ; ; ; 14/5; ; ; ; ; 
Watford; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; 9/2; ; ; 24/5; ; ; ; 9/2; ; ; ; ; 
META; english/premier-league/southampton-v-watford; 2017-08-18 14:17:21 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; 3/5; ; ; 18/25; ; ; ; 4/6; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; 11/4; ; ; 141/50; ; ; ; 14/5; ; ; ; ; 
Watford; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; 9/2; ; ; 24/5; ; ; ; 9/2; ; ; ; ; 
META; english/premier-league/southampton-v-watford; 2017-08-18 18:17:23 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/6; ; ; ; ; 13/20; ; ; ; 3/5; ; ; 18/25; ; ; ; 4/6; 4/6; ; ; ; 
Draw; ; ; ; ; ; ; ; 13/5; ; ; ; ; 27/10; ; ; ; 11/4; ; ; 141/50; ; ; ; 14/5; 13/5; ; ; ; 
Watford; ; ; ; ; ; ; ; 4; ; ; ; ; 9/2; ; ; ; 9/2; ; ; 24/5; ; ; ; 9/2; 4; ; ; ; 
META; english/premier-league/southampton-v-watford; 2017-08-18 22:17:18 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/6; ; ; ; ; 13/20; ; ; ; 3/5; ; ; 18/25; ; ; ; 4/6; 4/6; ; ; ; 
Draw; ; ; ; ; ; ; ; 13/5; ; ; ; ; 27/10; ; ; ; 11/4; ; ; 141/50; ; ; ; 14/5; 13/5; ; ; ; 
Watford; ; ; ; ; ; ; ; 4; ; ; ; ; 9/2; ; ; ; 9/2; ; ; 24/5; ; ; ; 9/2; 4; ; ; ; 
META; english/premier-league/southampton-v-watford; 2017-08-19 02:17:20 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/6; ; ; ; ; 13/20; ; ; ; 3/5; ; ; 18/25; ; ; ; 4/6; 4/6; ; ; ; 
Draw; ; ; ; ; ; ; ; 13/5; ; ; ; ; 27/10; ; ; ; 11/4; ; ; 141/50; ; ; ; 14/5; 13/5; ; ; ; 
Watford; ; ; ; ; ; ; ; 4; ; ; ; ; 9/2; ; ; ; 9/2; ; ; 24/5; ; ; ; 9/2; 4; ; ; ; 
META; english/premier-league/southampton-v-watford; 2017-08-19 10:17:18 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/6; ; ; ; ; 13/20; ; ; ; 3/5; ; ; 18/25; ; ; ; 4/6; 4/6; ; ; ; 
Draw; ; ; ; ; ; ; ; 13/5; ; ; ; ; 27/10; ; ; ; 11/4; ; ; 141/50; ; ; ; 14/5; 13/5; ; ; ; 
Watford; ; ; ; ; ; ; ; 4; ; ; ; ; 9/2; ; ; ; 9/2; ; ; 24/5; ; ; ; 9/2; 4; ; ; ; 
META; english/premier-league/southampton-v-watford; 2017-08-19 14:17:26 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/6; ; ; ; ; 13/20; ; ; ; 3/5; ; ; 18/25; ; ; ; 4/6; 4/6; ; ; ; 
Draw; ; ; ; ; ; ; ; 13/5; ; ; ; ; 27/10; ; ; ; 11/4; ; ; 141/50; ; ; ; 14/5; 13/5; ; ; ; 
Watford; ; ; ; ; ; ; ; 4; ; ; ; ; 9/2; ; ; ; 9/2; ; ; 24/5; ; ; ; 9/2; 4; ; ; ; 
META; english/premier-league/southampton-v-watford; 2017-08-19 18:17:17 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/6; ; ; ; ; 13/20; ; ; ; 3/5; ; ; 18/25; ; ; ; 4/6; 4/6; ; ; ; 
Draw; ; ; ; ; ; ; ; 13/5; ; ; ; ; 27/10; ; ; ; 11/4; ; ; 141/50; ; ; ; 14/5; 13/5; ; ; ; 
Watford; ; ; ; ; ; ; ; 4; ; ; ; ; 9/2; ; ; ; 9/2; ; ; 24/5; ; ; ; 9/2; 4; ; ; ; 
META; english/premier-league/southampton-v-watford; 2017-08-19 22:17:04 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/6; ; ; ; ; 13/20; ; ; ; 3/5; ; ; 18/25; ; ; ; 4/6; 4/6; ; ; ; 
Draw; ; ; ; ; ; ; ; 13/5; ; ; ; ; 27/10; ; ; ; 11/4; ; ; 141/50; ; ; ; 14/5; 13/5; ; ; ; 
Watford; ; ; ; ; ; ; ; 4; ; ; ; ; 9/2; ; ; ; 9/2; ; ; 24/5; ; ; ; 9/2; 4; ; ; ; 
META; english/premier-league/southampton-v-watford; 2017-08-20 02:17:02 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/6; ; ; ; ; 13/20; ; ; ; 3/5; ; ; 18/25; ; ; ; 4/6; 4/6; ; ; ; 
Draw; ; ; ; ; ; ; ; 13/5; ; ; ; ; 27/10; ; ; ; 11/4; ; ; 141/50; ; ; ; 14/5; 13/5; ; ; ; 
Watford; ; ; ; ; ; ; ; 4; ; ; ; ; 9/2; ; ; ; 9/2; ; ; 24/5; ; ; ; 9/2; 4; ; ; ; 
META; english/premier-league/southampton-v-watford; 2017-08-20 10:17:04 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/6; ; ; ; ; 13/20; ; ; ; 3/5; ; ; 18/25; ; ; ; 4/6; 4/6; ; ; ; 
Draw; ; ; ; ; ; ; ; 13/5; ; ; ; ; 27/10; ; ; ; 11/4; ; ; 141/50; ; ; ; 14/5; 13/5; ; ; ; 
Watford; ; ; ; ; ; ; ; 4; ; ; ; ; 9/2; ; ; ; 9/2; ; ; 24/5; ; ; ; 9/2; 4; ; ; ; 
META; english/premier-league/southampton-v-watford; 2017-08-20 14:17:03 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/6; ; ; ; ; 13/20; ; ; ; 3/5; ; ; 18/25; ; ; ; 4/6; 4/6; ; ; ; 
Draw; ; ; ; ; ; ; ; 13/5; ; ; ; ; 27/10; ; ; ; 11/4; ; ; 141/50; ; ; ; 14/5; 13/5; ; ; ; 
Watford; ; ; ; ; ; ; ; 4; ; ; ; ; 9/2; ; ; ; 9/2; ; ; 24/5; ; ; ; 9/2; 4; ; ; ; 
META; english/premier-league/southampton-v-watford; 2017-08-20 22:17:00 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/6; 11/17; ; ; ; 13/20; ; ; ; 3/5; 11/17; ; 18/25; ; 11/17; ; 4/6; 4/6; ; 1/20; ; 
Draw; ; ; ; ; ; ; ; 13/5; 45/17; ; ; ; 27/10; ; ; ; 11/4; 45/17; ; 141/50; ; 45/17; ; 14/5; 13/5; ; 1/100; ; 
Watford; ; ; ; ; ; ; ; 4; 9/2; ; ; ; 9/2; ; ; ; 9/2; 22/5; ; 24/5; ; 22/5; ; 9/2; 4; ; 1/20; ; 
META; english/premier-league/southampton-v-watford; 2017-08-21 02:16:57 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/6; 11/17; ; ; ; 13/20; ; ; ; 3/5; 11/17; ; 18/25; ; 11/17; ; 4/6; 4/6; ; 4/6; ; 
Draw; ; ; ; ; ; ; ; 13/5; 45/17; ; ; ; 27/10; ; ; ; 11/4; 45/17; ; 141/50; ; 45/17; ; 14/5; 13/5; ; 5/2; ; 
Watford; ; ; ; ; ; ; ; 4; 9/2; ; ; ; 9/2; ; ; ; 9/2; 22/5; ; 24/5; ; 22/5; ; 9/2; 4; ; 7/2; ; 
META; english/premier-league/southampton-v-watford; 2017-08-21 10:16:55 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; 3/5; ; 4/6; 11/17; ; ; ; 13/20; ; ; ; 3/5; 11/17; ; 18/25; ; 11/17; ; 4/6; 4/6; ; 4/6; ; 
Draw; ; ; ; ; ; 13/5; ; 13/5; 45/17; ; ; ; 27/10; ; ; ; 11/4; 45/17; ; 141/50; ; 45/17; ; 14/5; 13/5; ; 5/2; ; 
Watford; ; ; ; ; ; 9/2; ; 4; 9/2; ; ; ; 9/2; ; ; ; 9/2; 22/5; ; 24/5; ; 22/5; ; 9/2; 9/2; ; 7/2; ; 
META; english/premier-league/southampton-v-watford; 2017-08-21 14:17:06 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; 3/5; ; 4/6; 11/17; ; ; ; 13/20; ; ; ; 3/5; 11/17; ; 18/25; ; 11/17; ; 4/6; 4/6; ; 4/6; ; 
Draw; ; ; ; ; ; 13/5; ; 13/5; 45/17; ; ; ; 27/10; ; ; ; 11/4; 45/17; ; 141/50; ; 45/17; ; 14/5; 13/5; ; 5/2; ; 
