META; english/premier-league/everton-v-southampton; 2018-04-27 18:16:06 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Everton; 5/4; 
Southampton; 28/13; 11/5
META; english/premier-league/everton-v-southampton; 2018-05-03 02:15:33 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Southampton; 7/5; 6/4; 31/20; 8/5; 163/00; 8/5; 6/4; 6/4; 11/7; 31/20; 8/5; 31/20; 33/20; 8/5; 8/5; 7/5; 17/11; 6/4; 52/35; 17/11; 13/8; 8/5; 6/4; 6/4; 8/5; 8/5; 13/8
Everton; 19/10; 19/10; 15/8; 15/8; 99/50; 2; 15/8; 2; 15/8; 19/10; 15/8; 31/20; 37/20; 9/5; 9/5; 19/10; 37/19; 27/14; 37/19; 19/10; 19/10; 15/8; 15/8; 19/10; 2; 19/10; 
Draw; 23/10; 11/5; 21/10; 11/5; 117/0; 23/10; 11/5; 11/5; 23/10; 21/10; 9/4; 21/10; 12/5; 43/20; 11/5; 21/10; 9/4; 9/4; 40/17; 9/4; 23/10; 23/10; 11/5; 11/5; 11/5; 9/4; 23/10
META; english/premier-league/everton-v-southampton; 2018-05-03 10:15:34 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Southampton; 7/5; 6/4; 6/4; 8/5; 79/50; 8/5; 8/5; 6/4; 11/7; 6/4; 6/4; 31/20; 33/20; 31/20; 8/5; 7/5; 17/11; 6/4; 52/35; 17/11; 31/20; 17/11; 6/4; 6/4; 8/5; 8/5
Everton; 19/10; 19/10; 19/10; 15/8; 41/20; 2; 19/10; 15/8; 2; 19/10; 2; 19/10; 31/20; 19/10; 9/5; 19/10; 37/19; 37/19; 27/14; 37/19; 2; 37/19; 15/8; 19/10; 19/10; 2
Draw; 23/10; 11/5; 21/10; 11/5; 117/0; 23/10; 11/5; 11/5; 23/10; 21/10; 9/4; 21/10; 12/5; 43/20; 11/5; 21/10; 9/4; 9/4; 40/17; 9/4; 9/4; 9/4; 11/5; 11/5; 11/5; 9/4
META; english/premier-league/everton-v-southampton; 2018-05-03 14:15:35 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Southampton; 7/5; 6/4; 6/4; 8/5; 79/50; 8/5; 8/5; 6/4; 11/7; 6/4; 6/4; 31/20; 33/20; 31/20; 8/5; 7/5; 6/4; 6/4; 52/35; 17/11; 31/20; 17/11; 6/4; 6/4; 13/8; 8/5; 13/8
Everton; 19/10; 19/10; 19/10; 15/8; 41/20; 2; 19/10; 15/8; 2; 19/10; 2; 19/10; 31/20; 19/10; 9/5; 19/10; 37/19; 37/19; 37/19; 37/19; 2; 37/19; 15/8; 19/10; 19/10; 2; 19/10
Draw; 23/10; 11/5; 21/10; 11/5; 117/0; 23/10; 11/5; 11/5; 23/10; 21/10; 9/4; 21/10; 12/5; 43/20; 11/5; 21/10; 9/4; 9/4; 23/10; 9/4; 9/4; 23/10; 11/5; 11/5; 23/10; 9/4; 23/10
META; english/premier-league/everton-v-southampton; 2018-05-03 18:15:34 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Southampton; 7/5; 6/4; 6/4; 8/5; 8/5; 8/5; 6/4; 11/7; 6/4; 8/5; 31/20; 33/20; 31/20; 8/5; 7/5; 17/11; 6/4; 53/35; 17/11; 31/20; 17/11; 6/4; 6/4; 13/8; 8/5; 13/8; 
Everton; 19/10; 19/10; 19/10; 15/8; 97/50; 2; 15/8; 2; 19/10; 19/10; 19/10; 31/20; 19/10; 9/5; 9/5; 19/10; 37/19; 23/12; 37/19; 2; 37/19; 15/8; 19/10; 19/10; 2; 19/10; 
Draw; 23/10; 11/5; 21/10; 11/5; 59/25; 23/10; 11/5; 11/5; 23/10; 21/10; 9/4; 9/4; 12/5; 43/20; 11/5; 21/10; 9/4; 9/4; 23/10; 9/4; 9/4; 23/10; 9/4; 11/5; 23/10; 9/4; 23/10
META; english/premier-league/everton-v-southampton; 2018-05-03 22:15:34 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Southampton; 7/5; 6/4; 6/4; 8/5; 8/5; 8/5; 6/4; 11/7; 31/20; 8/5; 31/20; 33/20; 8/5; 8/5; 7/5; 17/11; 8/5; 53/35; 17/11; 8/5; 8/5; 8/5; 8/5; 13/8; 13/8; 13/8; 
Everton; 19/10; 19/10; 15/8; 15/8; 48/25; 2; 19/10; 15/8; 2; 19/10; 19/10; 19/10; 31/20; 37/20; 9/5; 9/5; 19/10; 24/13; 19/10; 37/19; 2; 19/10; 9/5; 15/8; 19/10; 19/10; 19/10
Draw; 23/10; 11/5; 21/10; 11/5; 119/0; 23/10; 11/5; 11/5; 23/10; 21/10; 9/4; 9/4; 12/5; 43/20; 11/5; 21/10; 9/4; 11/5; 40/17; 9/4; 9/4; 23/10; 9/4; 11/5; 23/10; 9/4; 23/10
META; english/premier-league/everton-v-southampton; 2018-05-04 02:15:30 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Southampton; 7/5; 6/4; 6/4; 8/5; 8/5; 8/5; 6/4; 11/7; 31/20; 8/5; 31/20; 33/20; 8/5; 8/5; 7/5; 17/11; 8/5; 53/35; 17/11; 8/5; 8/5; 8/5; 8/5; 13/8; 13/8; 13/8; 
Everton; 19/10; 19/10; 15/8; 15/8; 48/25; 2; 15/8; 15/8; 2; 19/10; 19/10; 19/10; 31/20; 37/20; 9/5; 9/5; 19/10; 24/13; 19/10; 37/19; 2; 19/10; 9/5; 9/5; 19/10; 19/10; 19/10
Draw; 23/10; 11/5; 21/10; 11/5; 119/0; 23/10; 11/5; 11/5; 23/10; 21/10; 9/4; 9/4; 12/5; 43/20; 11/5; 21/10; 9/4; 11/5; 40/17; 9/4; 9/4; 23/10; 9/4; 11/5; 9/4; 9/4; 23/10
META; english/premier-league/everton-v-southampton; 2018-05-04 10:15:30 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
