META; english/premier-league/stoke-v-man-city; 2018-02-25 18:16:36 GMT+2; 2018-03-12 20:00; Nothing; Xlenovo
Man City; 2/7; 1/4; ; ; 33/100; 2/7; 2/7; 1/4; 5/18; ; ; ; ; ; 30/100; ; 2/7; 3/10; ; 5/18; 3/10; 2/7; ; 3/10; ; 1/4; ; 
Draw; 17/4; 5; ; ; 24/5; 9/2; 9/2; 9/2; 9/2; ; ; ; ; ; 9/2; ; 74/17; 9/2; ; 22/5; 5; 5; ; 22/5; ; 23/5; ; 
Stoke; 9; 9; ; ; 10; 11; 9; 9; 19/2; ; ; ; ; ; 9; ; 17/2; 9; ; 9; 17/2; 21/2; ; 17/2; ; 9; ; 
META; english/premier-league/stoke-v-man-city; 2018-02-25 22:16:38 GMT+2; 2018-03-12 20:00; Nothing; Xlenovo
Man City; 2/7; 1/4; ; ; 33/100; 2/7; 2/7; 1/4; 5/18; ; ; ; ; ; 30/100; ; 3/10; 3/10; 3/11; 5/18; 3/10; 3/10; ; 3/10; ; 1/4; ; 
Draw; 17/4; 5; ; ; 24/5; 9/2; 9/2; 9/2; 9/2; ; ; ; ; ; 9/2; ; 43/10; 9/2; 23/5; 22/5; 5; 5; ; 74/17; ; 23/5; ; 
Stoke; 9; 9; ; ; 10; 11; 9; 9; 19/2; ; ; ; ; ; 9; ; 33/4; 9; 15/2; 9; 17/2; 10; ; 33/4; ; 9; ; 
META; english/premier-league/stoke-v-man-city; 2018-02-26 02:16:31 GMT+2; 2018-03-12 20:00; Nothing; Xlenovo
Man City; 2/7; 1/4; ; ; 31/100; 2/7; 2/7; 1/4; 5/18; ; ; ; ; ; 30/100; ; 2/7; 3/10; 3/11; 5/18; 3/10; 1/4; ; 2/7; ; 1/4; ; 
Draw; 17/4; 5; ; ; 49/10; 9/2; 19/4; 9/2; 9/2; ; ; ; ; ; 19/4; ; 49/11; 9/2; 23/5; 22/5; 5; 5; ; 9/2; ; 4; ; 
Stoke; 9; 9; ; ; 11; 11; 19/2; 10; 19/2; ; ; ; ; ; 8; ; 17/2; 9; 15/2; 9; 9; 11; ; 35/4; ; 10; ; 
META; english/premier-league/stoke-v-man-city; 2018-02-26 10:16:31 GMT+2; 2018-03-12 20:00; Nothing; Xlenovo
Man City; 2/7; 1/4; ; ; 31/100; 2/7; 2/7; 1/4; 5/18; ; ; 1/4; ; ; 30/100; ; 2/7; 3/10; 3/11; 5/18; 3/10; 1/4; ; 2/7; ; 1/4; ; 
Draw; 17/4; 5; ; ; 49/10; 9/2; 19/4; 9/2; 9/2; ; ; 9/2; ; ; 19/4; ; 49/11; 9/2; 23/5; 22/5; 5; 5; ; 9/2; ; 4; ; 
Stoke; 9; 9; ; ; 11; 11; 19/2; 10; 19/2; ; ; 11; ; ; 8; ; 17/2; 9; 15/2; 9; 9; 11; ; 35/4; ; 10; ; 
META; english/premier-league/stoke-v-man-city; 2018-02-26 14:16:34 GMT+2; 2018-03-12 20:00; Nothing; Xlenovo
Man City; 2/7; 1/4; ; ; 31/100; 2/7; 2/7; 1/4; 5/18; ; ; 1/4; ; 2/7; 30/100; ; 2/7; 3/10; 3/11; 5/18; 1/4; ; ; ; 1/4; ; 
Draw; 17/4; 5; ; ; 49/10; 9/2; 19/4; 9/2; 9/2; ; ; 9/2; ; 19/4; 19/4; ; 49/11; 9/2; 23/5; 22/5; 5; ; 49/11; ; 4; ; 
Stoke; 9; 9; ; ; 11; 11; 19/2; 10; 19/2; ; ; 11; ; 10; 8; ; 35/4; 9; 15/2; 9; 11; ; 35/4; ; 10; ; 
META; english/premier-league/stoke-v-man-city; 2018-02-26 18:16:34 GMT+2; 2018-03-12 20:00; Nothing; Xlenovo
Man City; 1/4; 1/4; ; 2/7; 7/25; 1/5; 1/4; 1/5; 5/18; ; ; 1/4; ; 2/7; 1/4; ; 1/4; 3/11; 1/4; 5/18; 1/4; ; 1/4; ; 1/4; ; 
Draw; 9/2; 5; ; 9/2; 28/5; 9/2; 11/2; 9/2; 9/2; ; ; 9/2; ; 19/4; 11/2; ; 5; 5; 24/5; 22/5; 5; ; 96/19; ; 4; ; 
