META; english/premier-league/man-city-v-everton; 2017-06-15 14:15:39 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; ; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
Everton; ; ; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
META; english/premier-league/man-city-v-everton; 2017-06-15 18:15:37 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
META; english/premier-league/man-city-v-everton; 2017-06-15 22:15:37 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
META; english/premier-league/man-city-v-everton; 2017-06-16 02:15:36 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
