META; english/premier-league/stoke-v-everton; 2018-03-05 14:16:38 GMT+2; 2018-03-17 15:00; Nothing; Xlenovo
Stoke; 13/10; 11/8; 7/5; 36/25; 5/4; 7/5; 13/10; 11/8; 11/8; 11/8; 7/5; 7/5; 13/10; 23/17; 23/17; 4/3; 13/10; 29/20; 27/20; 7/5; 23/20
Everton; 21/10; 2; 21/10; 111/0; 19/10; 2; 28/13; 2; 21/10; 2; 41/20; 21/10; 2; 11/5; 15/8; 28/13; 85/40; 21/10; 2; 9/5; 
Draw; 9/4; 23/10; 21/10; 12/5; 2; 9/4; 9/4; 21/10; 21/10; 11/5; 11/5; 11/5; 21/10; 11/5; 11/5; 23/10; 9/4; 23/10; 9/4; 9/4; 2
META; english/premier-league/stoke-v-everton; 2018-03-05 18:16:40 GMT+2; 2018-03-17 15:00; Nothing; Xlenovo
Stoke; 13/10; 13/10; 11/8; 13/10; 71/50; 5/4; 7/5; 13/10; 27/20; 11/8; 11/8; 7/5; 7/5; 13/10; 23/17; 23/17; 4/3; 13/10; 7/5; 27/20; 23/17; 23/20
Draw; 9/4; 9/4; 21/10; 11/5; 113/0; 2; 9/4; 9/4; 21/10; 21/10; 11/5; 11/5; 11/5; 21/10; 28/13; 11/5; 23/10; 9/4; 9/4; 11/5; 11/5; 2
Everton; 21/10; 21/10; 21/10; 11/5; 119/0; 19/10; 2; 28/13; 21/10; 21/10; 2; 41/20; 21/10; 21/10; 21/10; 11/5; 15/8; 28/13; 9/4; 21/10; 28/13; 9/5
META; english/premier-league/stoke-v-everton; 2018-03-05 22:16:40 GMT+2; 2018-03-17 15:00; Nothing; Xlenovo
Stoke; 13/10; 13/10; 11/8; 13/10; 71/50; 5/4; 11/8; 13/10; 27/20; 11/8; 11/8; 7/5; 7/5; 13/10; 23/17; 23/17; 4/3; 13/10; 7/5; 27/20; 7/5; 23/20
Draw; 9/4; 9/4; 21/10; 11/5; 113/0; 2; 11/5; 9/4; 21/10; 21/10; 11/5; 11/5; 11/5; 21/10; 11/5; 11/5; 23/10; 9/4; 9/4; 11/5; 9/4; 2
Everton; 21/10; 21/10; 21/10; 11/5; 119/0; 19/10; 11/5; 28/13; 21/10; 21/10; 2; 41/20; 21/10; 21/10; 2; 11/5; 15/8; 28/13; 9/4; 21/10; 2; 9/5
META; english/premier-league/stoke-v-everton; 2018-03-06 02:16:35 GMT+2; 2018-03-17 15:00; Nothing; Xlenovo
Stoke; 13/10; 13/10; 11/8; 13/10; 71/50; 5/4; 11/8; 13/10; 27/20; 11/8; 11/8; 7/5; 7/5; 13/10; 23/17; 23/17; 4/3; 13/10; 7/5; 27/20; 23/17; 23/20
Draw; 9/4; 9/4; 21/10; 11/5; 113/0; 2; 11/5; 9/4; 21/10; 21/10; 11/5; 11/5; 11/5; 21/10; 28/13; 11/5; 23/10; 9/4; 9/4; 11/5; 11/5; 2
Everton; 21/10; 21/10; 21/10; 11/5; 119/0; 19/10; 11/5; 28/13; 21/10; 21/10; 2; 41/20; 21/10; 21/10; 21/10; 11/5; 15/8; 28/13; 9/4; 21/10; 28/13; 9/5
META; english/premier-league/stoke-v-everton; 2018-03-06 10:16:34 GMT+2; 2018-03-17 15:00; Nothing; Xlenovo
Huddersfield; 6/4; 13/8; 17/10; 6/4; 183/00; 6/4; 17/10; 8/5; 33/20; 8/5; 17/10; 7/4; 17/10; 13/8; 28/17; 8/5; 29/18; 8/5; 7/4; 33/20; 28/17; 13/8
Crystal Palace; 19/10; 7/4; 17/10; 15/8; 47/25; 17/10; 9/5; 7/4; 17/10; 9/5; 7/4; 7/4; 9/5; 7/4; 7/4; 19/10; 28/17; 7/4; 15/8; 9/5; 7/4; 7/4
Draw; 21/10; 11/5; 2; 11/5; 109/0; 19/10; 21/10; 11/5; 2; 21/10; 21/10; 21/10; 21/10; 39/19; 21/10; 28/13; 11/5; 11/5; 21/10; 21/10; 19/10; 
META; english/premier-league/stoke-v-everton; 2018-03-06 14:16:35 GMT+2; 2018-03-17 15:00; Nothing; Xlenovo
Huddersfield; 6/4; 13/8; 17/10; 6/4; 183/00; 6/4; 17/10; 8/5; 33/20; 8/5; 17/10; 7/4; 17/10; 13/8; 28/17; 8/5; 29/18; 8/5; 33/20; 28/17; 13/8
Crystal Palace; 19/10; 7/4; 17/10; 15/8; 47/25; 17/10; 9/5; 7/4; 17/10; 9/5; 7/4; 7/4; 9/5; 7/4; 7/4; 19/10; 28/17; 7/4; 9/5; 7/4; 7/4
Draw; 21/10; 11/5; 2; 11/5; 109/0; 19/10; 21/10; 11/5; 2; 21/10; 21/10; 21/10; 21/10; 39/19; 21/10; 28/13; 11/5; 21/10; 21/10; 19/10; 
META; english/premier-league/stoke-v-everton; 2018-03-06 18:16:38 GMT+2; 2018-03-17 15:00; Nothing; Xlenovo
Huddersfield; 6/4; 13/8; 17/10; 6/4; 183/00; 6/4; 17/10; 8/5; 17/10; 8/5; 17/10; 7/4; 17/10; 13/8; 28/17; 17/10; 29/18; 8/5; 9/5; 33/20; 28/17; 13/8
Crystal Palace; 19/10; 13/8; 17/10; 15/8; 47/25; 17/10; 9/5; 7/4; 17/10; 9/5; 7/4; 7/4; 9/5; 7/4; 7/4; 7/4; 28/17; 7/4; 9/5; 9/5; 7/4; 7/4
Draw; 21/10; 21/10; 2; 11/5; 109/0; 19/10; 21/10; 11/5; 2; 21/10; 21/10; 21/10; 21/10; 21/10; 21/10; 28/13; 11/5; 85/40; 21/10; 21/10; 19/10; 
META; english/premier-league/stoke-v-everton; 2018-03-07 10:49:08 GMT+2; 2018-03-17 15:00; Nothing; Xlenovo
Stoke; 13/10; 13/10; 11/8; 13/10; 71/50; 5/4; 11/8; 5/4; 13/10; 27/20; 11/8; 11/8; 7/5; 7/5; 13/10; 23/17; 23/17; 4/3; 13/10; 7/5; 27/20; 23/17; 6/5
Draw; 9/4; 9/4; 21/10; 11/5; 113/50; 2; 11/5; 2; 9/4; 21/10; 21/10; 11/5; 11/5; 11/5; 21/10; 28/13; 11/5; 23/10; 9/4; 9/4; 11/5; 28/13; 19/10
Everton; 21/10; 21/10; 21/10; 11/5; 119/50; 19/10; 11/5; 15/8; 28/13; 21/10; 21/10; 2; 41/20; 21/10; 21/10; 21/10; 11/5; 15/8; 28/13; 9/4; 21/10; 28/13; 7/4
META; english/premier-league/stoke-v-everton; 2018-03-07 14:16:29 GMT+2; 2018-03-17 15:00; Nothing; Xlenovo
Stoke; 13/10; 13/10; 11/8; 13/10; 71/50; 5/4; 11/8; 5/4; 13/10; 27/20; 11/8; 11/8; 7/5; 7/5; 13/10; 23/17; 23/17; 4/3; 13/10; 7/5; 27/20; 23/17; 6/5
Draw; 9/4; 9/4; 21/10; 11/5; 113/0; 2; 11/5; 2; 9/4; 21/10; 21/10; 11/5; 11/5; 11/5; 21/10; 28/13; 11/5; 23/10; 9/4; 23/10; 11/5; 28/13; 19/10
Everton; 21/10; 21/10; 21/10; 11/5; 119/0; 19/10; 11/5; 15/8; 28/13; 21/10; 21/10; 2; 41/20; 21/10; 21/10; 21/10; 11/5; 15/8; 28/13; 11/5; 21/10; 28/13; 7/4
META; english/premier-league/stoke-v-everton; 2018-03-07 18:16:32 GMT+2; 2018-03-17 15:00; Nothing; Xlenovo
Stoke; 13/10; 13/10; 11/8; 13/10; 71/50; 5/4; 11/8; 5/4; 13/10; 27/20; 11/8; 11/8; 7/5; 7/5; 13/10; 23/17; 23/17; 4/3; 13/10; 7/5; 27/20; 23/17; 6/5
Draw; 9/4; 9/4; 21/10; 11/5; 113/0; 2; 11/5; 2; 9/4; 21/10; 21/10; 11/5; 11/5; 11/5; 21/10; 28/13; 11/5; 23/10; 9/4; 9/4; 11/5; 28/13; 19/10
Everton; 21/10; 21/10; 21/10; 11/5; 119/0; 19/10; 11/5; 15/8; 28/13; 21/10; 21/10; 2; 41/20; 21/10; 21/10; 21/10; 11/5; 15/8; 28/13; 9/4; 21/10; 28/13; 7/4
META; english/premier-league/stoke-v-everton; 2018-03-07 22:16:29 GMT+2; 2018-03-17 15:00; Nothing; Xlenovo
Stoke; 13/10; 13/10; 11/8; 13/10; 71/50; 5/4; 11/8; 5/4; 13/10; 27/20; 11/8; 11/8; 7/5; 7/5; 13/10; 23/17; 23/17; 4/3; 13/10; 11/8; 27/20; 23/17; 5/4
