Draw; 13/5; 14/5; 27/10; ; 14/5; ; ; ; 13/5; 13/5; 11/4; ; 14/5; 11/4; 11/4; 13/5; 13/5; 27/10; 14/5; 13/5; 14/5; 14/5; 11/4; 45/17; ; 27/10; ; 
Arsenal; 5/2; 12/5; 12/5; ; 73/25; ; ; ; 14/5; 12/5; 11/4; ; 12/5; 49/20; 11/4; ; ; 11/4; 11/5; 14/5; 13/5; 27/10; 13/5; 45/17; ; 14/5; ; 
META; english/premier-league/tottenham-v-arsenal; 2018-02-03 22:16:09 GMT+2; 2018-02-10 12:30; Nothing; Xlenovo
Tottenham; 1; 1; 1; ; 21/20; ; ; ; 19/20; 1; 19/20; ; 21/20; 21/20; 21/20; ; 1; 1; ; 19/20; 21/20; 11/10; 1; 1; ; 20/21; ; 
Arsenal; 5/2; 12/5; 23/10; ; 11/4; ; ; ; 45/17; 23/10; 12/5; ; 23/10; 12/5; 5/2; ; 27/11; 5/2; ; 45/17; 5/2; 12/5; 49/20; 27/11; ; 13/5; ; 
Draw; 13/5; 14/5; ; ; 71/25; ; ; ; 27/10; 27/10; 5/2; ; 14/5; 27/10; 13/5; 13/5; 45/17; 11/4; ; 27/10; 14/5; 14/5; 11/4; 27/10; ; 13/5; ; 
META; english/premier-league/tottenham-v-arsenal; 2018-02-04 02:16:09 GMT+2; 2018-02-10 12:30; Nothing; Xlenovo
Tottenham; 1; 1; 1; ; 26/25; ; ; ; 19/20; 1; 19/20; ; 21/20; 21/20; 21/20; ; 1; 1; 1; 19/20; 21/20; 11/10; 1; 1; ; 20/21; ; 
Arsenal; 5/2; 12/5; 12/5; ; 69/25; ; ; ; 45/17; 23/10; 12/5; ; 12/5; 12/5; 5/2; ; 5/2; 5/2; 11/5; 45/17; 5/2; 5/2; 49/20; 5/2; ; 13/5; ; 
Draw; 13/5; 14/5; ; ; 57/20; ; ; ; 27/10; 27/10; 5/2; ; 14/5; 11/4; 13/5; 13/5; 45/17; 11/4; 14/5; 27/10; 14/5; 14/5; 11/4; 27/10; ; 11/4; ; 
META; english/premier-league/tottenham-v-arsenal; 2018-02-04 10:16:10 GMT+2; 2018-02-10 12:30; Nothing; Xlenovo
Tottenham; 1; 1; 1; ; 21/20; ; ; ; 19/20; 1; 19/20; ; 21/20; 11/10; 21/20; 19/20; 1; 1; 42/41; 19/20; 21/20; 21/20; 1; 1; ; 1; ; 
Arsenal; 5/2; 12/5; 23/10; ; 11/4; ; ; ; 45/17; 23/10; 12/5; ; 9/4; 23/10; 5/2; 12/5; 27/11; 5/2; 39/19; 45/17; 5/2; 5/2; 49/20; 5/2; ; 13/5; ; 
Draw; 13/5; 14/5; ; ; 71/25; ; ; ; 27/10; 27/10; 5/2; ; 3; 11/4; 13/5; 13/5; 45/17; 11/4; 37/13; 27/10; 14/5; 29/10; 11/4; 27/10; ; 11/4; ; 
META; english/premier-league/tottenham-v-arsenal; 2018-02-04 14:16:09 GMT+2; 2018-02-10 12:30; Nothing; Xlenovo
Tottenham; 1; 1; 21/20; ; 26/25; ; ; ; 19/20; 1; 19/20; ; 11/10; ; 21/20; 1; 1; 1; 24/23; 19/20; 21/20; 21/20; 1; 1; ; 1; ; 
Arsenal; 5/2; 12/5; 23/10; ; 69/25; ; ; ; 45/17; 23/10; 12/5; ; 23/10; 23/10; 5/2; 23/10; 12/5; 5/2; 39/19; 45/17; 5/2; 5/2; 49/20; 27/11; ; 12/5; ; 
Draw; 13/5; 14/5; ; ; 57/20; ; ; ; 27/10; 13/5; 5/2; ; 14/5; 27/10; 13/5; 13/5; 45/17; 11/4; 37/13; 27/10; 14/5; 29/10; 11/4; 27/10; ; 27/10; ; 
META; english/premier-league/tottenham-v-arsenal; 2018-02-04 18:16:15 GMT+2; 2018-02-10 12:30; Nothing; Xlenovo
Tottenham; 1; 1; 21/20; ; 26/25; ; ; ; 19/20; 21/20; 19/20; ; 11/10; ; 21/20; 1; 1; 1; 24/23; 19/20; 21/20; 21/20; 1; 1; ; 1; ; 
Arsenal; 5/2; 12/5; 23/10; ; 69/25; ; ; ; 45/17; 9/4; 12/5; ; 9/4; 9/4; 5/2; 23/10; 27/11; 5/2; 39/19; 45/17; 5/2; 5/2; 49/20; 27/11; ; 5/2; ; 
