META; english/premier-league/tottenham-v-newcastle; 2018-05-02 18:16:05 GMT+3; 2018-05-09 20:00; Nothing; Xlenovo
Tottenham; 1/5; 2/11; 23/00; 1/8; 1/8; 1/5; 2/11; 2/11; 1/5; 1/5; 1/5; 1/5; 3/16; 1/6; 1/5; 2/11; 3/16; 1/5
Draw; 5; 59/10; 11/2; 11/2; 11/2; 11/2; 13/2; 11/2; 11/2; 6; 11/2; 91/17; 11/2; 27/5; 7; 27/5; 7/2; 
Newcastle; 14; 16; 33/2; 12; 12; 13; 16; 14; 12; 14; 12; 14; 55/4; 10; 12; 17; 14; 
META; english/premier-league/tottenham-v-newcastle; 2018-05-02 22:16:02 GMT+3; 2018-05-09 20:00; Nothing; Xlenovo
Tottenham; 1/5; 2/11; 23/00; 1/8; 1/8; 1/5; 2/11; 2/11; 1/5; 1/5; 1/5; 1/5; 3/16; 1/6; 1/5; 2/11; 3/16; 1/5
Draw; 5; 59/10; 11/2; 11/2; 11/2; 11/2; 13/2; 11/2; 11/2; 6; 11/2; 91/17; 11/2; 27/5; 7; 27/5; 7/2; 
Newcastle; 14; 16; 33/2; 12; 12; 13; 16; 14; 12; 14; 12; 14; 55/4; 10; 12; 17; 14; 
META; english/premier-league/tottenham-v-newcastle; 2018-05-03 02:16:00 GMT+3; 2018-05-09 20:00; Nothing; Xlenovo
Tottenham; 1/5; 2/11; 23/00; 1/8; 1/8; 1/5; 2/11; 1/5; 1/5; 1/5; 1/5; 1/5; 3/16; 1/6; 1/5; 2/11; 1/5; 1/5
Draw; 5; 59/10; 11/2; 11/2; 11/2; 11/2; 6; 11/2; 11/2; 6; 11/2; 53/10; 11/2; 27/5; 13/2; 91/17; 7/2; 
Newcastle; 14; 16; 33/2; 12; 12; 13; 16; 14; 12; 14; 12; 14; 14; 10; 12; 18; 14; 7/2
META; english/premier-league/tottenham-v-newcastle; 2018-05-03 10:16:02 GMT+3; 2018-05-09 20:00; Nothing; Xlenovo
