META; english/premier-league/man-city-v-swansea; 2018-04-02 14:17:05 GMT+3; 2018-04-22 16:30; Nothing; Xlenovo
Man City; 1/7; 19/100; 2/13; 1/6; 2/13; 2/13
Draw; 7; 63/10; 13/2; 7; 13/2; 13/2
Swansea; 14; 16; 17; 16; 16; 16
META; english/premier-league/man-city-v-swansea; 2018-04-02 18:17:03 GMT+3; 2018-04-22 16:30; Nothing; Xlenovo
Man City; 1/7; 19/100; 2/13; 1/6; 2/13; 2/13
Draw; 7; 63/10; 13/2; 7; 13/2; 13/2
Swansea; 14; 16; 17; 16; 16; 16
META; english/premier-league/man-city-v-swansea; 2018-04-02 22:17:02 GMT+3; 2018-04-22 16:30; Nothing; Xlenovo
Man City; 1/7; 19/100; 2/13; 1/6; 2/13; 2/13
Draw; 7; 63/10; 13/2; 7; 13/2; 13/2
Swansea; 14; 16; 17; 16; 16; 16
META; english/premier-league/man-city-v-swansea; 2018-04-03 02:16:57 GMT+3; 2018-04-22 16:30; Nothing; Xlenovo
Man City; 1/7; 19/100; 2/13; 1/6; 2/13; 2/13
Draw; 7; 63/10; 13/2; 7; 13/2; 13/2
Swansea; 14; 16; 17; 16; 16; 16
META; english/premier-league/man-city-v-swansea; 2018-04-03 10:16:57 GMT+3; 2018-04-22 16:30; Nothing; Xlenovo
Man City; 1/7; 19/100; 2/13; 1/6; 2/13; 2/13
Draw; 7; 63/10; 13/2; 7; 13/2; 13/2
Swansea; 14; 16; 17; 16; 16; 16
META; english/premier-league/man-city-v-swansea; 2018-04-03 14:17:01 GMT+3; 2018-04-22 16:30; Nothing; Xlenovo
Man City; 1/7; 19/100; 2/13; 1/6; 2/13; 2/13
Draw; 7; 63/10; 13/2; 7; 13/2; 13/2
Swansea; 14; 16; 17; 16; 16; 16
META; english/premier-league/man-city-v-swansea; 2018-04-03 18:17:01 GMT+3; 2018-04-22 16:30; Nothing; Xlenovo
Man City; 1/7; 19/100; 2/13; 1/6; 2/13; 2/13
Draw; 7; 63/10; 13/2; 7; 13/2; 13/2
Swansea; 14; 16; 17; 16; 16; 16
META; english/premier-league/man-city-v-swansea; 2018-04-03 22:17:00 GMT+3; 2018-04-22 16:30; Nothing; Xlenovo
Man City; 1/7; 19/100; 2/13; 1/6; 2/13; 2/13
Draw; 7; 63/10; 13/2; 7; 13/2; 13/2
Swansea; 14; 16; 17; 16; 16; 16
META; english/premier-league/man-city-v-swansea; 2018-04-04 02:17:03 GMT+3; 2018-04-22 16:30; Nothing; Xlenovo
Man City; 1/7; 19/100; 2/13; 1/6; 2/13; 2/13
Draw; 7; 63/10; 13/2; 7; 13/2; 13/2
Swansea; 14; 16; 17; 16; 16; 16
META; english/premier-league/man-city-v-swansea; 2018-04-04 10:17:01 GMT+3; 2018-04-22 16:30; Nothing; Xlenovo
Man City; 1/7; 19/100; 2/13; 1/6; 2/13; 2/13
Draw; 7; 63/10; 13/2; 7; 13/2; 13/2
Swansea; 14; 16; 17; 16; 16; 16
META; english/premier-league/man-city-v-swansea; 2018-04-04 14:17:03 GMT+3; 2018-04-22 16:30; Nothing; Xlenovo
Man City; 1/7; 19/100; 2/13; 1/6; 2/13; 2/13
Draw; 7; 63/10; 13/2; 7; 13/2; 13/2
Swansea; 14; 16; 17; 16; 16; 16
META; english/premier-league/man-city-v-swansea; 2018-04-04 18:17:04 GMT+3; 2018-04-22 16:30; Nothing; Xlenovo
Man City; 1/7; 19/100; 2/13; 1/6; 2/13; 2/13
Draw; 7; 63/10; 13/2; 7; 13/2; 13/2
Swansea; 14; 16; 17; 16; 16; 16
META; english/premier-league/man-city-v-swansea; 2018-04-04 22:17:02 GMT+3; 2018-04-22 16:30; Nothing; Xlenovo
Man City; 1/7; 19/100; 2/13; 1/6; 2/13; 2/13
Draw; 7; 63/10; 13/2; 7; 13/2; 13/2
Swansea; 14; 16; 17; 16; 16; 16
META; english/premier-league/man-city-v-swansea; 2018-04-05 02:17:00 GMT+3; 2018-04-22 16:30; Nothing; Xlenovo
Man City; 1/7; 19/100; 2/13; 1/6; 2/13; 2/13
Draw; 7; 63/10; 13/2; 7; 13/2; 13/2
Swansea; 14; 16; 17; 16; 16; 16
META; english/premier-league/man-city-v-swansea; 2018-04-05 10:16:59 GMT+3; 2018-04-22 16:30; Nothing; Xlenovo
Man City; 1/7; 19/100; 2/13; 1/6; 2/13
Draw; 7; 63/10; 13/2; 7; 13/2
Swansea; 14; 16; 17; 16; 16
META; english/premier-league/man-city-v-swansea; 2018-04-05 14:17:03 GMT+3; 2018-04-22 16:30; Nothing; Xlenovo
Man City; 1/7; 19/100; 2/13; 1/6; 2/13
Draw; 7; 63/10; 13/2; 7; 13/2
Swansea; 14; 16; 17; 16; 16
META; english/premier-league/man-city-v-swansea; 2018-04-05 18:17:04 GMT+3; 2018-04-22 16:30; Nothing; Xlenovo
Man City; 1/7; 19/100; 2/13; 1/7; 1/6; 2/13; 2/13
Draw; 7; 63/10; 13/2; 13/2; 7; 13/2; 7
Swansea; 14; 16; 17; 18; 16; 16; 20
META; english/premier-league/man-city-v-swansea; 2018-04-05 22:17:02 GMT+3; 2018-04-22 16:30; Nothing; Xlenovo
Man City; 1/7; 19/100; 2/13; 1/7; 1/6; 2/13; 2/13
Draw; 7; 63/10; 13/2; 13/2; 7; 13/2; 7
Swansea; 14; 16; 17; 18; 16; 16; 20
META; english/premier-league/man-city-v-swansea; 2018-04-06 02:17:00 GMT+3; 2018-04-22 16:30; Nothing; Xlenovo
Man City; 1/7; 19/100; 2/13; 1/7; 1/6; 2/13; 2/13
Draw; 7; 63/10; 13/2; 13/2; 7; 13/2; 7
Swansea; 14; 16; 17; 18; 16; 16; 20
META; english/premier-league/man-city-v-swansea; 2018-04-06 10:17:03 GMT+3; 2018-04-22 16:30; Nothing; Xlenovo
Man City; 1/7; 19/100; 2/13; 2/13; 1/7; 1/6; 2/13; 2/13
Draw; 7; 63/10; 7; 13/2; 13/2; 7; 13/2; 7
Swansea; 14; 16; 18; 17; 18; 16; 16; 19
META; english/premier-league/man-city-v-swansea; 2018-04-06 14:17:06 GMT+3; 2018-04-22 16:30; Nothing; Xlenovo
Man City; 1/7; 19/100; 2/13; 2/13; 1/7; 1/6; 2/13; 2/13
Draw; 7; 63/10; 7; 13/2; 13/2; 7; 13/2; 7
Swansea; 14; 16; 18; 17; 18; 16; 16; 19
META; english/premier-league/man-city-v-swansea; 2018-04-06 18:17:03 GMT+3; 2018-04-22 16:30; Nothing; Xlenovo
Man City; 1/7; 19/100; 2/13; 2/13; 1/7; 1/6; 2/13; 2/13
Draw; 7; 63/10; 7; 13/2; 13/2; 7; 13/2; 7
Swansea; 14; 16; 18; 17; 18; 16; 16; 19
META; english/premier-league/man-city-v-swansea; 2018-04-06 22:17:03 GMT+3; 2018-04-22 16:30; Nothing; Xlenovo
Man City; 1/7; 19/100; 2/13; 2/13; 1/7; 1/6; 2/13; 2/13
Draw; 7; 63/10; 7; 13/2; 13/2; 7; 13/2; 7
Swansea; 14; 16; 18; 17; 18; 16; 16; 19
META; english/premier-league/man-city-v-swansea; 2018-04-07 02:17:02 GMT+3; 2018-04-22 16:30; Nothing; Xlenovo
Man City; 1/7; 19/100; 2/13; 2/13; 1/7; 1/6; 2/13; 2/13
Draw; 7; 63/10; 7; 13/2; 13/2; 7; 13/2; 7
Swansea; 14; 16; 18; 17; 18; 16; 16; 19
META; english/premier-league/man-city-v-swansea; 2018-04-07 10:17:03 GMT+3; 2018-04-22 16:30; Nothing; Xlenovo
Man City; 1/7; 19/100; 2/13; 2/13; 1/7; 1/6; 2/13; 2/13
Draw; 7; 63/10; 7; 13/2; 13/2; 7; 13/2; 7
Swansea; 14; 16; 18; 17; 18; 16; 16; 19
META; english/premier-league/man-city-v-swansea; 2018-04-07 14:17:10 GMT+3; 2018-04-22 16:30; Nothing; Xlenovo
Man City; 1/7; 19/100; 2/13; 2/13; 1/7; 1/6; 2/13; 2/13
Draw; 7; 63/10; 7; 13/2; 13/2; 7; 13/2; 7
Swansea; 14; 16; 18; 17; 18; 16; 16; 19
META; english/premier-league/man-city-v-swansea; 2018-04-07 18:17:01 GMT+3; 2018-04-22 16:30; Nothing; Xlenovo
Man City; 1/7; 19/100; 2/13; 2/13; 1/7; 1/6; 2/13; 2/13
Draw; 7; 63/10; 7; 13/2; 13/2; 7; 13/2; 7
Swansea; 14; 16; 18; 17; 18; 16; 16; 19
META; english/premier-league/man-city-v-swansea; 2018-04-07 22:16:34 GMT+3; 2018-04-22 16:30; Nothing; Xlenovo
Man City; 1/7; 19/100; 2/13; 2/13; 1/7; 1/6; 2/13; 2/13
Draw; 7; 63/10; 7; 13/2; 13/2; 7; 13/2; 7
Swansea; 14; 16; 18; 17; 18; 16; 16; 19
META; english/premier-league/man-city-v-swansea; 2018-04-08 02:16:33 GMT+3; 2018-04-22 16:30; Nothing; Xlenovo
Man City; 1/6; 1/7; 1/6; 1/7; 2/13; 1/7; 1/6; 1/6; 2/13; 2/13; 1/6
Draw; 13/2; 7; 15/2; 15/2; 13/2; 7; 15/2; 25/4; 13/2; 7; 25/4
Swansea; 12; 14; 31/2; 16; 17; 16; 14; 53/4; 16; 20; 27/2
META; english/premier-league/man-city-v-swansea; 2018-04-08 10:16:35 GMT+3; 2018-04-22 16:30; Nothing; Xlenovo
