META; english/premier-league/man-utd-v-tottenham; 2017-10-02 18:17:30 GMT+3; 2017-10-28 12:30; Nothing; Xlenovo
Man Utd; ; ; ; ; ; ; 10/11; 4/5; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 12/5; 12/5; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; 
Tottenham; ; ; ; ; ; ; 16/5; 10/3; ; ; ; ; ; ; ; ; ; ; 59/20; ; ; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-tottenham; 2017-10-02 22:17:38 GMT+3; 2017-10-28 12:30; Nothing; Xlenovo
Man Utd; ; ; ; ; ; ; 10/11; 4/5; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 12/5; 12/5; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; 
Tottenham; ; ; ; ; ; ; 16/5; 10/3; ; ; ; ; ; ; ; ; ; ; 59/20; ; ; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-tottenham; 2017-10-03 02:17:29 GMT+3; 2017-10-28 12:30; Nothing; Xlenovo
Man Utd; ; ; ; ; ; ; 9/10; 4/5; ; ; ; ; ; ; ; ; 4/5; ; 11/10; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 12/5; 12/5; ; ; ; ; ; ; ; ; 5/2; ; 5/2; ; ; ; ; ; ; ; ; 
Tottenham; ; ; ; ; ; ; 16/5; 10/3; ; ; ; ; ; ; ; ; 10/3; ; 59/20; ; ; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-tottenham; 2017-10-03 10:17:33 GMT+3; 2017-10-28 12:30; Nothing; Xlenovo
Man Utd; ; ; ; ; ; ; 9/10; 4/5; ; ; ; ; ; ; ; 19/20; 4/5; ; 11/10; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 12/5; 12/5; ; ; ; ; ; ; ; 12/5; 5/2; ; 5/2; ; ; ; ; ; ; ; ; 
Tottenham; ; ; ; ; ; ; 16/5; 10/3; ; ; ; ; ; ; ; 3; 10/3; ; 59/20; ; ; ; ; ; ; ; ; 
