META; english/premier-league/swansea-v-arsenal; 2018-01-03 18:16:56 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Arsenal; ; ; ; ; 21/50; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 41/10; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Swansea; ; ; ; ; 77/10; ; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/swansea-v-arsenal; 2018-01-03 22:16:53 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Arsenal; ; ; ; ; 21/50; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 41/10; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Swansea; ; ; ; ; 77/10; ; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/swansea-v-arsenal; 2018-01-04 02:16:51 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Arsenal; ; ; ; ; 21/50; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 41/10; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Swansea; ; ; ; ; 77/10; ; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/swansea-v-arsenal; 2018-01-04 10:16:53 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Arsenal; ; ; ; ; 21/50; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 41/10; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Swansea; ; ; ; ; 77/10; ; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/swansea-v-arsenal; 2018-01-04 14:16:59 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Arsenal; ; ; ; ; 21/50; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 41/10; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Swansea; ; ; ; ; 77/10; ; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/swansea-v-arsenal; 2018-01-04 18:16:55 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Arsenal; ; ; ; ; 21/50; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 41/10; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Swansea; ; ; ; ; 77/10; ; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/swansea-v-arsenal; 2018-01-04 22:16:58 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Arsenal; ; ; ; ; 21/50; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 41/10; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Swansea; ; ; ; ; 77/10; ; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/swansea-v-arsenal; 2018-01-05 02:16:52 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Arsenal; ; ; ; ; 21/50; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 41/10; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Swansea; ; ; ; ; 77/10; ; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/swansea-v-arsenal; 2018-01-05 10:16:50 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Arsenal; ; ; ; ; 21/50; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 41/10; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Swansea; ; ; ; ; 77/10; ; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/swansea-v-arsenal; 2018-01-05 14:17:19 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Arsenal; ; ; ; ; 21/50; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 41/10; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Swansea; ; ; ; ; 77/10; ; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/swansea-v-arsenal; 2018-01-05 22:17:48 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Arsenal; ; ; ; ; 21/50; ; ; 2/5; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; ; ; 4/11; ; ; ; ; 
Draw; ; ; ; ; 41/10; ; ; 10/3; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; ; ; 15/4; ; ; ; ; 
Swansea; ; ; ; ; 77/10; ; ; 13/2; ; ; ; ; ; ; ; ; 7; ; 7; ; ; ; ; 15/2; ; ; ; ; 
META; english/premier-league/swansea-v-arsenal; 2018-01-06 02:17:01 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Arsenal; ; ; ; ; 21/50; ; ; 2/5; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; ; ; 4/11; ; ; ; ; 
Draw; ; ; ; ; 41/10; ; ; 10/3; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; ; ; 15/4; ; ; ; ; 
Swansea; ; ; ; ; 77/10; ; ; 13/2; ; ; ; ; ; ; ; ; 7; ; 7; ; ; ; ; 15/2; ; ; ; ; 
META; english/premier-league/swansea-v-arsenal; 2018-01-06 10:17:11 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
