META; english/premier-league/west-ham-v-stoke; 2018-04-02 14:16:37 GMT+3; 2018-04-16 20:00; Nothing; Xlenovo
West Ham; 1; 21/20; 21/20; 28/25; 10/11; 11/10; 10/11; 21/20; 1; 11/10; 11/10; 21/20; 21/20; 1; 28/29; 21/20; 11/10; 21/20; 21/20; 20/21
Draw; 12/5; 12/5; 9/4; 127/50; 11/5; 12/5; 11/5; 23/10; 11/5; 23/10; 9/4; 12/5; 40/17; 23/10; 9/4; 23/10; 12/5; 23/10; 40/17; 21/10
Stoke; 11/4; 13/5; 11/4; 71/25; 13/5; 13/5; 13/5; 11/4; 11/4; 13/5; 27/10; 11/4; 28/11; 3; 5/2; 11/4; 29/10; 11/4; 13/5; 12/5
META; english/premier-league/west-ham-v-stoke; 2018-04-02 18:16:35 GMT+3; 2018-04-16 20:00; Nothing; Xlenovo
West Ham; 1; 21/20; 21/20; 28/25; 10/11; 11/10; 10/11; 21/20; 1; 11/10; 11/10; 21/20; 21/20; 1; 28/29; 21/20; 11/10; 21/20; 21/20; 20/21
Draw; 12/5; 12/5; 9/4; 127/50; 11/5; 12/5; 11/5; 23/10; 11/5; 23/10; 9/4; 12/5; 40/17; 23/10; 9/4; 23/10; 12/5; 23/10; 40/17; 21/10
Stoke; 11/4; 13/5; 11/4; 71/25; 13/5; 13/5; 13/5; 11/4; 11/4; 13/5; 27/10; 11/4; 28/11; 3; 5/2; 11/4; 29/10; 11/4; 13/5; 12/5
META; english/premier-league/west-ham-v-stoke; 2018-04-02 22:16:35 GMT+3; 2018-04-16 20:00; Nothing; Xlenovo
West Ham; 1; 21/20; 21/20; 28/25; 10/11; 11/10; 10/11; 21/20; 1; 11/10; 11/10; 21/20; 21/20; 1; 28/29; 21/20; 11/10; 21/20; 21/20; 20/21
Draw; 12/5; 12/5; 9/4; 127/50; 11/5; 12/5; 11/5; 23/10; 11/5; 23/10; 9/4; 12/5; 40/17; 23/10; 9/4; 23/10; 12/5; 23/10; 40/17; 21/10
Stoke; 11/4; 13/5; 11/4; 71/25; 13/5; 13/5; 13/5; 11/4; 11/4; 13/5; 27/10; 11/4; 28/11; 3; 5/2; 11/4; 29/10; 11/4; 13/5; 12/5
META; english/premier-league/west-ham-v-stoke; 2018-04-03 02:16:31 GMT+3; 2018-04-16 20:00; Nothing; Xlenovo
West Ham; 1; 21/20; 21/20; 28/25; 10/11; 11/10; 10/11; 21/20; 1; 11/10; 11/10; 21/20; 21/20; 1; 28/29; 21/20; 11/10; 21/20; 21/20; 20/21; 
Draw; 12/5; 12/5; 9/4; 127/50; 11/5; 12/5; 11/5; 23/10; 11/5; 23/10; 23/10; 9/4; 12/5; 40/17; 23/10; 9/4; 23/10; 12/5; 23/10; 40/17; 21/10
Stoke; 11/4; 13/5; 11/4; 71/25; 13/5; 13/5; 13/5; 11/4; 11/4; 3; 13/5; 27/10; 11/4; 28/11; 3; 5/2; 11/4; 29/10; 11/4; 13/5; 12/5
META; english/premier-league/west-ham-v-stoke; 2018-04-03 10:16:31 GMT+3; 2018-04-16 20:00; Nothing; Xlenovo
West Ham; 1; 21/20; 21/20; 28/25; 10/11; 11/10; 10/11; 21/20; 1; 11/10; 11/10; 21/20; 21/20; 1; 28/29; 21/20; 11/10; 21/20; 21/20; 20/21; 
Draw; 12/5; 12/5; 9/4; 127/50; 11/5; 12/5; 11/5; 23/10; 11/5; 23/10; 23/10; 9/4; 12/5; 40/17; 23/10; 9/4; 23/10; 12/5; 23/10; 40/17; 2
Stoke; 11/4; 13/5; 11/4; 71/25; 13/5; 13/5; 13/5; 11/4; 11/4; 3; 13/5; 27/10; 11/4; 28/11; 3; 5/2; 11/4; 29/10; 11/4; 13/5; 5/2
META; english/premier-league/west-ham-v-stoke; 2018-04-03 14:16:34 GMT+3; 2018-04-16 20:00; Nothing; Xlenovo
West Ham; 1; 21/20; 21/20; 107/100; 10/11; 11/10; 10/11; 21/20; 1; 21/20; 11/10; 11/10; 21/20; 21/20; 1; 28/29; 21/20; 11/10; 21/20; 21/20; 20/21
Draw; 12/5; 12/5; 9/4; 64/25; 11/5; 12/5; 11/5; 23/10; 11/5; 23/10; 23/10; 9/4; 12/5; 40/17; 23/10; 9/4; 23/10; 12/5; 23/10; 40/17; 2
Stoke; 11/4; 13/5; 11/4; 149/50; 13/5; 13/5; 13/5; 11/4; 11/4; 11/4; 13/5; 27/10; 11/4; 28/11; 3; 5/2; 11/4; 29/10; 11/4; 13/5; 5/2
META; english/premier-league/west-ham-v-stoke; 2018-04-03 18:16:34 GMT+3; 2018-04-16 20:00; Nothing; Xlenovo
West Ham; 1; 21/20; 21/20; 107/100; 10/11; 11/10; 10/11; 21/20; 1; 21/20; 11/10; 11/10; 21/20; 21/20; 1; 28/29; 21/20; 11/10; 21/20; 21/20; 20/21
Draw; 12/5; 12/5; 9/4; 64/25; 11/5; 12/5; 11/5; 23/10; 11/5; 23/10; 23/10; 9/4; 12/5; 40/17; 23/10; 9/4; 23/10; 12/5; 23/10; 40/17; 2
Stoke; 11/4; 13/5; 11/4; 149/50; 13/5; 13/5; 13/5; 11/4; 11/4; 11/4; 13/5; 27/10; 11/4; 28/11; 3; 5/2; 11/4; 29/10; 11/4; 13/5; 5/2
META; english/premier-league/west-ham-v-stoke; 2018-04-03 22:16:33 GMT+3; 2018-04-16 20:00; Nothing; Xlenovo
West Ham; 1; 21/20; 21/20; 11/10; 107/100; 10/11; 11/10; 10/11; 21/20; 1; 21/20; 11/10; 11/10; 21/20; 21/20; 1; 28/29; 21/20; 11/10; 21/20; 21/20; 20/21
Draw; 12/5; 12/5; 9/4; 9/4; 64/25; 11/5; 12/5; 11/5; 23/10; 11/5; 23/10; 23/10; 9/4; 12/5; 40/17; 23/10; 9/4; 23/10; 12/5; 23/10; 40/17; 2
Stoke; 11/4; 13/5; 11/4; 13/5; 149/50; 13/5; 13/5; 13/5; 11/4; 11/4; 11/4; 13/5; 27/10; 11/4; 28/11; 3; 5/2; 11/4; 29/10; 11/4; 13/5; 5/2
META; english/premier-league/west-ham-v-stoke; 2018-04-04 02:16:36 GMT+3; 2018-04-16 20:00; Nothing; Xlenovo
West Ham; 1; 21/20; 21/20; 11/10; 107/100; 10/11; 11/10; 10/11; 21/20; 1; 21/20; 11/10; 11/10; 21/20; 21/20; 21/20; 28/29; 21/20; 11/10; 21/20; 21/20; 20/21
Draw; 12/5; 12/5; 9/4; 9/4; 64/25; 11/5; 12/5; 11/5; 23/10; 11/5; 23/10; 23/10; 9/4; 12/5; 40/17; 23/10; 9/4; 23/10; 12/5; 23/10; 40/17; 2
Stoke; 11/4; 13/5; 11/4; 13/5; 149/50; 13/5; 13/5; 13/5; 11/4; 11/4; 11/4; 13/5; 27/10; 11/4; 28/11; 14/5; 5/2; 11/4; 29/10; 11/4; 13/5; 5/2
META; english/premier-league/west-ham-v-stoke; 2018-04-04 10:16:34 GMT+3; 2018-04-16 20:00; Nothing; Xlenovo
West Ham; 1; 21/20; 21/20; 11/10; 107/100; 10/11; 11/10; 10/11; 21/20; 1; 21/20; 11/10; 11/10; 21/20; 21/20; 21/20; 28/29; 21/20; 11/10; 21/20; 11/10; 20/21
Draw; 12/5; 12/5; 9/4; 9/4; 64/25; 11/5; 12/5; 11/5; 23/10; 11/5; 23/10; 23/10; 9/4; 12/5; 40/17; 23/10; 9/4; 23/10; 12/5; 23/10; 40/17; 2
Stoke; 11/4; 13/5; 11/4; 13/5; 149/50; 13/5; 13/5; 13/5; 11/4; 11/4; 11/4; 13/5; 27/10; 11/4; 28/11; 14/5; 5/2; 11/4; 29/10; 11/4; 13/5; 5/2
META; english/premier-league/west-ham-v-stoke; 2018-04-04 14:16:36 GMT+3; 2018-04-16 20:00; Nothing; Xlenovo
West Ham; 1; 21/20; 21/20; 11/10; 107/100; 10/11; 11/10; 10/11; 21/20; 1; 21/20; 11/10; 11/10; 21/20; 21/20; 21/20; 28/29; 21/20; 11/10; 21/20; 11/10; 20/21
Draw; 12/5; 12/5; 9/4; 9/4; 11/5; 12/5; 11/5; 23/10; 11/5; 23/10; 23/10; 9/4; 12/5; 40/17; 23/10; 9/4; 23/10; 12/5; 23/10; 40/17; 2; 
Stoke; 11/4; 13/5; 11/4; 13/5; 149/50; 13/5; 13/5; 13/5; 11/4; 11/4; 11/4; 13/5; 27/10; 11/4; 28/11; 14/5; 5/2; 11/4; 29/10; 11/4; 13/5; 5/2
META; english/premier-league/west-ham-v-stoke; 2018-04-04 18:16:37 GMT+3; 2018-04-16 20:00; Nothing; Xlenovo
West Ham; 1; 21/20; 21/20; 11/10; 107/100; 10/11; 11/10; 10/11; 21/20; 1; 21/20; 11/10; 11/10; 21/20; 21/20; 1; 28/29; 21/20; 11/10; 21/20; 21/20; 20/21
Draw; 12/5; 12/5; 9/4; 9/4; 11/5; 12/5; 11/5; 23/10; 11/5; 23/10; 23/10; 9/4; 12/5; 40/17; 23/10; 9/4; 23/10; 12/5; 23/10; 40/17; 2; 
Stoke; 11/4; 13/5; 11/4; 13/5; 149/50; 13/5; 13/5; 13/5; 11/4; 11/4; 11/4; 13/5; 27/10; 11/4; 28/11; 3; 5/2; 11/4; 29/10; 11/4; 13/5; 5/2
META; english/premier-league/west-ham-v-stoke; 2018-04-04 22:16:35 GMT+3; 2018-04-16 20:00; Nothing; Xlenovo
West Ham; 1; 21/20; 21/20; 11/10; 107/100; 10/11; 21/20; 10/11; 21/20; 1; 21/20; 11/10; 11/10; 21/20; 21/20; 1; 28/29; 21/20; 11/10; 21/20; 21/20; 20/21
Draw; 12/5; 12/5; 9/4; 9/4; 11/5; 12/5; 11/5; 23/10; 11/5; 23/10; 23/10; 9/4; 12/5; 40/17; 23/10; 9/4; 23/10; 12/5; 23/10; 40/17; 21/10; 
Stoke; 11/4; 13/5; 11/4; 13/5; 149/50; 13/5; 13/5; 13/5; 11/4; 11/4; 11/4; 13/5; 27/10; 11/4; 28/11; 3; 5/2; 11/4; 29/10; 11/4; 13/5; 13/5
META; english/premier-league/west-ham-v-stoke; 2018-04-05 02:16:33 GMT+3; 2018-04-16 20:00; Nothing; Xlenovo
West Ham; 1; 21/20; 21/20; 11/10; 107/100; 10/11; 11/10; 10/11; 21/20; 1; 21/20; 11/10; 11/10; 21/20; 21/20; 1; 28/29; 21/20; 11/10; 21/20; 21/20; 20/21
Draw; 12/5; 12/5; 9/4; 9/4; 11/5; 12/5; 11/5; 23/10; 11/5; 23/10; 23/10; 9/4; 12/5; 40/17; 23/10; 9/4; 23/10; 12/5; 23/10; 40/17; 21/10; 
Stoke; 11/4; 13/5; 11/4; 13/5; 149/50; 13/5; 13/5; 13/5; 11/4; 11/4; 11/4; 13/5; 27/10; 11/4; 28/11; 3; 5/2; 11/4; 29/10; 11/4; 13/5; 5/2
META; english/premier-league/west-ham-v-stoke; 2018-04-05 10:16:32 GMT+3; 2018-04-16 20:00; Nothing; Xlenovo
West Ham; 1; 21/20; 21/20; 11/10; 107/100; 10/11; 11/10; 10/11; 21/20; 1; 21/20; 11/10; 11/10; 21/20; 21/20; 1; 28/29; 21/20; 11/10; 21/20; 20/21
