META; english/premier-league/crystal-palace-v-brighton; 2018-04-02 14:16:13 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Crystal Palace; 1; 21/20; 28/25; 10/11; 21/20; 10/11; 19/20; 1; 1; 21/20; 1; 21/20; 1; 21/20; 68/67; 19/20; 21/20; 1; 10/11; ; ; 
Draw; 23/10; 9/4; 21/10; 123/50; 2; 23/10; 2; 23/10; 21/10; 11/5; 21/10; 11/5; 23/10; 23/10; 23/10; 23/10; 28/13; 23/10; 23/10; 9/4; 23/10; 21/10
Brighton; 11/4; 3; 29/10; 73/25; 29/10; 14/5; 11/4; 31/10; 14/5; 3; 31/10; 3; 14/5; 11/4; 29/10; 5/2; 31/10; 16/5; 59/20; 14/5; 14/5; 
META; english/premier-league/crystal-palace-v-brighton; 2018-04-02 18:16:11 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Crystal Palace; 1; 21/20; 28/25; 10/11; 21/20; 10/11; 19/20; 1; 1; 21/20; 1; 21/20; 1; 21/20; 68/67; 19/20; 21/20; 1; 10/11; ; ; 
Draw; 23/10; 9/4; 21/10; 123/50; 2; 23/10; 2; 23/10; 21/10; 11/5; 21/10; 11/5; 23/10; 23/10; 23/10; 23/10; 28/13; 23/10; 23/10; 9/4; 23/10; 21/10
Brighton; 11/4; 3; 29/10; 73/25; 29/10; 14/5; 11/4; 31/10; 14/5; 3; 31/10; 3; 11/4; 29/10; 5/2; 31/10; 16/5; 59/20; 14/5; 14/5; ; 
META; english/premier-league/crystal-palace-v-brighton; 2018-04-02 22:16:10 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Crystal Palace; 1; 21/20; 28/25; 10/11; 21/20; 10/11; 19/20; 1; 1; 21/20; 1; 21/20; 1; 21/20; 68/67; 19/20; 21/20; 1; 10/11; ; ; 
Draw; 23/10; 9/4; 21/10; 123/50; 2; 23/10; 2; 23/10; 21/10; 11/5; 21/10; 11/5; 23/10; 23/10; 23/10; 23/10; 28/13; 23/10; 23/10; 9/4; 23/10; 21/10
Brighton; 11/4; 3; 29/10; 73/25; 29/10; 14/5; 11/4; 31/10; 14/5; 3; 31/10; 3; 11/4; 29/10; 5/2; 31/10; 16/5; 59/20; 14/5; 14/5; ; 
