META; english/premier-league/burnley-v-crystal-palace; 2017-08-16 18:17:29 GMT+3; 2017-09-10 13:30; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; 23/17; ; ; 29/20; ; ; ; ; ; ; ; ; 
Crystal Palace; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; 2; ; ; 111/50; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-crystal-palace; 2017-08-16 22:17:22 GMT+3; 2017-09-10 13:30; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; 23/17; ; ; 29/20; ; ; ; 7/5; ; ; ; ; 
Crystal Palace; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; 2; ; ; 111/50; ; ; ; 2; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; 23/10; ; ; ; ; 
META; english/premier-league/burnley-v-crystal-palace; 2017-08-17 02:17:22 GMT+3; 2017-09-10 13:30; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; 23/17; ; ; 29/20; ; ; ; 7/5; ; ; ; ; 
Crystal Palace; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; 2; ; ; 111/50; ; ; ; 2; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; 23/10; ; ; ; ; 
META; english/premier-league/burnley-v-crystal-palace; 2017-08-17 10:17:25 GMT+3; 2017-09-10 13:30; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; 23/17; ; ; 29/20; ; ; ; 7/5; ; ; ; ; 
Crystal Palace; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; 2; ; ; 111/50; ; ; ; 2; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; 23/10; ; ; ; ; 
META; english/premier-league/burnley-v-crystal-palace; 2017-08-17 14:17:32 GMT+3; 2017-09-10 13:30; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; 23/17; ; ; 29/20; ; ; ; 7/5; ; ; ; ; 
Crystal Palace; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; 2; ; ; 111/50; ; ; ; 2; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; 23/10; ; ; ; ; 
META; english/premier-league/burnley-v-crystal-palace; 2017-08-17 18:17:24 GMT+3; 2017-09-10 13:30; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; 23/17; ; ; 29/20; ; ; ; 7/5; ; ; ; ; 
