META; english/premier-league/arsenal-v-west-ham; 2018-04-02 14:16:58 GMT+3; 2018-04-22 13:30; Nothing; Xlenovo
Arsenal; 2/5; 4/9; 3/8; 3/8; 4/11
Draw; 7/2; 41/10; 15/4; 15/4; 15/4
West Ham; 13/2; 7; 27/4; 13/2; 15/2
META; english/premier-league/arsenal-v-west-ham; 2018-04-02 18:16:56 GMT+3; 2018-04-22 13:30; Nothing; Xlenovo
Arsenal; 2/5; 4/9; 3/8; 3/8; 4/11
Draw; 7/2; 41/10; 15/4; 15/4; 15/4
West Ham; 13/2; 7; 27/4; 13/2; 15/2
META; english/premier-league/arsenal-v-west-ham; 2018-04-02 22:16:55 GMT+3; 2018-04-22 13:30; Nothing; Xlenovo
Arsenal; 2/5; 4/9; 3/8; 3/8; 4/11
Draw; 7/2; 41/10; 15/4; 15/4; 15/4
West Ham; 13/2; 7; 27/4; 13/2; 15/2
META; english/premier-league/arsenal-v-west-ham; 2018-04-03 02:16:51 GMT+3; 2018-04-22 13:30; Nothing; Xlenovo
Arsenal; 2/5; 4/9; 3/8; 3/8; 4/11
Draw; 7/2; 41/10; 15/4; 15/4; 15/4
West Ham; 13/2; 7; 27/4; 13/2; 15/2
META; english/premier-league/arsenal-v-west-ham; 2018-04-03 10:16:51 GMT+3; 2018-04-22 13:30; Nothing; Xlenovo
Arsenal; 2/5; 4/9; 3/8; 3/8; 4/11
Draw; 7/2; 41/10; 15/4; 15/4; 15/4
West Ham; 13/2; 7; 27/4; 13/2; 15/2
META; english/premier-league/arsenal-v-west-ham; 2018-04-03 14:16:54 GMT+3; 2018-04-22 13:30; Nothing; Xlenovo
Arsenal; 2/5; 4/9; 3/8; 3/8; 4/11
Draw; 7/2; 41/10; 15/4; 15/4; 15/4
West Ham; 13/2; 7; 27/4; 13/2; 15/2
META; english/premier-league/arsenal-v-west-ham; 2018-04-03 18:16:55 GMT+3; 2018-04-22 13:30; Nothing; Xlenovo
Arsenal; 2/5; 4/9; 3/8; 3/8; 4/11
Draw; 7/2; 41/10; 15/4; 15/4; 15/4
West Ham; 13/2; 7; 27/4; 13/2; 15/2
