META; english/premier-league/west-brom-v-leicester; 2018-02-25 18:16:23 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Leicester; 6/4; 3/2; ; ; 163/100; 31/20; 8/5; 6/4; 8/5; ; 8/5; ; ; ; 8/5; 6/4; 6/4; 8/5; ; 8/5; 6/4; 8/5; ; 17/11; ; 7/5; ; 
West Brom; 15/8; 15/8; ; ; 99/50; 19/10; 15/8; 15/8; 7/4; ; 15/8; ; ; ; 19/10; 15/8; 9/5; 19/10; ; 7/4; 15/8; ; ; 24/13; ; 9/5; ; 
Draw; 11/5; 11/5; ; ; 117/50; 11/5; 11/5; 21/10; 11/5; ; 23/10; ; ; ; 21/10; 9/4; 11/5; 21/10; ; 11/5; 9/4; ; ; 11/5; ; 2; ; 
META; english/premier-league/west-brom-v-leicester; 2018-02-25 22:16:25 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Leicester; 6/4; 3/2; ; ; 163/100; 31/20; 8/5; 6/4; 6/4; ; 8/5; ; ; ; 8/5; 6/4; 6/4; 8/5; 7/5; 6/4; 6/4; 17/10; ; 17/11; ; 7/5; ; 
West Brom; 15/8; 15/8; ; ; 99/50; 19/10; 19/10; 15/8; 24/13; ; 19/10; ; ; ; 19/10; 19/10; 24/13; 19/10; 23/13; 24/13; 15/8; 19/10; ; 24/13; ; 9/5; ; 
Draw; 11/5; 11/5; ; ; 117/50; 11/5; 11/5; 21/10; 11/5; ; 9/4; ; ; ; 21/10; 11/5; 11/5; 21/10; 23/10; 11/5; 9/4; 11/5; ; 11/5; ; 2; ; 
META; english/premier-league/west-brom-v-leicester; 2018-02-26 02:16:19 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Leicester; 6/4; 3/2; ; ; 163/100; 31/20; 8/5; 6/4; 6/4; ; 8/5; ; ; ; 8/5; 6/4; 6/4; 8/5; 7/5; 6/4; 6/4; 13/8; ; 17/11; ; 7/5; ; 
West Brom; 15/8; 15/8; ; ; 99/50; 19/10; 15/8; 15/8; 24/13; ; 19/10; ; ; ; 19/10; 19/10; 24/13; 19/10; 23/13; 24/13; 15/8; 19/10; ; 24/13; ; 9/5; ; 
Draw; 11/5; 11/5; ; ; 117/50; 11/5; 11/5; 21/10; 11/5; ; 9/4; ; ; ; 21/10; 11/5; 11/5; 21/10; 23/10; 11/5; 9/4; 23/10; ; 11/5; ; 2; ; 
META; english/premier-league/west-brom-v-leicester; 2018-02-26 10:16:19 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Leicester; 6/4; 3/2; ; ; 163/100; 31/20; 8/5; 6/4; 6/4; ; 8/5; ; ; ; 8/5; 6/4; 6/4; 8/5; 7/5; 6/4; 6/4; 13/8; ; 17/11; ; 7/5; ; 
West Brom; 15/8; 15/8; ; ; 99/50; 19/10; 15/8; 15/8; 24/13; ; 19/10; ; ; ; 19/10; 19/10; 24/13; 19/10; 23/13; 24/13; 15/8; 19/10; ; 24/13; ; 9/5; ; 
Draw; 11/5; 11/5; ; ; 117/50; 11/5; 11/5; 21/10; 11/5; ; 9/4; ; ; ; 21/10; 11/5; 11/5; 21/10; 23/10; 11/5; 9/4; 23/10; ; 11/5; ; 2; ; 
META; english/premier-league/west-brom-v-leicester; 2018-02-26 14:16:22 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Leicester; 6/4; 3/2; ; ; 163/100; 31/20; 8/5; 6/4; 6/4; ; 8/5; 13/8; ; 8/5; 8/5; 6/4; 6/4; 8/5; 7/5; 6/4; 13/8; ; 17/11; ; 7/5; ; 
West Brom; 15/8; 15/8; ; ; 99/50; 19/10; 15/8; 15/8; 24/13; ; 19/10; 15/8; ; 37/20; 19/10; 15/8; 24/13; 19/10; 23/13; 24/13; 19/10; ; 24/13; ; 9/5; ; 
Draw; 11/5; 11/5; ; ; 117/50; 11/5; 11/5; 21/10; 11/5; ; 9/4; 2; ; 43/20; 21/10; 21/10; 11/5; 21/10; 23/10; 11/5; 23/10; ; 11/5; ; 2; ; 
META; english/premier-league/west-brom-v-leicester; 2018-02-26 18:16:22 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Leicester; 6/4; 6/4; ; 6/4; 43/25; 31/20; 8/5; 6/4; 6/4; ; 8/5; 13/8; ; 8/5; 8/5; 6/4; 17/11; 8/5; 7/5; 6/4; 17/10; ; 17/11; ; 7/5; ; 
West Brom; 15/8; 7/4; ; 15/8; 99/50; 19/10; 15/8; 15/8; 24/13; ; ; 19/10; ; 37/20; 19/10; 15/8; 24/13; 19/10; 23/13; 24/13; 19/10; ; 24/13; ; 9/5; ; 
Draw; 11/5; 11/5; ; 11/5; 11/5; 11/5; 21/10; 21/10; 11/5; ; ; 2; ; 43/20; 21/10; 21/10; 21/10; 21/10; 23/10; 11/5; 11/5; ; 28/13; ; 2; ; 
META; english/premier-league/west-brom-v-leicester; 2018-02-26 22:16:20 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Leicester; 6/4; 6/4; ; 6/4; 43/25; 31/20; 8/5; 6/4; 6/4; ; 8/5; 13/8; ; 8/5; 8/5; 6/4; 17/11; 8/5; 7/5; 6/4; 13/8; ; 17/11; ; 7/5; ; 
West Brom; 15/8; 7/4; ; 15/8; 99/50; 19/10; 15/8; 15/8; 24/13; ; 19/10; 19/10; ; 37/20; 19/10; 15/8; 24/13; 19/10; 23/13; 24/13; 19/10; ; 24/13; ; 9/5; ; 
Draw; 11/5; 11/5; ; 11/5; 11/5; 11/5; 21/10; 21/10; 11/5; ; ; 2; ; 43/20; 21/10; 21/10; 21/10; 21/10; 23/10; 11/5; 23/10; ; 28/13; ; 2; ; 
META; english/premier-league/west-brom-v-leicester; 2018-02-27 02:16:19 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Leicester; 6/4; 6/4; ; 6/4; 42/25; 31/20; 8/5; 6/4; 6/4; ; 8/5; 13/8; ; 8/5; 8/5; 6/4; 17/11; 8/5; 7/5; 6/4; 13/8; ; 17/11; ; 7/5; ; 
West Brom; 15/8; 9/5; ; 15/8; 52/25; 19/10; 19/10; 15/8; 24/13; ; 19/10; 19/10; ; 37/20; 19/10; 15/8; 24/13; 19/10; 23/13; 24/13; 19/10; ; 24/13; ; 9/5; ; 
Draw; 11/5; 11/5; ; 11/5; 43/20; 11/5; 21/10; 21/10; 11/5; ; ; 2; ; 43/20; 21/10; 21/10; 21/10; 21/10; 23/10; 11/5; 23/10; ; 28/13; ; 2; ; 
META; english/premier-league/west-brom-v-leicester; 2018-02-27 10:16:20 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Leicester; 6/4; 6/4; ; 6/4; 42/25; 31/20; 8/5; 6/4; 6/4; ; 8/5; 13/8; ; 8/5; 8/5; 6/4; 17/11; 8/5; 7/5; 6/4; 13/8; ; 17/11; ; 7/5; ; 
West Brom; 15/8; 15/8; ; 15/8; 52/25; 19/10; 19/10; 15/8; 24/13; ; ; 19/10; ; 37/20; 19/10; 15/8; 24/13; 19/10; 23/13; 24/13; 19/10; ; 24/13; ; 9/5; ; 
Draw; 11/5; 11/5; ; 11/5; 43/20; 11/5; 21/10; 21/10; 11/5; ; ; 2; ; 43/20; 21/10; 21/10; 21/10; 21/10; 23/10; 11/5; 23/10; ; 28/13; ; 2; ; 
META; english/premier-league/west-brom-v-leicester; 2018-02-27 14:16:22 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Leicester; 6/4; 6/4; ; 6/4; 42/25; 31/20; 8/5; 6/4; 6/4; ; 8/5; 13/8; ; 8/5; 8/5; 6/4; 17/11; 8/5; 16/11; 6/4; 17/10; ; 8/5; ; 7/5; ; 
West Brom; 15/8; 15/8; ; 15/8; 52/25; 19/10; 19/10; 15/8; 24/13; ; ; 19/10; ; 37/20; 19/10; 15/8; 24/13; 19/10; 12/7; 24/13; 19/10; ; 24/13; ; 9/5; ; 
Draw; 11/5; 11/5; ; 11/5; 43/20; 11/5; 21/10; 21/10; 11/5; ; ; 2; ; 43/20; 21/10; 21/10; 21/10; 21/10; 23/10; 11/5; 11/5; ; 21/10; ; 2; ; 
META; english/premier-league/west-brom-v-leicester; 2018-02-27 18:16:22 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Leicester; 6/4; 6/4; 8/5; 6/4; 42/25; 31/20; 8/5; 6/4; 6/4; 31/20; 8/5; 13/8; ; 8/5; 8/5; 6/4; 17/11; 8/5; 16/11; 6/4; 13/8; ; 17/11; ; 7/5; ; 
West Brom; 15/8; 15/8; 9/5; 15/8; 52/25; 19/10; 19/10; 15/8; 24/13; 9/5; ; 19/10; ; 37/20; 19/10; 15/8; 24/13; 19/10; 12/7; 24/13; 19/10; ; 24/13; ; 9/5; ; 
Draw; 11/5; 11/5; 21/10; 11/5; 43/20; 11/5; 21/10; 21/10; 11/5; 21/10; ; 2; ; 43/20; 21/10; 21/10; 21/10; 21/10; 23/10; 11/5; 23/10; ; 28/13; ; 2; ; 
