Draw; ; ; ; ; 15/2; ; 19/2; 17/2; ; ; ; 17/2; ; ; ; 10; 7; ; 21/2; ; ; 9; ; 8; ; ; 5; ; 
West Ham; ; ; ; ; 18; ; 25; 25; ; ; ; 16; ; ; ; 22; 18; ; 25; ; ; 22; ; 22; ; ; 31/5; ; 
META; english/premier-league/man-city-v-west-ham; 2017-11-22 22:17:55 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
Man City; ; ; ; ; 3/20; ; 1/11; 1/9; ; ; ; 1/9; ; ; ; 1/9; 1/7; ; 1/8; ; ; 1/9; ; 1/10; ; ; 2/15; ; 
Draw; ; ; ; ; 15/2; ; 19/2; 17/2; ; ; ; 17/2; ; ; ; 10; 7; ; 21/2; ; ; 9; ; 8; ; ; 5; ; 
West Ham; ; ; ; ; 18; ; 25; 25; ; ; ; 16; ; ; ; 22; 18; ; 25; ; ; 22; ; 22; ; ; 31/5; ; 
META; english/premier-league/man-city-v-west-ham; 2017-11-23 02:17:57 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
Man City; ; ; ; ; 3/20; ; 1/11; 1/9; ; ; ; 1/9; ; ; ; 1/9; 1/7; ; 1/8; ; ; 1/9; ; 1/10; ; ; 2/15; ; 
Draw; ; ; ; ; 15/2; ; 19/2; 17/2; ; ; ; 17/2; ; ; ; 10; 7; ; 21/2; ; ; 9; ; 8; ; ; 5; ; 
West Ham; ; ; ; ; 18; ; 25; 25; ; ; ; 16; ; ; ; 22; 18; ; 25; ; ; 22; ; 22; ; ; 31/5; ; 
META; english/premier-league/man-city-v-west-ham; 2017-11-23 10:18:06 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
Man City; ; ; ; ; 3/20; ; 1/11; 1/9; ; ; ; 1/9; ; ; ; 1/9; 1/7; ; 1/8; ; ; 1/9; ; 1/10; ; ; 2/15; ; 
Draw; ; ; ; ; 15/2; ; 19/2; 17/2; ; ; ; 17/2; ; ; ; 10; 7; ; 21/2; ; ; 9; ; 17/2; ; ; 5; ; 
West Ham; ; ; ; ; 18; ; 25; 25; ; ; ; 16; ; ; ; 22; 18; ; 25; ; ; 22; ; 22; ; ; 17/2; ; 
META; english/premier-league/man-city-v-west-ham; 2017-11-23 14:18:01 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
Man City; ; ; ; ; 3/20; ; 1/11; 1/9; ; ; ; 1/9; ; ; ; 1/9; 1/7; ; 1/8; ; ; 1/9; ; 1/10; ; ; 2/15; ; 
Draw; ; ; ; ; 15/2; ; 19/2; 17/2; ; ; ; 17/2; ; ; ; 10; 7; ; 21/2; ; ; 9; ; 17/2; ; ; 5; ; 
West Ham; ; ; ; ; 18; ; 25; 25; ; ; ; 16; ; ; ; 22; 18; ; 25; ; ; 22; ; 22; ; ; 17/2; ; 
META; english/premier-league/man-city-v-west-ham; 2017-11-23 18:18:01 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
Man City; ; ; ; ; 3/20; ; 1/11; 1/9; ; ; ; 1/9; ; ; ; ; 1/7; ; 1/8; ; ; 1/9; ; 1/10; ; ; 2/15; ; 
Draw; ; ; ; ; 15/2; ; 19/2; 17/2; ; ; ; 8; ; ; ; ; 7; ; 21/2; ; ; 9; ; 17/2; ; ; 5; ; 
West Ham; ; ; ; ; 18; ; 25; 25; ; ; ; 18; ; ; ; ; 18; ; 25; ; ; 22; ; 22; ; ; 17/2; ; 
META; english/premier-league/man-city-v-west-ham; 2017-11-23 22:17:24 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
Man City; ; ; ; ; 3/20; ; 1/11; 1/9; ; ; ; 1/9; ; ; ; ; 1/7; ; 1/8; ; ; 1/9; ; 1/10; ; ; 2/15; ; 
Draw; ; ; ; ; 15/2; ; 19/2; 17/2; ; ; ; 8; ; ; ; ; 7; ; 21/2; ; ; 9; ; 17/2; ; ; 5; ; 
West Ham; ; ; ; ; 18; ; 25; 25; ; ; ; 18; ; ; ; ; 18; ; 25; ; ; 22; ; 22; ; ; 33/5; ; 
META; english/premier-league/man-city-v-west-ham; 2017-11-24 02:17:01 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
Man City; ; ; ; ; 3/20; ; 1/11; 1/9; ; ; ; 1/9; ; ; ; ; 1/7; ; 1/8; ; ; 1/9; ; 1/10; ; ; 2/15; ; 
Draw; ; ; ; ; 15/2; ; 19/2; 17/2; ; ; ; 8; ; ; ; ; 7; ; 21/2; ; ; 9; ; 17/2; ; ; 24/5; ; 
West Ham; ; ; ; ; 18; ; 25; 25; ; ; ; 18; ; ; ; ; 18; ; 25; ; ; 22; ; 22; ; ; 28/5; ; 
META; english/premier-league/man-city-v-west-ham; 2017-11-24 10:16:57 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
Man City; ; ; ; ; 3/20; ; 1/11; 1/9; ; ; ; 1/9; ; ; ; ; 1/7; ; 1/8; ; ; 1/9; ; 1/10; ; ; 2/15; ; 
Draw; ; ; ; ; 15/2; ; 19/2; 17/2; ; ; ; 8; ; ; ; ; 7; ; 21/2; ; ; 9; ; 17/2; ; ; 24/5; ; 
West Ham; ; ; ; ; 18; ; 25; 25; ; ; ; 18; ; ; ; ; 18; ; 25; ; ; 22; ; 22; ; ; 28/5; ; 
META; english/premier-league/man-city-v-west-ham; 2017-11-24 14:17:04 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
Man City; ; ; ; ; 3/20; ; 1/10; 1/8; ; ; ; 1/9; ; ; ; ; 1/7; ; 1/8; ; ; 1/9; 1/10; 1/10; ; ; 2/15; ; 
Draw; ; ; ; ; 15/2; ; 19/2; 17/2; ; ; ; 8; ; ; ; ; 7; ; 21/2; ; ; 9; 21/2; 17/2; ; ; 26/5; ; 
West Ham; ; ; ; ; 18; ; 22; 22; ; ; ; 20; ; ; ; ; 18; ; 25; ; ; 22; 25; 22; ; ; 29/5; ; 
META; english/premier-league/man-city-v-west-ham; 2017-11-24 18:17:43 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
Man City; ; ; ; ; 3/20; 2/15; 1/10; 1/8; ; ; 1/9; 1/9; ; ; ; ; 1/7; ; 1/8; ; ; 1/10; 1/10; 1/10; ; ; 2/15; ; 
