Barcelona; 1/8; ; 2/11; ; ; ; 1/9; ; ; 1/8; ; 1/8; 1/9; 1/9; 2/15; 2/17; 2/17; 1/8; ; 2/17; 7/50; ; ; ; ; ; 2/15; ; 
Draw; 15/2; ; 5; ; ; ; 17/2; ; ; 17/2; ; 15/2; 15/2; 17/2; 8; 8; 7; 7; ; 7; 19/2; ; ; ; ; ; 38/5; ; 
Real Sociedad; 16; ; 14; ; ; ; 22; ; ; 20; ; 18; 22; 22; 16; 20; 31/2; 31/2; ; 31/2; 22; ; ; ; ; ; 88/5; ; 
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2017-04-06 18:19:36 GMT+3; 2017-04-15 19:45; Nothing; Xlenovo
Barcelona; 1/8; ; 2/11; ; ; 13/100; 1/9; ; ; 1/8; ; 1/8; 1/9; 1/9; 2/15; 2/17; ; 1/8; ; 2/17; 7/50; 1/10; ; ; ; ; 1/8; ; 
Draw; 15/2; ; 5; ; ; 9; 17/2; ; ; 17/2; ; 15/2; 15/2; 17/2; 8; 17/2; ; 7; ; 7; 19/2; 41/5; ; ; ; ; 36/5; ; 
Real Sociedad; 16; ; 14; ; ; 20; 22; ; ; 22; ; 18; 22; 22; 16; 20; ; 31/2; ; 31/2; 22; 15; ; ; ; ; 88/5; ; 
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2017-04-06 22:19:00 GMT+3; 2017-04-15 19:45; Nothing; Xlenovo
Barcelona; 1/8; ; 2/11; ; ; 13/100; 2/17; ; ; 2/15; ; 1/8; 1/9; 1/8; 2/15; 2/17; 1/10; 1/8; ; 1/10; 7/50; 1/10; ; ; ; ; 1/8; ; 
Draw; 15/2; ; 5; ; ; 17/2; 8; ; ; 8; ; 15/2; 15/2; 15/2; 8; 17/2; 8; 7; ; 8; 19/2; 41/5; ; ; ; ; 33/5; ; 
Real Sociedad; 16; ; 14; ; ; 20; 22; ; ; 20; ; 18; 22; 25; 16; 20; 69/4; 31/2; ; 69/4; 22; 15; ; ; ; ; 20; ; 
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2017-04-07 02:19:09 GMT+3; 2017-04-15 19:45; Nothing; Xlenovo
Barcelona; 1/8; ; 2/11; ; ; 13/100; 2/17; ; ; 2/15; ; 1/8; 1/9; 1/8; 2/15; 2/17; 1/10; 1/8; ; ; 7/50; 1/10; ; ; ; ; 1/8; ; 
Draw; 15/2; ; 5; ; ; 17/2; 8; ; ; 8; ; 15/2; 15/2; 15/2; 8; 17/2; 8; 7; ; ; 19/2; 41/5; ; ; ; ; 33/5; ; 
Real Sociedad; 16; ; 14; ; ; 20; 22; ; ; 20; ; 18; 22; 25; 16; 20; 69/4; 31/2; ; ; 22; 15; ; ; ; ; 20; ; 
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2017-04-07 06:18:29 GMT+3; 2017-04-15 19:45; Nothing; Xlenovo
Barcelona; 1/8; ; 2/11; ; ; 13/100; 2/17; ; ; 2/15; ; 1/8; 1/9; 1/8; 2/15; 2/17; 1/10; 1/8; ; 1/10; 7/50; 1/10; ; ; ; ; 1/8; ; 
Draw; 15/2; ; 5; ; ; 17/2; 8; ; ; 8; ; 15/2; 15/2; 15/2; 8; 17/2; 33/4; 7; ; 33/4; 19/2; 41/5; ; ; ; ; 33/5; ; 
Real Sociedad; 16; ; 14; ; ; 20; 22; ; ; 20; ; 18; 22; 25; 16; 20; 69/4; 31/2; ; 69/4; 22; 15; ; ; ; ; 20; ; 
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2017-04-07 10:19:23 GMT+3; 2017-04-15 19:45; Nothing; Xlenovo
Barcelona; 1/8; ; 2/11; ; ; 13/100; 2/17; ; ; 2/15; ; 1/8; ; 1/8; 2/15; 2/17; 1/10; 1/8; ; 1/10; 7/50; 1/10; ; ; ; ; 1/8; ; 
Draw; 15/2; ; 5; ; ; 17/2; 8; ; ; 8; ; 15/2; ; 15/2; 8; 17/2; 8; 7; ; 8; 19/2; 41/5; ; ; ; ; 33/5; ; 
Real Sociedad; 16; ; 14; ; ; 20; 22; ; ; 20; ; 18; ; 25; 16; 20; 69/4; 31/2; ; 69/4; 22; 15; ; ; ; ; 20; ; 
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2017-04-07 14:18:40 GMT+3; 2017-04-15 19:45; Nothing; Xlenovo
Barcelona; 1/8; ; 1/7; ; ; 13/100; 1/8; ; ; 2/15; ; 1/8; 1/9; 1/8; 2/15; 2/17; 1/10; 1/8; ; 1/10; 13/100; 1/10; ; ; ; ; 1/8; ; 
Draw; 15/2; ; 7; ; ; 17/2; 8; ; ; 8; ; 15/2; 15/2; 15/2; 8; 17/2; 31/4; 7; ; 31/4; 21/2; 41/5; ; ; ; ; 33/5; ; 
Real Sociedad; 16; ; 18; ; ; 20; 19; ; ; 20; ; 18; 22; 25; 16; 20; 33/2; 31/2; ; 33/2; 22; 15; ; ; ; ; 20; ; 
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2017-04-07 18:20:10 GMT+3; 2017-04-15 19:45; Nothing; Xlenovo
Barcelona; 1/8; ; 1/7; ; ; 13/100; 2/17; ; ; 2/15; ; 1/8; 1/9; 1/8; 2/15; 2/17; 1/10; 1/8; ; 1/10; 13/100; 1/10; ; ; ; ; 1/8; ; 
Draw; 15/2; ; 7; ; ; 17/2; 8; ; ; 8; ; 15/2; 15/2; 15/2; 8; 17/2; 31/4; 7; ; 31/4; 21/2; 41/5; ; ; ; ; 33/5; ; 
Real Sociedad; 16; ; 18; ; ; 20; 22; ; ; 20; ; 18; 22; 25; 16; 20; 33/2; 31/2; ; 33/2; 22; 15; ; ; ; ; 20; ; 
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2017-04-07 22:18:57 GMT+3; 2017-04-15 19:45; Nothing; Xlenovo
Barcelona; 1/8; ; 1/7; 1/7; ; 13/100; 2/17; ; ; 2/15; ; 1/8; 1/9; 1/8; 2/15; 2/17; 1/10; 1/8; 2/15; 1/10; 13/100; 1/10; 1/8; ; 1/8; ; 2/15; ; 
Draw; 15/2; ; 7; 15/2; ; 17/2; 8; ; ; 8; ; 15/2; 15/2; 15/2; 8; 17/2; 31/4; 7; 8; 31/4; 21/2; 41/5; 8; ; 8; ; 33/5; ; 
Real Sociedad; 16; ; 18; 14; ; 20; 22; ; ; 20; ; 18; 22; 25; 16; 18; 65/4; 31/2; 17; 65/4; 22; 15; 17; ; 17; ; 20; ; 
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2017-04-08 02:20:06 GMT+3; 2017-04-15 19:45; Nothing; Xlenovo
