META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-03 02:20:34 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 13/10; ; 9/5; ; ; 29/20; 7/5; ; ; 7/5; 27/20; ; 27/20; 11/8; 7/5; 7/5; 23/17; 6/4; 7/5; 23/17; 163/100; ; 7/5; ; ; 5/4; ; 
Osasuna; 11/5; ; 6/4; ; ; 21/10; 2; ; ; 2; 15/8; ; 2; 2; 2; 11/5; 37/19; 9/5; 2; 37/19; 2; ; 2; ; ; 9/5; ; 
Draw; 11/5; ; 11/5; ; ; 23/10; 23/10; ; ; 9/4; 11/5; ; 47/20; 23/10; 23/10; 23/10; 11/5; 21/10; 9/4; 11/5; 23/10; ; 9/4; ; ; 2; ; 
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-03 06:18:57 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 13/10; ; 9/5; ; ; 29/20; 7/5; ; ; 7/5; 27/20; ; 27/20; 11/8; 7/5; 7/5; 23/17; 6/4; 7/5; 23/17; 163/100; ; 7/5; ; ; 5/4; ; 
Osasuna; 11/5; ; 6/4; ; ; 21/10; 2; ; ; 2; 15/8; ; 2; 2; 2; 11/5; 37/19; 9/5; 2; 37/19; 2; ; 2; ; ; 9/5; ; 
Draw; 11/5; ; 11/5; ; ; 23/10; 23/10; ; ; 9/4; 11/5; ; 47/20; 23/10; 23/10; 23/10; 11/5; 21/10; 9/4; 11/5; 23/10; ; 9/4; ; ; 2; ; 
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-03 10:20:46 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 13/10; ; 9/5; ; ; 29/20; 7/5; ; ; 7/5; 27/20; ; 27/20; 11/8; 7/5; 7/5; 23/17; 6/4; 7/5; 23/17; 163/100; ; 7/5; ; ; 5/4; ; 
Osasuna; 11/5; ; 6/4; ; ; 21/10; 2; ; ; 2; 15/8; ; 2; 2; 2; 11/5; 37/19; 9/5; 2; 37/19; 2; ; 2; ; ; 9/5; ; 
Draw; 11/5; ; 11/5; ; ; 23/10; 23/10; ; ; 9/4; 11/5; ; 47/20; 23/10; 23/10; 23/10; 11/5; 21/10; 9/4; 11/5; 23/10; ; 9/4; ; ; 2; ; 
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-03 14:21:35 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 13/10; ; 9/5; ; ; 29/20; 7/5; ; ; 7/5; 27/20; 7/5; 27/20; 11/8; 7/5; 7/5; 23/17; 6/4; 7/5; 23/17; 163/100; ; 7/5; ; ; 11/8; ; 
