META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-14 14:20:27 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18/25; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 57/20; ; ; ; ; ; ; ; 
Espanyol; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/10; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-14 18:18:36 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18/25; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 57/20; ; ; ; ; ; ; ; 
Espanyol; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/10; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-14 22:18:26 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18/25; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 57/20; ; ; ; ; ; ; ; 
Espanyol; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/10; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-15 02:20:35 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18/25; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 57/20; ; ; ; ; ; ; ; 
Espanyol; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/10; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-15 06:18:32 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18/25; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 57/20; ; ; ; ; ; ; ; 
Espanyol; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/10; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-15 10:18:49 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18/25; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 57/20; ; ; ; ; ; ; ; 
Espanyol; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/10; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-15 14:21:11 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18/25; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 57/20; ; ; ; ; ; ; ; 
Espanyol; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/10; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-15 18:18:38 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18/25; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 57/20; ; ; ; ; ; ; ; 
Espanyol; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/10; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-15 22:18:42 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18/25; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 57/20; ; ; ; ; ; ; ; 
Espanyol; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/10; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-16 02:19:11 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18/25; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 57/20; ; ; ; ; ; ; ; 
Espanyol; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/10; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-16 06:18:27 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18/25; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 57/20; ; ; ; ; ; ; ; 
Espanyol; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/10; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-16 10:18:54 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18/25; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 57/20; ; ; ; ; ; ; ; 
Espanyol; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/10; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-16 14:18:49 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
