META; spain/la-liga-primera/athletic-bilbao-v-real-madrid; 2017-03-04 22:19:28 GMT+2; 2017-03-18 15:15; Nothing; Xlenovo
Real Madrid; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/17; ; ; 13/20; ; ; ; ; ; ; 
Draw; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; 17/5; ; ; ; ; ; ; 
Athletic Bilbao; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 9/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-real-madrid; 2017-03-05 02:20:01 GMT+2; 2017-03-18 15:15; Nothing; Xlenovo
Real Madrid; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/17; ; ; 13/20; ; ; ; ; ; ; 
Draw; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; 17/5; ; ; ; ; ; ; 
Athletic Bilbao; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 9/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-real-madrid; 2017-03-05 06:18:55 GMT+2; 2017-03-18 15:15; Nothing; Xlenovo
Real Madrid; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/17; ; ; 13/20; ; ; ; ; ; ; 
Draw; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; 17/5; ; ; ; ; ; ; 
Athletic Bilbao; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 9/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-real-madrid; 2017-03-05 10:20:21 GMT+2; 2017-03-18 15:15; Nothing; Xlenovo
Real Madrid; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/17; ; ; 13/20; ; ; ; ; ; ; 
Draw; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; 17/5; ; ; ; ; ; ; 
Athletic Bilbao; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 9/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-real-madrid; 2017-03-05 14:20:35 GMT+2; 2017-03-18 15:15; Nothing; Xlenovo
Real Madrid; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/17; ; ; 13/20; ; ; ; ; ; ; 
Draw; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; 17/5; ; ; ; ; ; ; 
Athletic Bilbao; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 9/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-real-madrid; 2017-03-05 18:19:18 GMT+2; 2017-03-18 15:15; Nothing; Xlenovo
Real Madrid; ; ; 4/7; ; ; ; 8/13; ; ; 4/6; ; ; ; ; ; 8/13; 5/9; 11/17; ; 5/9; 13/20; ; ; ; ; ; ; 
Draw; ; ; 14/5; ; ; ; 29/10; ; ; 16/5; ; ; ; ; ; 31/10; 56/19; 11/4; ; 56/19; 17/5; ; ; ; ; ; ; 
Athletic Bilbao; ; ; 9/2; ; ; ; 17/4; ; ; 7/2; ; ; ; ; ; 9/2; 23/5; 4; ; 23/5; 9/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-real-madrid; 2017-03-05 22:18:51 GMT+2; 2017-03-18 15:15; Nothing; Xlenovo
Real Madrid; 13/20; ; 4/7; ; ; ; 4/6; ; ; 4/6; 8/13; ; 13/20; ; ; 8/13; 5/9; 11/17; ; 5/9; 13/20; ; ; ; ; 4/9; ; 
