Las Palmas; 11/4; ; 29/10; 3; ; 14/5; 3; ; 14/5; 14/5; 11/4; 3; 59/20; ; 3; 29/10; 37/13; 3; ; 37/13; 33/10; 27/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/eibar-v-las-palmas; 2017-03-23 22:19:32 GMT+2; 2017-04-06 17:30; Nothing; Xlenovo
Eibar; 10/11; ; 9/10; 17/20; ; 9/10; 9/10; ; 9/10; 17/20; 17/20; 10/11; 17/20; ; 10/11; 11/13; 13/15; 13/15; ; 13/15; 47/50; 13/15; ; ; ; ; ; ; 
Draw; 13/5; ; 27/10; 11/4; ; 11/4; 13/5; ; 13/5; 13/5; 5/2; 5/2; 27/10; ; 13/5; 27/10; 13/5; 5/2; ; 13/5; 11/4; 13/5; ; ; ; ; ; ; 
Las Palmas; 11/4; ; 29/10; 3; ; 14/5; 31/10; ; 14/5; 14/5; 11/4; 3; 59/20; ; 3; 29/10; 37/13; 3; ; 37/13; 33/10; 27/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/eibar-v-las-palmas; 2017-03-24 02:20:23 GMT+2; 2017-04-06 17:30; Nothing; Xlenovo
Eibar; 10/11; ; 9/10; 17/20; ; 9/10; 9/10; ; 9/10; 17/20; 17/20; 10/11; 17/20; ; 10/11; 11/13; 13/15; 13/15; ; 13/15; 47/50; 13/15; ; ; ; ; ; ; 
Draw; 13/5; ; 27/10; 11/4; ; 11/4; 13/5; ; 13/5; 13/5; 5/2; 5/2; 27/10; ; 13/5; 27/10; 13/5; 5/2; ; 13/5; 11/4; 13/5; ; ; ; ; ; ; 
Las Palmas; 11/4; ; 29/10; 3; ; 14/5; 31/10; ; 14/5; 14/5; 11/4; 3; 59/20; ; 3; 29/10; 37/13; 3; ; 37/13; 33/10; 27/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/eibar-v-las-palmas; 2017-03-24 06:18:45 GMT+2; 2017-04-06 17:30; Nothing; Xlenovo
Eibar; 10/11; ; 9/10; 17/20; ; 9/10; 9/10; ; 9/10; 17/20; 17/20; 10/11; 17/20; ; 10/11; 10/11; 13/15; 13/15; ; 13/15; 47/50; 13/15; ; ; ; ; ; ; 
Draw; 13/5; ; 27/10; 11/4; ; 11/4; 13/5; ; 13/5; 13/5; 5/2; 5/2; 27/10; ; 13/5; 13/5; 13/5; 5/2; ; 13/5; 11/4; 13/5; ; ; ; ; ; ; 
Las Palmas; 11/4; ; 29/10; 3; ; 14/5; 31/10; ; 14/5; 14/5; 11/4; 3; 59/20; ; 3; 29/10; 37/13; 3; ; 37/13; 33/10; 27/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/eibar-v-las-palmas; 2017-03-24 10:19:11 GMT+2; 2017-04-06 17:30; Nothing; Xlenovo
