Eibar; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; 11/17; 4/7; ; 37/50; ; 3/5; ; 3/5; ; 2/5; ; 
Draw; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; 11/4; 11/4; ; 59/20; ; 11/4; ; 11/4; ; 2; ; 
Gijon; ; ; ; ; ; ; ; ; 17/4; ; ; ; ; ; ; ; ; 4; 24/5; ; 43/10; ; 24/5; ; 24/5; ; 9/4; ; 
META; spain/la-liga-primera/eibar-v-gijon; 2017-05-04 18:18:17 GMT+3; 2017-05-14 19:00; Nothing; Xlenovo
Eibar; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; 11/17; 4/7; ; 37/50; ; 3/5; ; 3/5; ; 2/5; ; 
Draw; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; 11/4; 11/4; ; 59/20; ; 11/4; ; 11/4; ; 2; ; 
Gijon; ; ; ; ; ; ; ; ; 17/4; ; ; ; ; ; ; ; ; 4; 24/5; ; 43/10; ; 24/5; ; 24/5; ; 9/4; ; 
META; spain/la-liga-primera/eibar-v-gijon; 2017-05-04 22:18:17 GMT+3; 2017-05-14 19:00; Nothing; Xlenovo
Eibar; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; 11/17; 4/7; ; 37/50; ; 3/5; ; 3/5; ; 2/5; ; 
Draw; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; 11/4; 11/4; ; 59/20; ; 11/4; ; 11/4; ; 2; ; 
Gijon; ; ; ; ; ; ; ; ; 17/4; ; ; ; ; ; ; ; ; 4; 24/5; ; 43/10; ; 24/5; ; 24/5; ; 9/4; ; 
META; spain/la-liga-primera/eibar-v-gijon; 2017-05-05 02:18:16 GMT+3; 2017-05-14 19:00; Nothing; Xlenovo
Eibar; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; 11/17; 4/7; ; 37/50; ; 3/5; ; 3/5; ; 4/11; ; 
Draw; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; 11/4; 11/4; ; 59/20; ; 11/4; ; 11/4; ; 2; ; 
Gijon; ; ; ; ; ; ; ; ; 17/4; ; ; ; ; ; ; ; ; 4; 24/5; ; 43/10; ; 24/5; ; 24/5; ; 9/4; ; 
META; spain/la-liga-primera/eibar-v-gijon; 2017-05-05 10:18:17 GMT+3; 2017-05-14 19:00; Nothing; Xlenovo
Eibar; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; 11/17; 4/7; ; 37/50; ; 3/5; ; 3/5; ; 2/5; ; 
Draw; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; 11/4; 11/4; ; 59/20; ; 11/4; ; 11/4; ; 2; ; 
Gijon; ; ; ; ; ; ; ; ; 17/4; ; ; ; ; ; ; ; ; 4; 24/5; ; 43/10; ; 24/5; ; 24/5; ; 9/4; ; 
META; spain/la-liga-primera/eibar-v-gijon; 2017-05-05 14:18:19 GMT+3; 2017-05-14 19:00; Nothing; Xlenovo
Eibar; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; 11/17; 4/7; ; 37/50; ; 3/5; ; 3/5; ; 2/5; ; 
Draw; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; 11/4; 11/4; ; 59/20; ; 11/4; ; 11/4; ; 2; ; 
Gijon; ; ; ; ; ; ; ; ; 17/4; ; ; ; ; ; ; ; ; 4; 24/5; ; 43/10; ; 24/5; ; 24/5; ; 9/4; ; 
META; spain/la-liga-primera/eibar-v-gijon; 2017-05-05 18:18:14 GMT+3; 2017-05-14 19:00; Nothing; Xlenovo
Eibar; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; 11/17; 4/7; ; 3/4; ; 3/5; ; 3/5; ; 2/5; ; 
Draw; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; 11/4; 11/4; ; 59/20; ; 11/4; ; 11/4; ; 2; ; 
Gijon; ; ; ; ; ; ; ; ; 17/4; ; ; ; ; ; ; ; ; 4; 24/5; ; 21/5; ; 24/5; ; 24/5; ; 9/4; ; 
META; spain/la-liga-primera/eibar-v-gijon; 2017-05-05 22:18:18 GMT+3; 2017-05-14 19:00; Nothing; Xlenovo
Eibar; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; 11/17; 4/7; ; 3/4; ; 3/5; ; 3/5; ; 2/5; ; 
Draw; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; 11/4; 11/4; ; 59/20; ; 11/4; ; 11/4; ; 2; ; 
Gijon; ; ; ; ; ; ; ; ; 17/4; ; ; ; ; ; ; ; ; 4; 24/5; ; 21/5; ; 24/5; ; 24/5; ; 9/4; ; 
META; spain/la-liga-primera/eibar-v-gijon; 2017-05-06 02:18:13 GMT+3; 2017-05-14 19:00; Nothing; Xlenovo
Eibar; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; 11/17; 4/7; ; 3/4; ; 3/5; ; 3/5; ; 2/5; ; 
Draw; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; 11/4; 11/4; ; 59/20; ; 11/4; ; 11/4; ; 2; ; 
Gijon; ; ; ; ; ; ; ; ; 17/4; ; ; ; ; ; ; ; ; 4; 24/5; ; 21/5; ; 24/5; ; 24/5; ; 9/4; ; 
META; spain/la-liga-primera/eibar-v-gijon; 2017-05-06 10:18:13 GMT+3; 2017-05-14 19:00; Nothing; Xlenovo
Eibar; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; 11/17; 4/7; ; 3/4; ; 3/5; ; 3/5; ; 2/5; ; 
Draw; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; 11/4; 11/4; ; 59/20; ; 11/4; ; 11/4; ; 2; ; 
Gijon; ; ; ; ; ; ; ; ; 17/4; ; ; ; ; ; ; ; ; 4; 24/5; ; 21/5; ; 24/5; ; 24/5; ; 9/4; ; 
META; spain/la-liga-primera/eibar-v-gijon; 2017-05-06 14:18:14 GMT+3; 2017-05-14 19:00; Nothing; Xlenovo
Eibar; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; 11/17; 4/7; ; 3/4; ; 3/5; ; 3/5; ; 2/5; ; 
Draw; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; 11/4; 11/4; ; 59/20; ; 11/4; ; 11/4; ; 2; ; 
Gijon; ; ; ; ; ; ; ; ; 17/4; ; ; ; ; ; ; ; ; 4; 24/5; ; 21/5; ; 24/5; ; 24/5; ; 9/4; ; 
META; spain/la-liga-primera/eibar-v-gijon; 2017-05-06 18:18:11 GMT+3; 2017-05-14 19:00; Nothing; Xlenovo
Eibar; ; ; ; ; ; ; ; ; 4/5; ; ; ; ; ; ; ; ; 3/4; 5/6; ; 19/25; ; 11/13; ; 11/13; ; 4/9; ; 
Draw; ; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; 13/5; 12/5; ; 59/20; ; 12/5; ; 12/5; ; 2; ; 
Gijon; ; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; 7/2; 10/3; ; 41/10; ; 17/5; ; 7/2; ; 19/10; ; 
META; spain/la-liga-primera/eibar-v-gijon; 2017-05-06 22:18:07 GMT+3; 2017-05-14 19:00; Nothing; Xlenovo
Eibar; ; ; ; ; ; ; ; ; 4/5; ; ; ; ; ; ; ; ; 3/4; 5/6; ; 77/100; ; 11/13; ; 11/13; ; 1/4; ; 
Draw; ; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; 13/5; 12/5; ; 59/20; ; 12/5; ; 12/5; ; 2; ; 
Gijon; ; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; 7/2; 10/3; ; 4; ; 17/5; ; 7/2; ; 1/4; ; 
META; spain/la-liga-primera/eibar-v-gijon; 2017-05-07 02:17:36 GMT+3; 2017-05-14 19:00; Nothing; Xlenovo
Eibar; ; ; ; ; ; ; ; ; 5/6; ; ; ; ; ; ; ; ; 3/4; 5/6; ; 20/21; ; 11/13; ; 11/13; ; 11/10; ; 
Draw; ; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; 13/5; 12/5; ; 59/20; ; 12/5; ; 12/5; ; 2; ; 
Gijon; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; 7/2; 10/3; ; 3; ; 17/5; ; 7/2; ; 1/4; ; 
META; spain/la-liga-primera/eibar-v-gijon; 2017-05-07 10:17:37 GMT+3; 2017-05-14 19:00; Nothing; Xlenovo
Eibar; ; ; ; ; ; ; ; ; 5/6; ; ; ; ; ; ; ; ; 5/6; 5/6; ; 20/21; ; 11/13; ; 11/13; ; 21/20; ; 
Draw; ; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; 5/2; 12/5; ; 59/20; ; 12/5; ; 12/5; ; 2; ; 
Gijon; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; 16/5; 10/3; ; 3; ; 17/5; ; 7/2; ; 1/4; ; 
META; spain/la-liga-primera/eibar-v-gijon; 2017-05-07 14:17:36 GMT+3; 2017-05-14 19:00; Nothing; Xlenovo
Eibar; ; ; ; ; ; ; ; ; 9/10; ; ; ; ; ; ; ; ; 10/11; 9/10; ; 20/21; ; 9/10; ; 9/10; ; 10/9; ; 
Draw; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; 12/5; 12/5; ; 59/20; ; 12/5; ; 12/5; ; 2; ; 
Gijon; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; 3; 3; ; 3; ; 16/5; ; 16/5; ; 9/5; ; 
META; spain/la-liga-primera/eibar-v-gijon; 2017-05-07 18:17:35 GMT+3; 2017-05-14 19:00; Nothing; Xlenovo
