META; english/league-2/morecambe-v-newport-county; 2017-03-11 22:22:33 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Morecambe; 6/4; 7/5; ; 7/5; 6/4; ; 6/4; 11/8; 6/4; ; ; ; ; 6/4; ; 6/4; 6/4; ; ; 6/4; ; ; ; ; ; 11/8; ; 
Newport County; 7/4; 9/5; ; 7/4; 9/5; ; 9/5; 13/8; 9/5; ; ; ; ; 7/4; ; 9/5; 17/10; ; ; 17/10; ; ; ; ; ; 13/8; ; 
Draw; 12/5; 9/4; ; 11/5; 12/5; ; 12/5; 23/10; 12/5; ; ; ; ; 12/5; ; 12/5; 40/17; ; ; 40/17; ; ; ; ; ; 21/10; ; 
META; english/league-2/morecambe-v-newport-county; 2017-03-12 02:21:17 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Morecambe; 6/4; 7/5; ; 7/5; 6/4; ; 6/4; 11/8; 6/4; ; 13/10; ; ; 6/4; ; 6/4; 6/4; ; ; 6/4; ; ; ; ; ; 11/8; ; 
Newport County; 7/4; 9/5; ; 7/4; 9/5; ; 9/5; 13/8; 9/5; ; 13/8; ; ; 7/4; ; 9/5; 7/4; ; ; 7/4; ; ; ; ; ; 13/8; ; 
Draw; 12/5; 9/4; ; 11/5; 12/5; ; 12/5; 23/10; 12/5; ; 9/4; ; ; 12/5; ; 12/5; 40/17; ; ; 40/17; ; ; ; ; ; 21/10; ; 
META; english/league-2/morecambe-v-newport-county; 2017-03-12 06:21:14 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Morecambe; 6/4; 7/5; ; 7/5; 6/4; ; 6/4; 11/8; 6/4; ; 13/10; 29/20; ; 6/4; ; 6/4; 6/4; ; ; 6/4; ; ; ; ; ; 11/8; ; 
Newport County; 7/4; 9/5; ; 7/4; 9/5; ; 9/5; 13/8; 9/5; ; 13/8; 7/4; ; 7/4; ; 9/5; 7/4; ; ; 7/4; ; ; ; ; ; 13/8; ; 
Draw; 12/5; 9/4; ; 11/5; 12/5; ; 12/5; 23/10; 12/5; ; 9/4; 5/2; ; 12/5; ; 12/5; 40/17; ; ; 40/17; ; ; ; ; ; 21/10; ; 
META; english/league-2/morecambe-v-newport-county; 2017-03-12 10:22:00 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Morecambe; 6/4; 7/5; ; 7/5; 6/4; ; 6/4; 11/8; 6/4; ; 13/10; 29/20; ; 6/4; ; 6/4; 16/11; ; 7/5; 16/11; ; ; 31/21; ; ; 11/8; ; 
Newport County; 7/4; 9/5; ; 7/4; 9/5; ; 9/5; 13/8; 9/5; ; 13/8; 7/4; ; 7/4; ; 9/5; 7/4; ; 7/4; 7/4; ; ; 7/4; ; ; 13/8; ; 
Draw; 12/5; 9/4; ; 11/5; 12/5; ; 12/5; 23/10; 12/5; ; 9/4; 5/2; ; 12/5; ; 12/5; 40/17; ; 12/5; 40/17; ; ; 12/5; ; ; 21/10; ; 
META; english/league-2/morecambe-v-newport-county; 2017-03-12 14:21:39 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Morecambe; 13/10; 7/5; 13/10; 7/5; 11/8; ; 7/5; 11/8; 7/5; 13/10; 11/8; 7/5; 27/20; 11/8; ; 7/5; 23/17; ; 7/5; 23/17; 31/20; ; 31/21; ; ; 5/4; ; 
Newport County; 2; 9/5; 39/20; 7/4; 2; ; 2; 13/8; 2; 19/10; 19/10; 19/10; 19/10; 2; ; 2; 37/19; ; 7/4; 37/19; 15/8; ; 7/4; ; ; 9/5; ; 
Draw; 12/5; 9/4; 11/5; 11/5; 12/5; ; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; ; 12/5; 40/17; ; 12/5; 40/17; 5/2; ; 12/5; ; ; 21/10; ; 
META; english/league-2/morecambe-v-newport-county; 2017-03-12 18:21:20 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Morecambe; 13/10; 7/5; 13/10; 7/5; 11/8; 5/4; 11/8; 11/8; 7/5; 11/8; 27/20; 29/20; 27/20; 11/8; 11/8; 7/5; 13/10; ; 27/20; 13/10; 31/20; 24/19; 23/17; 13/10; ; 5/4; ; 
Newport County; 2; 9/5; 39/20; 7/4; 2; 20/11; 2; 13/8; 2; 19/10; 2; 2; 19/10; 2; 19/10; 2; 37/19; ; 19/10; 37/19; 15/8; 30/17; 19/10; 2; ; 9/5; ; 
