META; english/league-2/yeovil-v-cambridge; 2017-02-12 02:24:19 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Cambridge; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/5; ; ; ; 
Yeovil; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/5; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; 
META; english/league-2/yeovil-v-cambridge; 2017-02-12 06:22:17 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Cambridge; ; ; ; ; ; ; ; ; ; ; ; 31/20; ; ; ; ; ; ; 8/5; 8/5; ; ; 8/5; 8/5; ; ; ; 
Yeovil; ; ; ; ; ; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; 13/8; 8/5; ; ; 28/17; 8/5; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; 23/10; 40/17; ; ; 40/17; 12/5; ; ; ; 
META; english/league-2/yeovil-v-cambridge; 2017-02-12 10:22:38 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Yeovil; ; ; ; ; ; ; ; ; ; ; ; 8/5; ; ; ; ; 8/5; ; 13/8; 8/5; 17/10; ; 28/17; 8/5; ; ; ; 
Cambridge; ; ; ; ; ; ; ; ; ; ; ; 31/20; ; ; ; ; 8/5; ; 8/5; 8/5; 177/100; ; 8/5; 8/5; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; 40/17; ; 23/10; 40/17; 12/5; ; 40/17; 12/5; ; ; ; 
META; english/league-2/yeovil-v-cambridge; 2017-02-12 14:22:31 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Yeovil; ; ; ; ; ; 8/5; ; ; ; 13/8; ; 17/10; 13/8; ; ; ; 8/5; ; 13/8; 8/5; 87/50; ; 28/17; 8/5; ; ; ; 
Cambridge; ; ; ; ; ; 31/20; ; ; ; 13/8; ; 13/8; 8/5; ; ; ; 8/5; ; 8/5; 8/5; 9/5; ; 8/5; 8/5; ; ; ; 
Draw; ; ; ; ; ; 12/5; ; ; ; 9/4; ; 9/4; 47/20; ; ; ; 40/17; ; 23/10; 40/17; 12/5; ; 40/17; 12/5; ; ; ; 
META; english/league-2/yeovil-v-cambridge; 2017-02-12 18:21:48 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Cambridge; ; ; ; ; ; 29/20; ; 8/5; ; 6/4; ; 8/5; 31/20; ; ; ; 17/11; ; 8/5; 17/11; 43/25; 16/11; 8/5; 6/4; ; ; 6/4; 
Yeovil; ; ; ; ; ; 13/8; ; 13/8; ; 9/5; ; 19/10; 7/4; ; ; ; 17/10; ; 13/8; 17/10; 87/50; 29/18; 28/17; 7/4; ; ; 7/4; 
Draw; ; ; ; ; ; 11/5; ; 23/10; ; 11/5; ; 2; 9/4; ; ; ; 23/10; ; 23/10; 23/10; 12/5; 9/4; 40/17; 23/10; ; ; 21/10; 
META; english/league-2/yeovil-v-cambridge; 2017-02-12 22:22:41 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Cambridge; ; ; ; ; ; 11/8; ; 7/5; ; 7/5; ; 6/4; 29/20; ; ; ; 6/4; 23/17; 8/5; 6/4; 31/20; 23/17; 8/5; 7/5; ; ; 7/5; 
Yeovil; ; ; ; ; ; 17/10; ; 6/4; ; 15/8; ; 19/10; 37/20; ; ; ; 7/4; 19/10; 13/8; 7/4; 39/20; 19/11; 28/17; 15/8; ; ; 9/5; 
Draw; ; ; ; ; ; 43/20; ; 9/4; ; 11/5; ; 21/10; 9/4; ; ; ; 23/10; 23/10; 23/10; 23/10; 12/5; 9/4; 40/17; 9/4; ; ; 21/10; 
META; english/league-2/yeovil-v-cambridge; 2017-02-13 02:22:15 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Cambridge; ; ; ; ; ; 11/8; ; 7/5; ; 7/5; ; 31/20; 29/20; ; ; ; 6/4; 23/17; 8/5; 6/4; 31/20; 23/17; 8/5; 7/5; ; ; 7/5; 
Yeovil; ; ; ; ; ; 17/10; ; 6/4; ; 19/10; ; 2; 37/20; ; ; ; 9/5; 19/10; 13/8; 9/5; 39/20; 19/11; 28/17; 15/8; ; ; 9/5; 
Draw; ; ; ; ; ; 43/20; ; 9/4; ; 11/5; ; 2; 9/4; ; ; ; 23/10; 23/10; 23/10; 23/10; 12/5; 9/4; 40/17; 9/4; ; ; 21/10; 
META; english/league-2/yeovil-v-cambridge; 2017-02-13 06:21:21 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Cambridge; ; ; ; ; ; 27/20; ; 7/5; ; 7/5; ; 31/20; 29/20; ; ; ; 6/4; 23/17; 8/5; 6/4; 31/20; 23/17; 8/5; 7/5; ; ; 2/11; 
Yeovil; ; ; ; ; ; 7/4; ; 6/4; ; 19/10; ; 2; 15/8; ; ; ; 7/4; 19/10; 13/8; 7/4; 39/20; 19/11; 28/17; 15/8; ; ; 13/10; 
Draw; ; ; ; ; ; 43/20; ; 9/4; ; 11/5; ; 2; 9/4; ; ; ; 23/10; 23/10; 23/10; 23/10; 12/5; 9/4; 40/17; 11/5; ; ; 19/10; 
META; english/league-2/yeovil-v-cambridge; 2017-02-13 10:22:00 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Cambridge; ; ; ; ; ; 27/20; ; 7/5; ; 6/4; ; 6/4; ; ; ; ; 16/11; 23/17; 11/8; 16/11; 31/20; 23/17; 11/8; 6/4; ; ; 7/5; 
Yeovil; ; ; ; ; ; 7/4; ; 6/4; ; 19/10; ; 2; ; ; ; ; 19/10; 19/10; 19/10; 19/10; 39/20; 19/11; 19/10; 15/8; ; ; 9/5; 
Draw; ; ; ; ; ; 43/20; ; 9/4; ; 21/10; ; 21/10; ; ; ; ; 28/13; 23/10; 23/10; 28/13; 12/5; 9/4; 40/17; 11/5; ; ; 21/10; 
META; english/league-2/yeovil-v-cambridge; 2017-02-13 14:22:08 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Cambridge; ; ; ; ; ; 27/20; ; 6/4; ; 6/4; ; 6/4; 29/20; ; ; ; 16/11; 23/17; 11/8; 16/11; 31/20; 23/17; 11/8; 6/4; ; ; 7/5; 
Yeovil; ; ; ; ; ; 7/4; ; 9/5; ; 19/10; ; 2; 19/10; ; ; ; 19/10; 19/10; 19/10; 19/10; 41/20; 19/11; 19/10; 2; ; ; 9/5; 
Draw; ; ; ; ; ; 43/20; ; 9/4; ; 21/10; ; 21/10; 11/5; ; ; ; 28/13; 23/10; 23/10; 28/13; 9/4; 9/4; 40/17; 11/5; ; ; 21/10; 
