META; english/league-2/exeter-v-cheltenham; 2017-03-11 22:22:30 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Exeter; 10/11; 5/6; ; 10/11; 19/20; ; 37/40; 5/6; 10/11; ; 10/11; ; ; 10/11; ; 19/20; 10/11; ; ; 10/11; ; ; ; ; ; 5/6; ; 
Draw; 13/5; 5/2; ; 23/10; 13/5; ; 13/5; 12/5; 13/5; ; 12/5; ; ; 5/2; ; 13/5; 13/5; ; ; 13/5; ; ; ; ; ; 9/4; ; 
Cheltenham; 11/4; 3; ; 13/5; 3; ; 3; 11/4; 14/5; ; 9/4; ; ; 29/10; ; 14/5; 11/4; ; ; 11/4; ; ; ; ; ; 13/5; ; 
META; english/league-2/exeter-v-cheltenham; 2017-03-12 02:21:15 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Exeter; 10/11; 5/6; ; 10/11; 19/20; ; 10/11; 5/6; 10/11; ; 10/11; ; ; 10/11; ; 19/20; 10/11; ; ; 10/11; ; ; ; ; ; 5/6; ; 
Draw; 13/5; 5/2; ; 23/10; 13/5; ; 13/5; 12/5; 13/5; ; 12/5; ; ; 5/2; ; 13/5; 13/5; ; ; 13/5; ; ; ; ; ; 9/4; ; 
Cheltenham; 11/4; 3; ; 13/5; 3; ; 3; 11/4; 14/5; ; 9/4; ; ; 29/10; ; 14/5; 14/5; ; ; 14/5; ; ; ; ; ; 13/5; ; 
META; english/league-2/exeter-v-cheltenham; 2017-03-12 06:21:12 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Exeter; 10/11; 5/6; ; 10/11; 19/20; ; 37/40; 5/6; 10/11; ; 10/11; 10/11; ; 10/11; ; 19/20; 10/11; ; ; 10/11; ; ; ; ; ; 5/6; ; 
Draw; 13/5; 5/2; ; 23/10; 13/5; ; 13/5; 12/5; 13/5; ; 12/5; 5/2; ; 5/2; ; 13/5; 28/11; ; ; 28/11; ; ; ; ; ; 9/4; ; 
Cheltenham; 11/4; 3; ; 13/5; 3; ; 3; 11/4; 14/5; ; 9/4; 14/5; ; 29/10; ; 14/5; 14/5; ; ; 14/5; ; ; ; ; ; 13/5; ; 
META; english/league-2/exeter-v-cheltenham; 2017-03-12 10:21:58 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Exeter; 10/11; 5/6; ; 10/11; 19/20; ; 10/11; 5/6; 10/11; ; 10/11; 10/11; ; 10/11; ; 19/20; 10/11; ; 9/10; 10/11; ; ; 9/10; ; ; 5/6; ; 
Draw; 13/5; 5/2; ; 23/10; 13/5; ; 13/5; 12/5; 13/5; ; 12/5; 5/2; ; 5/2; ; 13/5; 13/5; ; 13/5; 13/5; ; ; 13/5; ; ; 9/4; ; 
Cheltenham; 11/4; 3; ; 13/5; 3; ; 3; 11/4; 14/5; ; 9/4; 14/5; ; 29/10; ; 14/5; 14/5; ; 14/5; 14/5; ; ; 14/5; ; ; 13/5; ; 
META; english/league-2/exeter-v-cheltenham; 2017-03-12 14:21:35 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
