META; english/league-2/portsmouth-v-grimsby; 2017-03-11 22:22:37 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Portsmouth; 8/15; 1/2; ; 1/2; 8/15; ; 1/2; 1/2; 8/15; ; 2/5; ; ; 1/2; ; 8/15; 8/15; ; ; 8/15; ; ; ; ; ; 4/9; ; 
Draw; 10/3; 3; ; 3; 7/2; ; 7/2; 29/10; 10/3; ; 3; ; ; 10/3; ; 10/3; 33/10; ; ; 33/10; ; ; ; ; ; 14/5; ; 
Grimsby; 9/2; 5; ; 5; 5; ; 21/4; 9/2; 5; ; 11/2; ; ; 11/2; ; 5; 50/11; ; ; 50/11; ; ; ; ; ; 23/5; ; 
META; english/league-2/portsmouth-v-grimsby; 2017-03-12 02:21:19 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Portsmouth; 8/15; 1/2; ; 1/2; 8/15; ; 1/2; 1/2; 8/15; ; 2/5; ; ; 1/2; ; 8/15; 8/15; ; ; 8/15; ; ; ; ; ; 4/9; ; 
Draw; 10/3; 3; ; 3; 7/2; ; 7/2; 29/10; 10/3; ; 3; ; ; 10/3; ; 10/3; 33/10; ; ; 33/10; ; ; ; ; ; 14/5; ; 
Grimsby; 9/2; 5; ; 5; 5; ; 21/4; 9/2; 5; ; 11/2; ; ; 11/2; ; 5; 50/11; ; ; 50/11; ; ; ; ; ; 23/5; ; 
META; english/league-2/portsmouth-v-grimsby; 2017-03-12 06:21:16 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Portsmouth; 8/15; 1/2; ; 1/2; 8/15; ; 1/2; 1/2; 8/15; ; 2/5; 1/2; ; 1/2; ; 8/15; 8/15; ; ; 8/15; ; ; ; ; ; 4/9; ; 
Draw; 10/3; 3; ; 3; 7/2; ; 7/2; 29/10; 10/3; ; 3; 10/3; ; 10/3; ; 10/3; 13/4; ; ; 13/4; ; ; ; ; ; 14/5; ; 
Grimsby; 9/2; 5; ; 5; 5; ; 21/4; 9/2; 5; ; 11/2; 5; ; 11/2; ; 5; 79/17; ; ; 79/17; ; ; ; ; ; 23/5; ; 
META; english/league-2/portsmouth-v-grimsby; 2017-03-12 10:22:02 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Portsmouth; 8/15; 1/2; ; 1/2; 8/15; ; 1/2; 1/2; 8/15; ; 2/5; 1/2; ; 1/2; ; 1/2; 18/35; ; 1/2; 18/35; ; ; 1/2; ; ; 4/9; ; 
Draw; 10/3; 3; ; 3; 7/2; ; 7/2; 29/10; 10/3; ; 3; 10/3; ; 10/3; ; 10/3; 57/17; ; 10/3; 57/17; ; ; 17/5; ; ; 14/5; ; 
Grimsby; 9/2; 5; ; 5; 5; ; 21/4; 9/2; 5; ; 11/2; 5; ; 11/2; ; 11/2; 24/5; ; 5; 24/5; ; ; 5; ; ; 23/5; ; 
META; english/league-2/portsmouth-v-grimsby; 2017-03-12 14:21:43 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Portsmouth; 4/9; 1/2; 40/85; 1/2; 9/20; ; 1/2; 1/2; 1/2; 10/21; 2/5; 4/9; 9/20; 4/9; ; 1/2; 7/15; ; 1/2; 7/15; 51/100; ; 1/2; ; ; 4/9; ; 
Draw; 7/2; 3; 31/10; 3; 7/2; ; 7/2; 29/10; 7/2; 10/3; 3; 16/5; 7/2; 16/5; ; 10/3; 38/11; ; 10/3; 38/11; 7/2; ; 17/5; ; ; 14/5; ; 
Grimsby; 11/2; 5; 11/2; 5; 6; ; 11/2; 9/2; 11/2; 11/2; 11/2; 6; 11/2; 6; ; 11/2; 91/17; ; 5; 91/17; 61/10; ; 5; ; ; 26/5; ; 
META; english/league-2/portsmouth-v-grimsby; 2017-03-12 18:21:22 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
