META; english/league-2/crawley-v-crewe; 2017-03-11 22:22:25 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Crawley; 7/5; 11/8; ; 11/8; 29/20; ; 29/20; 13/10; 7/5; ; 11/8; ; 7/5; 29/20; ; 16/11; 7/5; ; ; 7/5; ; ; ; ; ; 27/20; ; 
Crewe; 9/5; 9/5; ; 9/5; 15/8; ; 15/8; 7/4; 15/8; ; 9/5; ; 9/5; 15/8; ; 15/8; 9/5; ; ; 9/5; ; ; ; ; ; 7/4; ; 
Draw; 12/5; 9/4; ; 11/5; 5/2; ; 12/5; 11/5; 5/2; ; 11/5; ; 12/5; 12/5; ; 12/5; 12/5; ; ; 12/5; ; ; ; ; ; 21/10; ; 
META; english/league-2/crawley-v-crewe; 2017-03-12 02:21:11 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Crawley; 7/5; 11/8; ; 11/8; 29/20; ; 29/20; 13/10; 7/5; ; 6/4; ; 7/5; 29/20; ; 16/11; 7/5; ; ; 7/5; ; ; ; ; ; 27/20; ; 
Crewe; 9/5; 9/5; ; 9/5; 15/8; ; 15/8; 7/4; 15/8; ; 6/4; ; 9/5; 15/8; ; 15/8; 9/5; ; ; 9/5; ; ; ; ; ; 7/4; ; 
Draw; 12/5; 9/4; ; 11/5; 5/2; ; 12/5; 11/5; 5/2; ; 21/10; ; 12/5; 12/5; ; 12/5; 12/5; ; ; 12/5; ; ; ; ; ; 21/10; ; 
META; english/league-2/crawley-v-crewe; 2017-03-12 06:21:07 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Crawley; 7/5; 11/8; ; 11/8; 29/20; ; 29/20; 13/10; 7/5; ; 6/4; 29/20; 7/5; 29/20; ; 16/11; 7/5; ; ; 7/5; ; ; ; ; ; 27/20; ; 
Crewe; 9/5; 9/5; ; 9/5; 15/8; ; 15/8; 7/4; 15/8; ; 6/4; 9/5; 9/5; 15/8; ; 15/8; 9/5; ; ; 9/5; ; ; ; ; ; 7/4; ; 
Draw; 12/5; 9/4; ; 11/5; 5/2; ; 12/5; 11/5; 5/2; ; 21/10; 12/5; 12/5; 12/5; ; 12/5; 12/5; ; ; 12/5; ; ; ; ; ; 21/10; ; 
META; english/league-2/crawley-v-crewe; 2017-03-12 10:21:53 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Crawley; 7/5; 11/8; ; 11/8; 29/20; ; 29/20; 13/10; 7/5; ; 6/4; 29/20; 7/5; 29/20; ; 16/11; 7/5; ; 11/8; 7/5; ; ; 11/8; ; ; 27/20; ; 
