META; english/league-2/blackpool-v-cheltenham; 2017-04-18 02:20:35 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Blackpool; 1; 5/6; ; 4/6; 19/20; ; 19/20; 10/11; 1; ; ; ; 19/20; ; ; 19/20; 1; ; ; 1; ; ; ; 1; ; ; ; ; 
Cheltenham; 16/5; 16/5; 31/10; 3; 3; 14/5; 31/10; 12/5; 3; 3; 3; 3; 3; 3; 3; 31/10; 58/19; 14/5; 3; 58/19; 57/20; 13/5; 16/5; 3; 16/5; ; 14/5; 14/5; 3
META; english/league-2/blackpool-v-cheltenham; 2017-04-19 02:20:22 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Blackpool; 5/6; 17/20; 9/10; 10/11; 9/10; 5/6; 9/10; 10/11; 9/10; 17/20; 10/11; 10/11; 9/10; 10/11; 10/11; 10/11; 5/6; 9/10; 5/6; 5/6; 99/100; 9/10; 5/6; 17/20; 5/6; ; 5/6; 9/10; 10/11
Draw; 13/5; 5/2; 9/4; 5/2; 5/2; 12/5; 13/5; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 13/5; 27/11; 13/5; 5/2; 27/11; 14/5; 40/17; 28/11; 5/2; 28/11; ; 12/5; 12/5; 13/5
Cheltenham; 16/5; 16/5; 31/10; 3; 3; 14/5; 31/10; 3; 3; 3; 3; 3; 3; 3; 3; 31/10; 58/19; 14/5; 3; 58/19; 57/20; 13/5; 16/5; 3; 16/5; ; 14/5; 14/5; 3
META; english/league-2/blackpool-v-cheltenham; 2017-04-19 06:20:21 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Blackpool; 5/6; 17/20; 17/20; 10/11; 9/10; 5/6; 9/10; 10/11; 9/10; 17/20; 10/11; 10/11; 9/10; 10/11; 10/11; 10/11; 5/6; 9/10; 5/6; 5/6; 99/100; 9/10; 5/6; 17/20; 5/6; ; 5/6; 9/10; 10/11
Draw; 13/5; 5/2; 23/10; 5/2; 5/2; 12/5; 13/5; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 13/5; 27/11; 13/5; 5/2; 27/11; 14/5; 40/17; 28/11; 5/2; 28/11; ; 12/5; 12/5; 13/5
Cheltenham; 16/5; 16/5; 31/10; 3; 3; 14/5; 31/10; 3; 3; 3; 3; 3; 3; 16/5; 3; 31/10; 58/19; 14/5; 3; 58/19; 57/20; 13/5; 16/5; 3; 16/5; ; 14/5; 14/5; 3
META; english/league-2/blackpool-v-cheltenham; 2017-04-19 10:20:21 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Blackpool; 5/6; 17/20; 17/20; 10/11; 17/20; 5/6; 9/10; 10/11; 9/10; 17/20; 10/11; 10/11; 9/10; 10/11; 10/11; 10/11; 5/6; 9/10; 5/6; 5/6; 99/100; 9/10; 5/6; 17/20; 5/6; ; 5/6; 9/10; 10/11
Draw; 13/5; 5/2; 23/10; 5/2; 5/2; 12/5; 13/5; 12/5; 5/2; 5/2; 5/2; 12/5; 12/5; 5/2; 5/2; 13/5; 27/11; 13/5; 5/2; 27/11; 14/5; 12/5; 28/11; 5/2; 28/11; ; 12/5; 12/5; 13/5
Cheltenham; 16/5; 16/5; 31/10; 3; 16/5; 14/5; 31/10; 3; 3; 3; 3; 3; 3; 16/5; 3; 31/10; 58/19; 14/5; 3; 58/19; 57/20; 14/5; 16/5; 3; 16/5; ; 14/5; 14/5; 3
META; english/league-2/blackpool-v-cheltenham; 2017-04-19 14:20:22 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Blackpool; 5/6; 17/20; 17/20; 10/11; 9/10; 5/6; 9/10; 10/11; 9/10; 17/20; 10/11; 10/11; 9/10; 10/11; 10/11; 10/11; 5/6; 9/10; 5/6; 5/6; 99/100; 9/10; 5/6; 17/20; 5/6; ; 5/6; 9/10; 10/11
Draw; 13/5; 5/2; 23/10; 5/2; 5/2; 12/5; 13/5; 12/5; 5/2; 5/2; 5/2; 12/5; 12/5; 5/2; 5/2; 13/5; 27/11; 13/5; 5/2; 27/11; 14/5; 12/5; 28/11; 5/2; 28/11; ; 12/5; 12/5; 13/5
Cheltenham; 16/5; 16/5; 31/10; 3; 3; 14/5; 31/10; 3; 3; 3; 3; 3; 3; 16/5; 3; 31/10; 58/19; 14/5; 3; 58/19; 57/20; 14/5; 16/5; 3; 16/5; ; 14/5; 14/5; 3
META; english/league-2/blackpool-v-cheltenham; 2017-04-19 18:20:24 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Blackpool; 5/6; 17/20; 17/20; 10/11; 9/10; 5/6; 9/10; 10/11; 9/10; 17/20; 10/11; 10/11; 9/10; 10/11; 10/11; 10/11; 13/15; 9/10; 5/6; 13/15; 99/100; 9/10; 5/6; 17/20; 5/6; ; 5/6; 9/10; 10/11
Draw; 13/5; 5/2; 23/10; 5/2; 5/2; 12/5; 13/5; 12/5; 5/2; 5/2; 5/2; 12/5; 12/5; 5/2; 5/2; 13/5; 5/2; 13/5; 5/2; 5/2; 14/5; 12/5; 28/11; 5/2; 28/11; ; 12/5; 12/5; 13/5
Cheltenham; 16/5; 16/5; 31/10; 3; 3; 14/5; 31/10; 3; 3; 3; 3; 3; 3; 16/5; 3; 31/10; 31/10; 14/5; 3; 31/10; 57/20; 14/5; 16/5; 3; 16/5; ; 14/5; 14/5; 3
META; english/league-2/blackpool-v-cheltenham; 2017-04-19 22:20:36 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Blackpool; 5/6; 17/20; 10/11; 10/11; 9/10; 17/20; 19/20; 10/11; 10/11; 10/11; 10/11; 20/21; 10/11; 10/11; 10/11; 10/11; 10/11; 9/10; 5/6; 10/11; 99/100; 10/11; 5/6; 10/11; 5/6; ; 9/10; 10/11; 10/11
Draw; 13/5; 5/2; 9/4; 5/2; 5/2; 23/10; 13/5; 12/5; 5/2; 12/5; 5/2; 23/10; 12/5; 5/2; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 14/5; 12/5; 28/11; 12/5; 28/11; ; 12/5; 12/5; 13/5
Cheltenham; 16/5; 16/5; 29/10; 3; 3; 11/4; 29/10; 3; 3; 3; 3; 3; 3; 3; 3; 31/10; 58/19; 14/5; 3; 58/19; 57/20; 14/5; 16/5; 3; 16/5; ; 14/5; 14/5; 3
META; english/league-2/blackpool-v-cheltenham; 2017-04-20 02:20:29 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Blackpool; 5/6; 19/20; 10/11; 10/11; 9/10; 17/20; 19/20; 10/11; 10/11; 10/11; 10/11; 20/21; 10/11; 10/11; 10/11; 10/11; 13/15; 9/10; 5/6; 13/15; 99/100; 10/11; 5/6; 10/11; 5/6; ; 9/10; 10/11; 10/11
Draw; 13/5; 12/5; 9/4; 5/2; 5/2; 23/10; 13/5; 12/5; 5/2; 12/5; 5/2; 23/10; 12/5; 5/2; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 14/5; 12/5; 28/11; 12/5; 28/11; ; 12/5; 12/5; 13/5
Cheltenham; 16/5; 3; 29/10; 3; 3; 11/4; 29/10; 3; 3; 3; 3; 3; 3; 3; 3; 31/10; 58/19; 14/5; 3; 58/19; 57/20; 14/5; 16/5; 3; 16/5; ; 14/5; 14/5; 3
META; english/league-2/blackpool-v-cheltenham; 2017-04-20 06:20:28 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Blackpool; 10/11; 19/20; 10/11; 10/11; 9/10; 17/20; 19/20; 10/11; 10/11; 10/11; 10/11; 20/21; 10/11; 10/11; 10/11; 19/20; 13/15; 9/10; 5/6; 13/15; 99/100; 10/11; 5/6; 10/11; 5/6; ; 9/10; 10/11; 10/11
Draw; 13/5; 12/5; 9/4; 5/2; 5/2; 23/10; 13/5; 12/5; 5/2; 12/5; 5/2; 23/10; 12/5; 5/2; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 14/5; 12/5; 28/11; 12/5; 28/11; ; 12/5; 12/5; 13/5
Cheltenham; 11/4; 3; 29/10; 3; 3; 11/4; 29/10; 3; 3; 3; 3; 3; 3; 3; 3; 3; 58/19; 14/5; 3; 58/19; 57/20; 14/5; 16/5; 14/5; 16/5; ; 14/5; 14/5; 3
META; english/league-2/blackpool-v-cheltenham; 2017-04-20 10:20:27 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Blackpool; 10/11; 19/20; 10/11; 10/11; 10/11; 17/20; 19/20; 10/11; 10/11; 10/11; 10/11; 20/21; 10/11; 10/11; 10/11; 19/20; 10/11; 9/10; 5/6; 10/11; 99/100; 10/11; 5/6; 10/11; 5/6; ; 9/10; 10/11; 10/11
Draw; 13/5; 12/5; 9/4; 5/2; 5/2; 12/5; 13/5; 12/5; 5/2; 12/5; 5/2; 23/10; 12/5; 5/2; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 14/5; 12/5; 28/11; 12/5; 28/11; ; 12/5; 12/5; 13/5
Cheltenham; 11/4; 3; 29/10; 3; 3; 27/10; 29/10; 3; 3; 3; 3; 3; 3; 29/10; 3; 3; 3; 14/5; 3; 3; 57/20; 14/5; 16/5; 14/5; 16/5; ; 14/5; 14/5; 3
META; english/league-2/blackpool-v-cheltenham; 2017-04-20 14:20:32 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Blackpool; 10/11; 19/20; 10/11; 10/11; 10/11; 17/20; 19/20; 10/11; 10/11; 10/11; 10/11; 20/21; 10/11; 10/11; 10/11; 19/20; 13/15; 9/10; 5/6; ; 99/100; 10/11; 5/6; 10/11; 5/6; ; 10/11; 10/11; 10/11
Draw; 13/5; 12/5; 9/4; 5/2; 5/2; 12/5; 13/5; 12/5; 5/2; 12/5; 5/2; 23/10; 12/5; 5/2; 5/2; 5/2; 5/2; 13/5; 5/2; ; 14/5; 12/5; 28/11; 12/5; 28/11; ; 12/5; 12/5; 13/5
Cheltenham; 11/4; 3; 29/10; 3; 3; 27/10; 29/10; 3; 3; 3; 3; 3; 3; 29/10; 3; 3; 3; 14/5; 3; ; 57/20; 14/5; 16/5; 14/5; 16/5; ; 14/5; 14/5; 3
META; english/league-2/blackpool-v-cheltenham; 2017-04-20 18:20:27 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Blackpool; 10/11; 19/20; 10/11; 10/11; 19/20; 17/20; 19/20; 10/11; 10/11; 10/11; 10/11; 20/21; 10/11; 19/20; 10/11; 19/20; 10/11; 9/10; 5/6; 10/11; 99/100; 19/20; 5/6; 10/11; 5/6; ; 10/11; 10/11; 20/21
Draw; 13/5; 12/5; 9/4; 5/2; 5/2; 12/5; 13/5; 23/10; 5/2; 12/5; 5/2; 23/10; 12/5; 13/5; 5/2; 13/5; 5/2; 13/5; 5/2; 5/2; 14/5; 28/11; 28/11; 12/5; 28/11; ; 5/2; 12/5; 5/2
Cheltenham; 11/4; 3; 29/10; 3; 11/4; 13/5; 29/10; 12/5; 3; 14/5; 3; 3; 3; 16/5; 3; 29/10; 29/10; 14/5; 3; 29/10; 57/20; 45/17; 16/5; 11/4; 16/5; ; 14/5; 13/5; 3
META; english/league-2/blackpool-v-cheltenham; 2017-04-20 22:20:30 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Blackpool; 10/11; 19/20; 10/11; 10/11; 19/20; 17/20; 19/20; 10/11; 10/11; 10/11; 10/11; 20/21; 10/11; 19/20; 19/20; 19/20; 10/11; 9/10; 5/6; 10/11; 99/100; 19/20; 5/6; 10/11; 5/6; ; 10/11; 10/11; 20/21
Draw; 13/5; 12/5; 23/10; 5/2; 5/2; 12/5; 13/5; 23/10; 5/2; 12/5; 5/2; 23/10; 12/5; 13/5; 5/2; 13/5; 5/2; 13/5; 5/2; 5/2; 14/5; 28/11; 28/11; 12/5; 28/11; ; 5/2; 12/5; 5/2
Cheltenham; 11/4; 3; 29/10; 3; 11/4; 13/5; 29/10; 12/5; 3; 14/5; 3; 3; 3; 3; 14/5; 29/10; 29/10; 14/5; 3; 29/10; 57/20; 45/17; 16/5; 11/4; 16/5; ; 14/5; 14/5; 3
META; english/league-2/blackpool-v-cheltenham; 2017-04-21 02:20:15 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Blackpool; 19/20; 19/20; 10/11; 10/11; 10/11; 17/20; 37/40; 10/11; 10/11; 10/11; 10/11; 20/21; 10/11; 19/20; 19/20; 19/20; 10/11; 9/10; 9/10; 10/11; 99/100; 19/20; 9/10; 10/11; 9/10; ; 10/11; 10/11; 20/21
Draw; 11/4; 12/5; 23/10; 5/2; 5/2; 12/5; 13/5; 23/10; 5/2; 12/5; 5/2; 23/10; 12/5; 13/5; 5/2; 13/5; 5/2; 13/5; 5/2; 5/2; 14/5; 28/11; 5/2; 12/5; 5/2; ; 5/2; 5/2; 5/2
Cheltenham; 31/10; 3; 29/10; 3; 3; 13/5; 29/10; 12/5; 3; 3; 3; 3; 3; 3; 14/5; 29/10; 29/10; 14/5; 14/5; 29/10; 57/20; 45/17; 56/19; 14/5; 56/19; ; 14/5; 14/5; 3
META; english/league-2/blackpool-v-cheltenham; 2017-04-21 06:20:24 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Blackpool; 19/20; 19/20; 10/11; 10/11; 10/11; 17/20; 37/40; 10/11; 10/11; 10/11; 10/11; 20/21; 10/11; 19/20; 19/20; 19/20; 10/11; 9/10; 9/10; 10/11; 99/100; 19/20; 9/10; 10/11; 9/10; ; 10/11; 10/11; 20/21
Draw; 11/4; 12/5; 23/10; 5/2; 5/2; 12/5; 13/5; 23/10; 5/2; 12/5; 5/2; 23/10; 12/5; 13/5; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 14/5; 28/11; 5/2; 12/5; 5/2; ; 5/2; 5/2; 5/2
Cheltenham; 31/10; 3; 29/10; 3; 3; 13/5; 29/10; 12/5; 3; 3; 3; 3; 3; 3; 14/5; 3; 56/19; 14/5; 14/5; 56/19; 57/20; 45/17; 56/19; 14/5; 56/19; ; 14/5; 14/5; 3
META; english/league-2/blackpool-v-cheltenham; 2017-04-21 10:20:15 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Blackpool; 19/20; 19/20; 10/11; 10/11; 10/11; 17/20; 37/40; 10/11; 10/11; 10/11; 10/11; 20/21; 10/11; 19/20; 19/20; 19/20; 10/11; 9/10; 9/10; 10/11; 99/100; 19/20; 9/10; 10/11; 9/10; ; 10/11; 9/10; 20/21
Draw; 11/4; 12/5; 23/10; 5/2; 5/2; 12/5; 13/5; 23/10; 5/2; 12/5; 5/2; 23/10; 12/5; 13/5; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 14/5; 28/11; 5/2; 12/5; 5/2; ; 5/2; 5/2; 5/2
Cheltenham; 31/10; 3; 29/10; 3; 3; 13/5; 29/10; 12/5; 3; 3; 3; 3; 3; 3; 14/5; 3; 56/19; 14/5; 14/5; 56/19; 57/20; 45/17; 56/19; 14/5; 56/19; ; 14/5; 14/5; 3
META; english/league-2/blackpool-v-cheltenham; 2017-04-21 14:20:26 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Blackpool; 19/20; 19/20; 10/11; 10/11; 10/11; 17/20; 19/20; 10/11; 10/11; 10/11; 10/11; 20/21; 10/11; 1; 19/20; 19/20; 10/11; 9/10; 9/10; 10/11; 99/100; 19/20; 9/10; 19/20; 9/10; ; 10/11; 10/11; 20/21
Draw; 11/4; 12/5; 23/10; 23/10; 5/2; 12/5; 27/10; 23/10; 5/2; 12/5; 5/2; 23/10; 12/5; 13/5; 5/2; 5/2; 5/2; 13/5; 5/2; 27/11; 14/5; 28/11; 5/2; 5/2; 5/2; ; 5/2; 5/2; 5/2
Cheltenham; 31/10; 3; 29/10; 16/5; 3; 13/5; 3; 12/5; 3; 3; 3; 3; 3; 16/5; 14/5; 3; 56/19; 14/5; 14/5; 29/10; 57/20; 45/17; 56/19; 3; 56/19; ; 14/5; 14/5; 3
META; english/league-2/blackpool-v-cheltenham; 2017-04-21 18:25:01 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Blackpool; 19/20; 19/20; 10/11; 10/11; 10/11; 17/20; 19/20; 10/11; 10/11; 10/11; 10/11; 20/21; 10/11; 1; 19/20; 19/20; 10/11; 9/10; 9/10; 10/11; 99/100; 19/20; 9/10; 19/20; 9/10; ; 20/21; 10/11; 20/21
Draw; 11/4; 12/5; 23/10; 23/10; 5/2; 12/5; 27/10; 23/10; 5/2; 12/5; 5/2; 23/10; 12/5; 13/5; 5/2; 5/2; 27/11; 13/5; 5/2; 27/11; 14/5; 28/11; 5/2; 5/2; 5/2; ; 5/2; 5/2; 13/5
Cheltenham; 31/10; 3; 29/10; 16/5; 3; 13/5; 3; 12/5; 3; 3; 3; 3; 3; 16/5; 14/5; 3; 29/10; 14/5; 14/5; 29/10; 57/20; 45/17; 56/19; 3; 56/19; ; 14/5; 14/5; 3
META; english/league-2/blackpool-v-cheltenham; 2017-04-21 22:20:33 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Blackpool; 19/20; 19/20; 10/11; 10/11; 10/11; 17/20; 37/40; 10/11; 10/11; 10/11; 10/11; 20/21; 10/11; 19/20; 19/20; 19/20; 10/11; 9/10; 9/10; 10/11; 99/100; 19/20; 9/10; 19/20; 9/10; ; 9/10; 9/10; 20/21
Draw; 11/4; 12/5; 23/10; 23/10; 5/2; 12/5; 11/4; 23/10; 5/2; 12/5; 5/2; 23/10; 12/5; 27/10; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 14/5; 28/11; 5/2; 13/5; 5/2; ; 13/5; 5/2; 13/5
Cheltenham; 31/10; 3; 29/10; 16/5; 3; 13/5; 3; 12/5; 3; 3; 3; 3; 3; 16/5; 14/5; 3; 56/19; 14/5; 14/5; 56/19; 57/20; 45/17; 56/19; 3; 56/19; ; 3; 14/5; 3
META; english/league-2/blackpool-v-cheltenham; 2017-04-22 02:20:27 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Blackpool; 19/20; 10/11; 10/11; 10/11; 10/11; 17/20; 37/40; 10/11; 10/11; 10/11; 10/11; 20/21; 10/11; 19/20; 19/20; 19/20; 10/11; 9/10; 9/10; 10/11; 99/100; 19/20; 9/10; 19/20; 9/10; ; 10/11; 5/6; 20/21
Draw; 11/4; 5/2; 23/10; 23/10; 5/2; 12/5; 11/4; 23/10; 5/2; 12/5; 5/2; 23/10; 12/5; 27/10; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 14/5; 28/11; 5/2; 13/5; 5/2; ; 5/2; 5/2; 13/5
Cheltenham; 31/10; 3; 29/10; 16/5; 3; 13/5; 3; 12/5; 3; 3; 3; 3; 3; 16/5; 14/5; 3; 56/19; 14/5; 14/5; 56/19; 57/20; 45/17; 56/19; 3; 56/19; ; 3; 14/5; 3
META; english/league-2/blackpool-v-cheltenham; 2017-04-22 06:20:32 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Blackpool; 19/20; 10/11; 10/11; 10/11; 10/11; 17/20; 37/40; 10/11; 10/11; 10/11; 10/11; 20/21; 10/11; 19/20; 19/20; 19/20; 10/11; 9/10; 9/10; ; 99/100; 19/20; 9/10; 19/20; 9/10; ; 10/11; 9/10; 20/21
Draw; 11/4; 5/2; 23/10; 23/10; 5/2; 12/5; 11/4; 23/10; 5/2; 12/5; 5/2; 23/10; 12/5; 27/10; 5/2; 5/2; 5/2; 13/5; 5/2; ; 14/5; 28/11; 5/2; 13/5; 5/2; ; 5/2; 5/2; 13/5
Cheltenham; 31/10; 3; 29/10; 16/5; 3; 13/5; 3; 12/5; 3; 3; 3; 3; 3; 16/5; 14/5; 3; 56/19; 14/5; 14/5; ; 57/20; 45/17; 56/19; 3; 56/19; ; 3; 14/5; 3
META; english/league-2/blackpool-v-cheltenham; 2017-04-22 10:20:27 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Blackpool; 19/20; 10/11; 19/20; 10/11; 19/20; ; 1; 10/11; 1; 20/21; 10/11; 20/21; 19/20; 19/20; 19/20; 19/20; 19/20; 9/10; 20/21; 19/20; 99/100; 28/29; 39/40; 19/20; 39/40; ; 10/11; 9/10; 20/21
Draw; 13/5; 5/2; 9/4; 23/10; 5/2; ; 13/5; 23/10; 5/2; 12/5; 5/2; 12/5; 12/5; 27/10; 5/2; 5/2; 27/11; 13/5; 12/5; 27/11; 14/5; 5/2; 12/5; 5/2; 12/5; ; 5/2; 5/2; 5/2
Cheltenham; 16/5; 3; 14/5; 16/5; 11/4; ; 29/10; 12/5; 3; 3; 3; 14/5; 3; 16/5; 14/5; 3; 37/13; 14/5; 27/10; 56/19; 57/20; 13/5; 27/10; 3; 27/10; ; 3; 14/5; 3
META; english/league-2/blackpool-v-cheltenham; 2017-04-22 14:20:37 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Blackpool; 19/20; 17/20; 9/10; 10/11; 9/10; 5/6; 37/40; 10/11; 9/10; 10/11; 10/11; 10/11; 19/20; 19/20; 10/11; 10/11; 10/11; 9/10; 5/6; 10/11; 99/100; 10/11; 8/9; 10/11; 8/9; ; 10/11; 20/21; 20/21
Draw; 11/4; 5/2; 23/10; 23/10; 5/2; 12/5; 13/5; 23/10; 5/2; 12/5; 5/2; 12/5; 12/5; 27/10; 5/2; 5/2; 27/11; 13/5; 23/10; 27/11; 14/5; 28/11; 40/17; 13/5; 40/17; ; 5/2; 5/2; 5/2
Cheltenham; 3; 10/3; 3; 16/5; 3; 11/4; 16/5; 12/5; 3; 3; 3; 16/5; 3; 10/3; 3; 31/10; 3; 14/5; 3; 3; 57/20; 14/5; 16/5; 3; 16/5; ; 3; 3; 3
META; english/league-2/blackpool-v-cheltenham; 2017-04-22 18:20:30 GMT+3; 2017-04-22 15:00; In Play; Xlenovo
Blackpool; 1/33; 1/25; ; ; ; ; 1/28; 1/50; ; 1/25; ; 9/10; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25
Draw; 14; 20; ; ; ; ; 12; 16; ; 16; ; 9/4; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/5
Cheltenham; 50; 100; ; ; ; ; 40; 90; ; 66; ; 13/5; ; 29/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 91/5
