META; english/league-2/colchester-v-mansfield; 2017-03-11 22:22:23 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Colchester; 8/5; 8/5; ; 6/4; 13/8; ; 13/8; 8/5; 13/8; ; 8/5; ; 13/8; 13/8; ; 8/5; 8/5; ; ; 8/5; ; ; ; ; ; 6/4; ; 
Mansfield; 8/5; 8/5; ; 13/8; 17/10; ; 17/10; 6/4; 13/8; ; 8/5; ; 8/5; 13/8; ; 8/5; 8/5; ; ; 8/5; ; ; ; ; ; 6/4; ; 
Draw; 12/5; 9/4; ; 11/5; 12/5; ; 12/5; 21/10; 12/5; ; 11/5; ; 47/20; 23/10; ; 12/5; 12/5; ; ; 12/5; ; ; ; ; ; 2; ; 
META; english/league-2/colchester-v-mansfield; 2017-03-12 02:21:09 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Colchester; 8/5; 8/5; ; 6/4; 13/8; ; 13/8; 8/5; 13/8; ; 11/8; ; 13/8; 13/8; ; 8/5; 8/5; ; ; 8/5; ; ; ; ; ; 6/4; ; 
Mansfield; 8/5; 8/5; ; 13/8; 17/10; ; 17/10; 6/4; 13/8; ; 6/4; ; 8/5; 13/8; ; 8/5; 8/5; ; ; 8/5; ; ; ; ; ; 6/4; ; 
Draw; 12/5; 9/4; ; 11/5; 12/5; ; 12/5; 21/10; 12/5; ; 9/4; ; 47/20; 23/10; ; 12/5; 12/5; ; ; 12/5; ; ; ; ; ; 2; ; 
META; english/league-2/colchester-v-mansfield; 2017-03-12 06:21:05 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Colchester; 8/5; 8/5; ; 6/4; 13/8; ; 13/8; 8/5; 13/8; ; 11/8; 31/20; 13/8; 13/8; ; 8/5; 8/5; ; ; 8/5; ; ; ; ; ; 6/4; ; 
Mansfield; 8/5; 8/5; ; 13/8; 17/10; ; 17/10; 6/4; 13/8; ; 6/4; 13/8; 8/5; 13/8; ; 8/5; 8/5; ; ; 8/5; ; ; ; ; ; 6/4; ; 
Draw; 12/5; 9/4; ; 11/5; 12/5; ; 12/5; 21/10; 12/5; ; 9/4; 5/2; 47/20; 23/10; ; 12/5; 40/17; ; ; 40/17; ; ; ; ; ; 2; ; 
