META; english/league-2/cambridge-v-exeter; 2017-04-15 02:20:59 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Cambridge; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Exeter; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/cambridge-v-exeter; 2017-04-15 06:20:55 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Cambridge; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Exeter; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/cambridge-v-exeter; 2017-04-15 10:21:00 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Cambridge; ; 3/2; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Exeter; ; 13/8; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/cambridge-v-exeter; 2017-04-15 14:21:02 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Cambridge; ; 3/2; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Exeter; ; 13/8; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/cambridge-v-exeter; 2017-04-15 18:21:09 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Cambridge; ; 8/5; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; 
Exeter; ; 17/10; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/10; ; ; ; 8/5; 
Draw; ; 9/4; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; 2; 
META; english/league-2/cambridge-v-exeter; 2017-04-15 22:21:14 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Cambridge; ; 8/5; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; 
Exeter; ; 17/10; ; 9/5; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/4; ; ; ; 7/4; 
Draw; ; 9/4; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; 9/4; 
META; english/league-2/cambridge-v-exeter; 2017-04-16 02:20:25 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Cambridge; ; 7/5; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; 
Exeter; ; 19/10; ; 9/5; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/8; ; ; ; 7/4; 
Draw; ; 23/10; ; 5/2; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; 9/4; 
META; english/league-2/cambridge-v-exeter; 2017-04-16 06:20:24 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Cambridge; ; 7/5; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; 
Exeter; ; 19/10; ; 9/5; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/8; ; ; ; 7/4; 
Draw; ; 23/10; ; 5/2; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; 9/4; 
META; english/league-2/cambridge-v-exeter; 2017-04-16 10:20:22 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Cambridge; ; 7/5; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; 
Exeter; ; 19/10; ; 9/5; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/8; ; ; ; 7/4; 
Draw; ; 23/10; ; 5/2; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; 9/4; 
