META; english/league-2/cambridge-utd-v-exeter; 2017-04-14 18:22:14 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Cambridge Utd; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Exeter; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/cambridge-utd-v-exeter; 2017-04-14 22:21:53 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Cambridge Utd; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; 29/20; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
Cambridge United; ; ; ; ; 29/20; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; ; 7/5; ; ; ; ; ; ; ; ; 
Exeter; 17/10; ; 7/4; ; 9/5; ; 7/4; ; ; ; ; ; ; 9/5; ; 7/4; 17/10; ; ; 17/10; ; ; ; ; ; ; 21/20; ; 
Draw; 13/5; ; 9/4; ; 13/5; ; 13/5; ; ; ; ; ; ; 12/5; ; 13/5; 13/5; ; ; 13/5; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/cambridge-utd-v-exeter; 2017-04-15 02:20:57 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Cambridge Utd; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; 29/20; ; ; ; ; ; ; ; ; ; ; ; ; 10/11; ; 
Cambridge United; ; ; 29/20; ; 29/20; ; 29/20; 11/8; ; ; ; ; ; ; ; 6/4; 7/5; ; ; ; ; ; ; ; ; ; ; ; 
Exeter; 17/10; ; 7/4; ; 9/5; ; 7/4; 6/4; ; ; ; ; ; 9/5; ; 7/4; 17/10; ; ; ; ; ; ; ; ; ; 21/20; ; 
Draw; 13/5; ; 9/4; ; 13/5; ; 13/5; 12/5; ; ; ; ; ; 12/5; ; 13/5; 13/5; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/cambridge-utd-v-exeter; 2017-04-15 06:20:53 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Cambridge Utd; 7/5; ; ; ; ; ; ; ; 7/5; ; ; ; ; 29/20; ; ; ; ; ; ; ; ; ; ; ; ; 10/11; ; 
Cambridge United; ; ; 29/20; ; 29/20; ; 29/20; 11/8; ; ; ; 29/20; ; ; ; 6/4; 7/5; ; ; 7/5; ; ; ; ; ; ; ; ; 
Exeter; 17/10; ; 7/4; ; 9/5; ; 7/4; 6/4; 7/4; ; ; 7/4; ; 9/5; ; 7/4; 17/10; ; ; 17/10; ; ; ; ; ; ; 21/20; ; 
Draw; 13/5; ; 9/4; ; 13/5; ; 13/5; 12/5; 13/5; ; ; 5/2; ; 12/5; ; 13/5; 13/5; ; ; 13/5; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/cambridge-utd-v-exeter; 2017-04-15 10:20:58 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Cambridge Utd; 7/5; ; ; ; ; ; ; ; 7/5; ; ; ; ; 29/20; ; ; ; ; ; ; ; ; ; ; ; ; 10/11; ; 
Cambridge United; ; ; 29/20; ; 29/20; ; 29/20; 11/8; ; ; ; 29/20; ; ; ; 16/11; 7/5; ; 7/5; 7/5; 6/4; ; 7/5; ; 7/5; ; ; ; 
Exeter; 17/10; ; 7/4; ; 9/5; ; 7/4; 6/4; 7/4; ; ; 7/4; ; 9/5; ; 7/4; 17/10; ; 17/10; 17/10; 15/8; ; 17/10; ; 17/10; ; 21/20; ; 
Draw; 13/5; ; 9/4; ; 13/5; ; 13/5; 12/5; 13/5; ; ; 5/2; ; 12/5; ; 13/5; 13/5; ; 13/5; 13/5; 13/5; ; 13/5; ; 13/5; ; 11/5; ; 
META; english/league-2/cambridge-utd-v-exeter; 2017-04-15 14:20:59 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Cambridge Utd; 29/20; ; ; ; ; ; ; ; 7/5; ; ; ; ; 29/20; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Cambridge United; ; ; 29/20; ; 6/4; ; 6/4; 11/8; ; 7/5; ; 29/20; 11/8; ; ; 16/11; 16/11; ; 7/5; 16/11; 6/4; ; 7/5; ; 7/5; ; ; ; 
Exeter; 13/8; ; 9/5; ; 17/10; ; 7/4; 6/4; 9/5; 9/5; ; 7/4; 7/4; 17/10; ; 7/4; 17/10; ; 17/10; 17/10; 15/8; ; 17/10; ; 17/10; ; 21/20; ; 
Draw; 13/5; ; 11/5; ; 13/5; ; 5/2; 12/5; 5/2; 23/10; ; 5/2; 13/5; 13/5; ; 13/5; 28/11; ; 13/5; 28/11; 13/5; ; 13/5; ; 13/5; ; 11/5; ; 
META; english/league-2/cambridge-utd-v-exeter; 2017-04-15 18:21:06 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Cambridge Utd; 29/20; ; ; ; ; ; ; ; 6/4; ; 29/20; ; ; 6/4; 11/8; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
Cambridge United; ; ; 29/20; ; 6/4; ; 6/4; 11/8; ; 7/5; ; 29/20; 7/5; ; ; 6/4; 16/11; ; 7/5; 16/11; 6/4; ; 7/5; ; 7/5; ; ; ; 
Exeter; 13/8; ; 9/5; ; 7/4; ; 7/4; 6/4; 9/5; 9/5; 7/4; 15/8; 17/10; 9/5; 9/5; 7/4; 28/17; ; 17/10; 28/17; 15/8; ; 17/10; ; 17/10; ; 11/10; ; 
Draw; 13/5; ; 11/5; ; 5/2; ; 5/2; 12/5; 12/5; 23/10; 11/5; 9/4; 13/5; 27/10; 5/2; 5/2; 5/2; ; 13/5; 5/2; 13/5; ; 13/5; ; 13/5; ; 11/5; ; 
META; english/league-2/cambridge-utd-v-exeter; 2017-04-15 22:21:12 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Cambridge Utd; 29/20; ; ; ; ; ; ; ; 6/4; ; 7/5; ; ; 29/20; 11/8; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
Cambridge United; ; ; 29/20; ; 29/20; ; 7/5; 11/8; ; 7/5; ; 29/20; 7/5; ; ; 6/4; 16/11; 16/11; 7/5; 16/11; 6/4; ; 7/5; ; 7/5; ; ; ; 
Exeter; 13/8; ; 7/4; ; 9/5; ; 15/8; 6/4; 9/5; 19/10; 9/5; 15/8; 9/5; 9/5; 9/5; 7/4; 17/10; 28/17; 17/10; 17/10; 15/8; ; 17/10; ; 17/10; ; 9/5; ; 
Draw; 13/5; ; 11/5; ; 13/5; ; 5/2; 12/5; 12/5; 23/10; 11/5; 9/4; 13/5; 11/4; 5/2; 5/2; 5/2; 5/2; 13/5; 5/2; 13/5; ; 13/5; ; 13/5; ; 11/5; ; 
META; english/league-2/cambridge-utd-v-exeter; 2017-04-16 02:20:23 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Cambridge Utd; 13/10; ; ; ; ; ; ; ; 7/5; ; 11/8; ; ; 29/20; 11/8; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
Cambridge United; ; ; 7/5; ; 7/5; ; 7/5; 11/8; ; 11/8; ; 29/20; 11/8; ; ; 7/5; 23/17; 16/11; 7/5; 23/17; 139/100; 39/29; 7/5; ; 7/5; ; ; ; 
Exeter; 9/5; ; 37/20; ; 19/10; ; 15/8; 6/4; 15/8; 19/10; 9/5; 15/8; 19/10; 19/10; 19/10; 15/8; 19/10; 28/17; 17/10; 19/10; 51/25; 13/8; 17/10; ; 17/10; ; 9/5; ; 
Draw; 13/5; ; 11/5; ; 5/2; ; 5/2; 12/5; 12/5; 23/10; 11/5; 9/4; 5/2; 5/2; 12/5; 5/2; 12/5; 5/2; 13/5; 12/5; 13/5; 12/5; 13/5; ; 13/5; ; 11/5; ; 
META; english/league-2/cambridge-utd-v-exeter; 2017-04-16 06:20:22 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Cambridge United; ; ; 7/5; ; 29/20; ; 7/5; 11/8; ; 11/8; ; 29/20; 11/8; ; ; 16/11; 23/17; 16/11; 7/5; 23/17; 139/100; 39/29; 7/5; ; 7/5; ; ; ; 
Cambridge Utd; 6/4; ; ; ; ; ; ; ; 7/5; ; 11/8; ; ; 29/20; 11/8; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
Exeter; 15/8; ; 37/20; ; 19/10; ; 15/8; 6/4; 15/8; 19/10; 9/5; 15/8; 19/10; 19/10; 19/10; 9/5; 19/10; 28/17; 17/10; 19/10; 51/25; 13/8; 17/10; ; 17/10; ; 9/5; ; 
