META; english/league-2/wycombe-v-cambridge-united; 2017-05-02 10:58:58 GMT+3; 2017-05-06 17:30; Nothing; Xlenovo
Wycombe; ; ; 31/20; ; 6/4; ; 31/20; 11/8; ; ; ; 6/4; 6/4; ; ; 6/4; 6/4; 6/4; 6/4; 6/4; 31/20; ; 6/4; ; 6/4; ; ; ; 
Cambridge United; ; ; 7/4; ; 17/10; ; 7/4; 6/4; ; ; ; 17/10; 17/10; ; ; 7/4; 17/10; 17/10; 17/10; 17/10; 179/100; ; 17/10; ; 17/10; ; ; ; 
Draw; ; ; 41/20; ; 12/5; ; 12/5; 12/5; ; ; ; 12/5; 12/5; ; ; 12/5; 40/17; 23/10; 23/10; 40/17; 5/2; ; 40/17; ; 40/17; ; ; ; 
META; english/league-2/wycombe-v-cambridge-united; 2017-05-02 18:20:20 GMT+3; 2017-05-06 17:30; Nothing; Xlenovo
Wycombe; ; ; 31/20; ; 6/4; ; 31/20; 6/4; ; ; ; 6/4; 6/4; ; ; 6/4; 6/4; 6/4; 6/4; 6/4; 31/20; ; 6/4; ; 6/4; ; ; ; 
Cambridge United; ; ; 7/4; ; 17/10; ; 7/4; 17/10; ; ; ; 17/10; 17/10; ; ; 7/4; 17/10; 17/10; 17/10; 17/10; 179/100; ; 17/10; ; 17/10; ; ; ; 
Draw; ; ; 41/20; ; 12/5; ; 12/5; 12/5; ; ; ; 12/5; 12/5; ; ; 12/5; 40/17; 23/10; 23/10; 40/17; 5/2; ; 40/17; ; 40/17; ; ; ; 
META; english/league-2/wycombe-v-cambridge-united; 2017-05-02 22:20:28 GMT+3; 2017-05-06 17:30; Nothing; Xlenovo
Wycombe; ; ; 31/20; ; 6/4; ; 31/20; 11/8; ; ; ; 6/4; 6/4; ; ; 6/4; 6/4; 6/4; 6/4; 6/4; 31/20; ; 6/4; ; 6/4; ; ; ; 
Cambridge United; ; ; 7/4; ; 17/10; ; 7/4; 6/4; ; ; ; 17/10; 17/10; ; ; 7/4; 17/10; 17/10; 17/10; 17/10; 179/100; ; 17/10; ; 17/10; ; ; ; 
Draw; ; ; 41/20; ; 12/5; ; 12/5; 12/5; ; ; ; 12/5; 12/5; ; ; 12/5; 40/17; 23/10; 23/10; 40/17; 5/2; ; 40/17; ; 40/17; ; ; ; 
META; english/league-2/wycombe-v-cambridge-united; 2017-05-03 02:20:19 GMT+3; 2017-05-06 17:30; Nothing; Xlenovo
Wycombe; ; ; 31/20; ; 6/4; ; 31/20; 11/8; ; ; ; 6/4; 6/4; ; ; 6/4; 6/4; 6/4; 6/4; 6/4; 31/20; ; 6/4; ; 6/4; ; ; ; 
Cambridge United; ; ; 7/4; ; 17/10; ; 7/4; 6/4; ; ; ; 17/10; 17/10; ; ; 7/4; 17/10; 17/10; 17/10; 17/10; 179/100; ; 17/10; ; 17/10; ; ; ; 
Draw; ; ; 41/20; ; 12/5; ; 12/5; 12/5; ; ; ; 12/5; 12/5; ; ; 12/5; 40/17; 23/10; 23/10; 40/17; 5/2; ; 40/17; ; 40/17; ; ; ; 
