Cambridge United; ; ; 10/3; ; 10/3; ; 33/10; 10/3; ; 10/3; ; 7/2; 10/3; ; ; 10/3; 17/5; 10/3; 7/2; 17/5; 10/3; 29/10; 7/2; ; 7/2; ; ; ; 7/2
META; english/league-2/portsmouth-v-cambridge-united; 2017-04-20 10:20:51 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; ; 4/5; ; 4/5; ; 4/5; 4/5; ; 5/6; ; 5/6; 4/5; ; ; 5/6; 4/5; 4/5; 8/11; 4/5; 9/10; 11/13; 11/14; ; 11/14; ; ; ; 5/6
Draw; ; ; 12/5; ; 13/5; ; 11/4; 5/2; ; 5/2; ; 12/5; 51/20; ; ; 27/10; 28/11; 5/2; 5/2; 28/11; 27/10; 5/2; 28/11; ; 28/11; ; ; ; 13/5
Cambridge United; ; ; 10/3; ; 10/3; ; 33/10; 10/3; ; 10/3; ; 7/2; 10/3; ; ; 10/3; 17/5; 10/3; 7/2; 17/5; 10/3; 29/10; 7/2; ; 7/2; ; ; ; 7/2
META; english/league-2/portsmouth-v-cambridge-united; 2017-04-20 14:20:55 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; ; 4/5; ; 4/5; ; 4/5; 4/5; ; 5/6; ; 5/6; 4/5; ; ; 5/6; 4/5; 4/5; 8/11; ; 9/10; 11/13; 11/14; ; 11/14; ; ; ; 5/6
Draw; ; ; 12/5; ; 13/5; ; 11/4; 5/2; ; 5/2; ; 12/5; 51/20; ; ; 27/10; 28/11; 5/2; 5/2; ; 27/10; 5/2; 28/11; ; 28/11; ; ; ; 13/5
Cambridge United; ; ; 10/3; ; 10/3; ; 33/10; 10/3; ; 10/3; ; 7/2; 10/3; ; ; 10/3; 38/11; 10/3; 7/2; ; 10/3; 29/10; 7/2; ; 7/2; ; ; ; 7/2
META; english/league-2/portsmouth-v-cambridge-united; 2017-04-20 18:20:51 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; ; 5/6; ; 4/5; ; 20/23; 4/5; ; 5/6; ; 20/23; 4/5; ; ; 5/6; 4/5; 4/5; 8/11; 4/5; 9/10; 11/13; 11/14; ; 11/14; ; ; ; 5/6
Draw; ; ; 47/20; ; 13/5; ; 27/10; 5/2; ; 5/2; ; 5/2; 51/20; ; ; 27/10; 28/11; 5/2; 5/2; 28/11; 27/10; 13/5; 28/11; ; 28/11; ; ; ; 13/5
Cambridge United; ; ; 16/5; ; 10/3; ; 31/10; 10/3; ; 10/3; ; 10/3; 10/3; ; ; 10/3; 17/5; 10/3; 7/2; 17/5; 10/3; 56/19; 7/2; ; 7/2; ; ; ; 7/2
META; english/league-2/portsmouth-v-cambridge-united; 2017-04-20 22:20:54 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; ; 4/5; ; 4/5; ; 5/6; 4/5; ; 4/5; ; 20/23; 4/5; ; ; 5/6; 4/5; 4/5; 8/11; 4/5; 17/20; 9/11; 11/14; ; 11/14; ; ; ; 5/6
Draw; ; ; 12/5; ; 13/5; ; 11/4; 5/2; ; 5/2; ; 5/2; 51/20; ; ; 27/10; 28/11; 5/2; 5/2; 28/11; 27/10; 13/5; 28/11; ; 28/11; ; ; ; 13/5
