META; english/league-2/portsmouth-v-cambridge; 2017-04-18 02:20:57 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; 5/6; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; 
Draw; ; 5/2; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; 
Cambridge; ; 3; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/portsmouth-v-cambridge; 2017-04-18 06:20:54 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; 5/6; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; 
Draw; ; 5/2; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; 
Cambridge; ; 3; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/portsmouth-v-cambridge; 2017-04-18 10:20:58 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; 5/6; ; 4/5; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; 
Draw; ; 5/2; ; 12/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; 
Cambridge; ; 3; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/portsmouth-v-cambridge; 2017-04-18 14:20:57 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; 19/20; ; 19/20; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/20; ; ; ; ; 
Draw; ; 12/5; ; 5/2; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; 
Cambridge; ; 29/10; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/portsmouth-v-cambridge; 2017-04-18 18:20:56 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; 17/20; ; 10/11; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; ; ; 5/6; 
Draw; ; 5/2; ; 5/2; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; ; 12/5; 
Cambridge; ; 10/3; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; 
META; english/league-2/portsmouth-v-cambridge; 2017-04-18 22:20:52 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; 17/20; ; 10/11; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; ; ; 5/6; 
Draw; ; 5/2; ; 5/2; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; ; 12/5; 
Cambridge; ; 10/3; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; 
META; english/league-2/portsmouth-v-cambridge; 2017-04-19 02:20:43 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; 17/20; ; 10/11; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; ; ; 5/6; 
Draw; ; 5/2; ; 5/2; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; ; 12/5; 
Cambridge; ; 10/3; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; 
META; english/league-2/portsmouth-v-cambridge; 2017-04-19 06:20:43 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; 17/20; ; 10/11; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; ; ; 5/6; 
Draw; ; 5/2; ; 5/2; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; ; 12/5; 
Cambridge; ; 10/3; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; 
META; english/league-2/portsmouth-v-cambridge; 2017-04-19 10:20:42 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; 17/20; ; 10/11; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; ; ; 8/11; 
Draw; ; 5/2; ; 5/2; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; ; 12/5; 
Cambridge; ; 10/3; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; 
META; english/league-2/portsmouth-v-cambridge; 2017-04-19 14:20:44 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; 17/20; ; 10/11; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; ; ; 5/6; 
Draw; ; 5/2; ; 5/2; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; ; 12/5; 
Cambridge; ; 10/3; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; 
META; english/league-2/portsmouth-v-cambridge; 2017-04-19 18:20:46 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; 5/6; ; 10/11; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; ; ; 5/6; 
Draw; ; 5/2; ; 5/2; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; ; 12/5; 
Cambridge; ; 10/3; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; 
META; english/league-2/portsmouth-v-cambridge; 2017-04-19 22:20:58 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; 5/6; ; 10/11; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; ; ; 5/6; 
Draw; ; 5/2; ; 5/2; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; ; 12/5; 
Cambridge; ; 10/3; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; 
META; english/league-2/portsmouth-v-cambridge; 2017-04-20 02:20:50 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; 5/6; ; 10/11; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; ; ; 5/6; 
Draw; ; 5/2; ; 5/2; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; ; 12/5; 
Cambridge; ; 10/3; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; 
META; english/league-2/portsmouth-v-cambridge; 2017-04-20 06:20:49 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; 5/6; ; 10/11; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; ; ; 4/6; 
Draw; ; 5/2; ; 5/2; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; ; 23/10; 
Cambridge; ; 10/3; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; 
META; english/league-2/portsmouth-v-cambridge; 2017-04-20 10:20:49 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; 5/6; ; 10/11; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; ; ; 5/6; 
Draw; ; 5/2; ; 5/2; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; ; 12/5; 
Cambridge; ; 10/3; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; 
META; english/league-2/portsmouth-v-cambridge; 2017-04-20 14:20:53 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; 5/6; ; 10/11; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; ; ; 5/6; 
Draw; ; 5/2; ; 5/2; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; ; 12/5; 
Cambridge; ; 10/3; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; 
META; english/league-2/portsmouth-v-cambridge; 2017-04-20 18:20:48 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; 17/20; ; 10/11; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; ; ; 5/6; 
Draw; ; 5/2; ; 5/2; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; ; 5/2; 
Cambridge; ; 10/3; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; 
META; english/league-2/portsmouth-v-cambridge; 2017-04-20 22:20:51 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; 17/20; ; 17/20; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; ; ; 5/6; 
