META; english/league-2/grimsby-v-cambridge-utd; 2017-04-09 18:24:34 GMT+3; 2017-04-14 15:00; Nothing; Xlenovo
Cambridge Utd; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; 
Grimsby; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; 
Draw; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/8; ; 
META; english/league-2/grimsby-v-cambridge-utd; 2017-04-09 22:21:55 GMT+3; 2017-04-14 15:00; Nothing; Xlenovo
Cambridge Utd; 11/10; ; ; ; ; ; ; ; 11/10; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
Grimsby; 9/4; ; ; ; ; ; ; ; 23/10; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/10; ; 
Draw; 13/5; ; ; ; ; ; ; ; 13/5; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/league-2/grimsby-v-cambridge-utd; 2017-04-10 02:20:52 GMT+3; 2017-04-14 15:00; Nothing; Xlenovo
Cambridge Utd; 11/10; ; ; ; ; ; ; ; 11/10; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
Grimsby; 9/4; ; ; ; ; ; ; ; 23/10; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; 
Draw; 13/5; ; ; ; ; ; ; ; 13/5; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/grimsby-v-cambridge-utd; 2017-04-10 06:20:33 GMT+3; 2017-04-14 15:00; Nothing; Xlenovo
Cambridge Utd; 11/10; ; ; ; ; ; ; ; 11/10; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
