META; english/league-2/cambridge-utd-v-crawley; 2017-04-24 02:20:32 GMT+3; 2017-04-29 15:00; Nothing; Xlenovo
Cambridge Utd; 1/2; ; ; ; ; ; ; ; 8/15; ; 1/2; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Cambridge United; ; ; ; ; 1/2; ; 1/2; ; ; ; ; ; 12/25; ; ; 8/15; 1/2; ; 1/2; 1/2; 11/20; ; 1/2; ; 1/2; ; ; ; 
Draw; 29/10; ; ; ; 3; ; 3; ; 3; ; 29/10; ; 29/10; 16/5; ; 29/10; 37/13; ; 14/5; 37/13; 3; ; 56/19; ; 56/19; ; 14/5; ; 
Crawley; 6; ; ; ; 6; ; 13/2; ; 6; ; 6; ; 13/2; 6; ; 6; 29/5; ; 6; 29/5; 61/10; ; 6; ; 6; ; 26/5; ; 
META; english/league-2/cambridge-utd-v-crawley; 2017-04-24 06:20:40 GMT+3; 2017-04-29 15:00; Nothing; Xlenovo
Cambridge Utd; 1/2; ; ; ; ; ; ; ; 8/15; ; 1/2; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Cambridge United; ; ; ; ; 1/2; ; 1/2; ; ; ; ; 1/2; 12/25; ; ; 8/15; 1/2; ; 1/2; 1/2; 11/20; ; 1/2; ; 1/2; ; ; ; 
Draw; 29/10; ; ; ; 3; ; 3; ; 3; ; 29/10; 3; 29/10; 16/5; ; 29/10; 37/13; ; 14/5; 37/13; 3; ; 56/19; ; 56/19; ; 14/5; ; 
Crawley; 6; ; ; ; 6; ; 13/2; ; 6; ; 6; 6; 13/2; 6; ; 6; 29/5; ; 6; 29/5; 61/10; ; 6; ; 6; ; 26/5; ; 
META; english/league-2/cambridge-utd-v-crawley; 2017-04-24 10:20:31 GMT+3; 2017-04-29 15:00; Nothing; Xlenovo
Cambridge Utd; 1/2; ; ; ; ; ; ; ; 8/15; ; 1/2; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Cambridge United; ; ; ; ; 1/2; ; 1/2; 4/9; ; ; ; 1/2; 12/25; ; ; 8/15; 1/2; ; 1/2; 1/2; 11/20; ; 1/2; ; 1/2; ; ; ; 
Draw; 29/10; ; ; ; 3; ; 3; 3; 3; ; 29/10; 3; 29/10; 16/5; ; 3; 37/13; ; 14/5; 37/13; 3; ; 56/19; ; 56/19; ; 14/5; ; 
Crawley; 6; ; ; ; 6; ; 13/2; 6; 6; ; 6; 6; 13/2; 6; ; 6; 29/5; ; 6; 29/5; 61/10; ; 6; ; 6; ; 26/5; ; 
META; english/league-2/cambridge-utd-v-crawley; 2017-04-24 14:20:39 GMT+3; 2017-04-29 15:00; Nothing; Xlenovo
Cambridge Utd; 1/2; ; ; ; ; ; ; ; 8/15; 1/2; 1/2; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Cambridge United; ; ; ; ; 1/2; ; 1/2; 4/9; ; ; ; 1/2; 12/25; ; ; 8/15; 17/35; 1/2; 1/2; 17/35; 53/100; ; 1/2; ; 1/2; ; ; ; 
Draw; 3; ; ; ; 3; ; 3; 3; 3; 11/4; 11/4; 3; 3; 29/10; ; 3; 29/10; 14/5; 14/5; 29/10; 63/20; ; 56/19; ; 56/19; ; 14/5; ; 
Crawley; 23/4; ; ; ; 6; ; 13/2; 13/2; 6; 6; 6; 6; 6; 13/2; ; 6; 57/10; 6; 6; 57/10; 61/10; ; 6; ; 6; ; 6; ; 
META; english/league-2/cambridge-utd-v-crawley; 2017-04-24 18:20:43 GMT+3; 2017-04-29 15:00; Nothing; Xlenovo
Cambridge Utd; 9/20; ; ; ; ; ; ; ; 1/2; 1/2; 1/2; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Cambridge United; ; ; 1/2; ; 1/2; ; 11/20; 4/9; ; ; ; 1/2; 12/25; ; ; 1/2; 10/21; 1/2; 1/2; 10/21; 53/100; 7/15; 1/2; ; 1/2; ; ; ; 1/2
Draw; 3; ; 14/5; ; 3; ; 3; 3; 3; 14/5; 14/5; 14/5; 3; 3; 16/5; 31/10; 58/19; 14/5; 14/5; 58/19; 63/20; 58/19; 56/19; ; 56/19; ; 3; ; 10/3
Crawley; 13/2; ; 11/2; ; 6; ; 11/2; 6; 6; 11/2; 11/2; 6; 6; 6; 11/2; 6; 96/17; 6; 6; 96/17; 61/10; 24/5; 6; ; 6; ; 6; ; 32/5
META; english/league-2/cambridge-utd-v-crawley; 2017-04-24 22:20:50 GMT+3; 2017-04-29 15:00; Nothing; Xlenovo
Cambridge Utd; 9/20; ; ; ; ; ; ; ; 8/15; 1/2; 1/2; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Cambridge United; ; ; 1/2; ; 1/2; ; 8/15; 2/5; ; ; ; 1/2; 12/25; ; ; 1/2; 7/15; 1/2; 1/2; 7/15; 53/100; 7/15; 1/2; ; 1/2; ; ; ; 1/2
