META; english/league-2/luton-v-exeter; 2017-03-12 02:21:37 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Luton; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Exeter; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/luton-v-exeter; 2017-03-12 06:21:37 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Luton; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Exeter; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/luton-v-exeter; 2017-03-12 10:22:30 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Luton; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Exeter; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/luton-v-exeter; 2017-03-12 14:22:09 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Luton; 11/10; 5/4; ; ; 6/5; ; 6/5; ; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/4; 9/4; ; ; 23/10; ; 23/10; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; 
Exeter; 5/2; 2; ; ; 5/2; ; 12/5; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/luton-v-exeter; 2017-03-12 18:21:39 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Luton; 11/10; 5/4; ; ; 6/5; ; 6/5; ; 11/10; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/4; 9/4; ; ; 23/10; ; 23/10; ; 23/10; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; 
Exeter; 5/2; 2; ; ; 5/2; ; 12/5; ; 13/5; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/luton-v-exeter; 2017-03-12 22:22:41 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Luton; 11/10; 5/4; ; ; 23/20; ; 23/20; ; 11/10; ; 21/20; ; ; ; ; 15/13; 11/10; ; ; 11/10; ; ; ; ; ; ; ; 
Draw; 9/4; 9/4; ; ; 23/10; ; 23/10; ; 23/10; ; 23/10; ; ; ; ; 23/10; 23/10; ; ; 23/10; ; ; ; ; ; ; ; 
Exeter; 5/2; 2; ; ; 13/5; ; 5/2; ; 13/5; ; 12/5; ; ; ; ; 12/5; 27/11; ; ; 27/11; ; ; ; ; ; ; ; 
META; english/league-2/luton-v-exeter; 2017-03-13 02:22:46 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Luton; 11/10; 5/4; ; ; 23/20; ; 23/20; ; 11/10; ; 21/20; ; ; ; ; 15/13; 11/10; ; ; 11/10; ; ; ; ; ; ; ; 
Draw; 9/4; 9/4; ; ; 23/10; ; 23/10; ; 23/10; ; 23/10; ; ; ; ; 23/10; 23/10; ; ; 23/10; ; ; ; ; ; ; ; 
Exeter; 5/2; 2; ; ; 13/5; ; 5/2; ; 13/5; ; 12/5; ; ; ; ; 12/5; 27/11; ; ; 27/11; ; ; ; ; ; ; ; 
META; english/league-2/luton-v-exeter; 2017-03-13 06:24:49 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Luton; 11/10; 5/4; ; ; 23/20; ; 23/20; ; 11/10; ; 21/20; ; 11/10; ; ; 15/13; 11/10; ; 11/10; 11/10; ; ; 11/10; ; ; ; ; 
Draw; 9/4; 9/4; ; ; 23/10; ; 23/10; ; 23/10; ; 23/10; ; 23/10; ; ; 23/10; 23/10; ; 23/10; 23/10; ; ; 40/17; ; ; ; ; 
Exeter; 5/2; 2; ; ; 13/5; ; 5/2; ; 13/5; ; 12/5; ; 5/2; ; ; 12/5; 27/11; ; 5/2; 27/11; ; ; 5/2; ; ; ; ; 
META; english/league-2/luton-v-exeter; 2017-03-13 10:21:13 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Luton; 11/10; 5/4; ; ; 23/20; ; 23/20; ; 11/10; ; 21/20; 23/20; 11/10; ; ; 15/13; 11/10; ; 11/10; 11/10; ; ; 11/10; ; ; ; ; 
Draw; 9/4; 9/4; ; ; 23/10; ; 23/10; ; 23/10; ; 23/10; 9/4; 23/10; ; ; 23/10; 23/10; ; 23/10; 23/10; ; ; 40/17; ; ; ; ; 
Exeter; 5/2; 2; ; ; 13/5; ; 5/2; ; 13/5; ; 12/5; 5/2; 5/2; ; ; 12/5; 27/11; ; 5/2; 27/11; ; ; 5/2; ; ; ; ; 
META; english/league-2/luton-v-exeter; 2017-03-13 14:23:37 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Luton; 11/10; 5/4; 21/20; ; 23/20; ; 23/20; 11/10; 11/10; ; 21/20; 23/20; 11/10; ; ; 15/13; 11/10; ; 11/10; 11/10; ; ; 11/10; ; ; ; ; 
Draw; 9/4; 9/4; 23/10; ; 23/10; ; 23/10; 12/5; 23/10; ; 23/10; 9/4; 23/10; ; ; 23/10; 23/10; ; 23/10; 23/10; ; ; 40/17; ; ; ; ; 
Exeter; 5/2; 2; 12/5; ; 13/5; ; 5/2; 5/2; 13/5; ; 12/5; 5/2; 5/2; ; ; 12/5; 27/11; ; 5/2; 27/11; ; ; 5/2; ; ; ; ; 
META; english/league-2/luton-v-exeter; 2017-03-13 18:24:57 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Luton; 1; 5/4; 21/20; ; 21/20; 19/20; 11/10; 1; 11/10; 21/20; 21/20; 11/10; 21/20; ; 11/10; 11/10; 21/20; 1; 11/10; 21/20; ; ; 11/10; 1; 11/10; ; ; ; 
Draw; 23/10; 9/4; 23/10; ; 12/5; 9/4; 12/5; 11/5; 12/5; 12/5; 9/4; 23/10; 47/20; ; 23/10; 12/5; 9/4; 9/4; 23/10; 9/4; ; ; 40/17; 23/10; 40/17; ; ; ; 
Exeter; 14/5; 2; 12/5; ; 11/4; 12/5; 13/5; 12/5; 13/5; 5/2; 12/5; 5/2; 13/5; ; 5/2; 5/2; 13/5; 11/4; 5/2; 13/5; ; ; 5/2; 11/4; 5/2; ; ; ; 
META; english/league-2/luton-v-exeter; 2017-03-13 22:22:13 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Luton; 1; 5/4; 21/20; ; 21/20; 19/20; 11/10; 1; 11/10; 21/20; 21/20; 11/10; 21/20; ; 11/10; 11/10; 21/20; 1; 11/10; 21/20; ; ; 11/10; 1; 11/10; ; ; ; 
Draw; 23/10; 9/4; 23/10; ; 12/5; 9/4; 12/5; 11/5; 12/5; 12/5; 9/4; 23/10; 47/20; ; 23/10; 12/5; 9/4; 9/4; 23/10; 9/4; ; ; 40/17; 23/10; 40/17; ; ; ; 
Exeter; 14/5; 2; 12/5; ; 11/4; 12/5; 13/5; 12/5; 13/5; 5/2; 12/5; 5/2; 13/5; ; 5/2; 5/2; 28/11; 11/4; 5/2; 28/11; ; ; 5/2; 11/4; 5/2; ; ; ; 
META; english/league-2/luton-v-exeter; 2017-03-14 02:23:51 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Luton; 1; 5/4; 21/20; ; 21/20; 19/20; 11/10; 1; 11/10; 21/20; 21/20; 11/10; 21/20; ; 11/10; 11/10; 21/20; 1; 11/10; 21/20; ; ; 11/10; 1; 11/10; ; 1/4; ; 
Draw; 23/10; 9/4; 23/10; ; 12/5; 9/4; 12/5; 11/5; 12/5; 12/5; 9/4; 23/10; 47/20; ; 23/10; 12/5; 9/4; 9/4; 23/10; 9/4; ; ; 40/17; 23/10; 40/17; ; 8/5; ; 
Exeter; 14/5; 2; 12/5; ; 11/4; 12/5; 13/5; 12/5; 13/5; 5/2; 12/5; 5/2; 13/5; ; 5/2; 5/2; 28/11; 11/4; 5/2; 28/11; ; ; 5/2; 11/4; 5/2; ; 6/4; ; 
META; english/league-2/luton-v-exeter; 2017-03-14 06:21:24 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Luton; 1; 5/4; 21/20; ; 21/20; 19/20; 11/10; 1; 11/10; 21/20; 21/20; 11/10; 21/20; ; 11/10; 11/10; 21/20; 1; 11/10; 21/20; ; ; 11/10; 1; 11/10; ; 4/6; ; 
Draw; 23/10; 9/4; 23/10; ; 12/5; 9/4; 12/5; 11/5; 12/5; 12/5; 9/4; 23/10; 47/20; ; 23/10; 12/5; 9/4; 9/4; 23/10; 9/4; ; ; 40/17; 23/10; 40/17; ; 13/8; ; 
Exeter; 14/5; 2; 12/5; ; 11/4; 12/5; 13/5; 12/5; 13/5; 5/2; 12/5; 5/2; 13/5; ; 5/2; 5/2; 28/11; 11/4; 5/2; 28/11; ; ; 5/2; 11/4; 5/2; ; 9/5; ; 
META; english/league-2/luton-v-exeter; 2017-03-14 10:22:11 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Luton; 1; 5/4; 21/20; 1; 21/20; 19/20; 11/10; 1; 11/10; 21/20; 21/20; 11/10; 21/20; ; 11/10; 11/10; 21/20; 1; 11/10; 21/20; ; ; 11/10; 1; 11/10; ; 4/6; ; 
Draw; 23/10; 9/4; 23/10; 23/10; 12/5; 9/4; 12/5; 11/5; 12/5; 12/5; 9/4; 23/10; 47/20; ; 23/10; 12/5; 9/4; 9/4; 23/10; 9/4; ; ; 40/17; 23/10; 40/17; ; 13/8; ; 
Exeter; 14/5; 2; 12/5; 12/5; 11/4; 12/5; 13/5; 12/5; 13/5; 5/2; 12/5; 5/2; 13/5; ; 5/2; 5/2; 28/11; 11/4; 5/2; 28/11; ; ; 5/2; 11/4; 5/2; ; 7/5; ; 
META; english/league-2/luton-v-exeter; 2017-03-14 14:24:44 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Luton; 1; 11/10; 21/20; 1; 21/20; 1; 21/20; 1; 11/10; 21/20; 21/20; 11/10; 21/20; ; 11/10; 11/10; 21/20; 1; 11/10; 21/20; ; 42/41; 11/10; 1; 11/10; ; 4/6; ; 
Draw; 23/10; 23/10; 23/10; 23/10; 12/5; 9/4; 12/5; 11/5; 12/5; 12/5; 9/4; 12/5; 12/5; ; 23/10; 12/5; 23/10; 9/4; 23/10; 23/10; ; 40/17; 40/17; 23/10; 40/17; ; 13/8; ; 
Exeter; 14/5; 5/2; 12/5; 12/5; 11/4; 23/10; 11/4; 12/5; 13/5; 12/5; 12/5; 5/2; 51/20; ; 5/2; 27/10; 28/11; 11/4; 5/2; 28/11; ; 23/10; 5/2; 11/4; 5/2; ; 7/4; ; 
META; english/league-2/luton-v-exeter; 2017-03-14 18:21:39 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Luton; 1; 11/10; 21/20; 1; 21/20; 1; 21/20; 1; 11/10; 21/20; 21/20; 11/10; 21/20; ; 11/10; 11/10; 21/20; 1; 11/10; 21/20; 11/10; 42/41; 11/10; 1; 11/10; ; 4/6; ; 
Draw; 23/10; 23/10; 23/10; 23/10; 12/5; 9/4; 12/5; 11/5; 12/5; 12/5; 9/4; 12/5; 12/5; ; 23/10; 12/5; 23/10; 9/4; 23/10; 23/10; 13/5; 40/17; 40/17; 23/10; 40/17; ; 13/8; ; 
Exeter; 14/5; 5/2; 12/5; 12/5; 11/4; 23/10; 11/4; 12/5; 13/5; 5/2; 12/5; 5/2; 51/20; ; 5/2; 27/10; 28/11; 11/4; 5/2; 28/11; 67/25; 23/10; 5/2; 11/4; 5/2; ; 7/5; ; 
META; english/league-2/luton-v-exeter; 2017-03-14 22:21:34 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Luton; 1; 11/10; 21/20; 1; 21/20; 1; 21/20; 1; 11/10; 21/20; 21/20; 11/10; 21/20; ; 11/10; 11/10; 21/20; 1; 11/10; 21/20; 11/10; 42/41; 11/10; 1; 11/10; ; 4/6; ; 
