META; english/league-2/cheltenham-v-grimsby; 2017-04-14 18:22:07 GMT+3; 2017-04-17 13:00; Nothing; Xlenovo
Cheltenham; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Grimsby; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/cheltenham-v-grimsby; 2017-04-14 22:21:45 GMT+3; 2017-04-17 13:00; Nothing; Xlenovo
Cheltenham; 21/20; 1; 21/20; ; 11/10; ; 21/20; ; ; ; ; ; ; 21/20; ; 21/20; 21/20; ; ; 21/20; ; ; ; ; ; ; 4/6; ; 
Cheltenham; 21/20; 11/10; 21/20; 1; 11/10; 1; 11/10; 10/11; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; ; 20/21; 1; 
Draw; 5/2; 23/10; 11/5; 5/2; 12/5; 9/4; 5/2; 12/5; 5/2; 23/10; 11/5; 9/4; 5/2; 5/2; 12/5; 5/2; 40/17; 12/5; 5/2; 40/17; 13/5; 12/5; 5/2; 23/10; 5/2; ; 21/10; 19/10; 
Grimsby; 12/5; 13/5; 13/5; 13/5; 13/5; 23/10; 5/2; 12/5; 5/2; 13/5; 5/2; 13/5; 13/5; 27/10; 12/5; 13/5; 28/11; 5/2; 12/5; 28/11; 67/25; 28/13; 27/11; 5/2; 27/11; ; 9/4; 23/10; 
META; english/league-2/cheltenham-v-grimsby; 2017-04-16 06:20:15 GMT+3; 2017-04-17 13:00; Nothing; Xlenovo
Cheltenham; 23/20; 11/10; 21/20; 1; 11/10; 1; 11/10; 10/11; 11/10; 21/20; 21/20; 11/10; 21/20; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; ; 1; 1; 
Draw; 13/5; 23/10; 11/5; 5/2; 12/5; 9/4; 5/2; 12/5; 5/2; 23/10; 11/5; 9/4; 5/2; 12/5; 12/5; 5/2; 40/17; 12/5; 5/2; 40/17; 13/5; 12/5; 5/2; 23/10; 5/2; ; 9/4; 19/10; 
Grimsby; 13/5; 13/5; 13/5; 13/5; 13/5; 23/10; 5/2; 12/5; 5/2; 13/5; 5/2; 13/5; 13/5; 27/10; 12/5; 13/5; 28/11; 5/2; 12/5; 28/11; 67/25; 28/13; 27/11; 5/2; 27/11; ; 23/10; 23/10; 
META; english/league-2/cheltenham-v-grimsby; 2017-04-16 10:20:12 GMT+3; 2017-04-17 13:00; Nothing; Xlenovo
Cheltenham; 23/20; 11/10; 21/20; 1; 11/10; 1; 11/10; 10/11; 11/10; 21/20; 21/20; 11/10; 21/20; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 13/12; 11/10; 13/12; ; 21/20; 1; 
Draw; 13/5; 23/10; 11/5; 5/2; 12/5; 9/4; 13/5; 12/5; 5/2; 23/10; 11/5; 9/4; 5/2; 12/5; 12/5; 5/2; 40/17; 12/5; 23/10; 40/17; 13/5; 12/5; 40/17; 23/10; 40/17; ; 9/4; 19/10; 
