META; english/league-2/carlisle-v-luton; 2017-03-11 22:22:21 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Luton; 6/4; 11/8; ; 7/5; 6/4; ; 29/20; 7/5; 6/4; ; 29/20; ; ; 6/4; ; 16/11; 6/4; ; ; 6/4; ; ; ; ; ; 7/5; ; 
Carlisle; 7/4; 9/5; ; 17/10; 15/8; ; 15/8; 13/8; 9/5; ; 17/10; ; ; 9/5; ; 15/8; 17/10; ; ; 17/10; ; ; ; ; ; 13/8; ; 
Draw; 12/5; 9/4; ; 23/10; 12/5; ; 12/5; 11/5; 12/5; ; 11/5; ; ; 23/10; ; 12/5; 40/17; ; ; 40/17; ; ; ; ; ; 2; ; 
META; english/league-2/carlisle-v-luton; 2017-03-12 02:21:06 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Luton; 6/4; 11/8; ; 7/5; 6/4; ; 29/20; 7/5; 6/4; ; 11/10; ; ; 6/4; ; 16/11; 6/4; ; ; 6/4; ; ; ; ; ; 7/5; ; 
Carlisle; 7/4; 9/5; ; 17/10; 15/8; ; 15/8; 13/8; 9/5; ; 2; ; ; 9/5; ; 15/8; 7/4; ; ; 7/4; ; ; ; ; ; 13/8; ; 
Draw; 12/5; 9/4; ; 23/10; 12/5; ; 12/5; 11/5; 12/5; ; 11/5; ; ; 23/10; ; 12/5; 40/17; ; ; 40/17; ; ; ; ; ; 2; ; 
META; english/league-2/carlisle-v-luton; 2017-03-12 06:21:03 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Luton; 6/4; 11/8; ; 7/5; 6/4; ; 29/20; 7/5; 6/4; ; 11/10; 29/20; ; 6/4; ; 16/11; 16/11; ; ; 16/11; ; ; ; ; ; 7/5; ; 
Carlisle; 7/4; 9/5; ; 17/10; 15/8; ; 15/8; 13/8; 9/5; ; 2; 9/5; ; 9/5; ; 15/8; 7/4; ; ; 7/4; ; ; ; ; ; 13/8; ; 
Draw; 12/5; 9/4; ; 23/10; 12/5; ; 12/5; 11/5; 12/5; ; 11/5; 12/5; ; 23/10; ; 12/5; 40/17; ; ; 40/17; ; ; ; ; ; 2; ; 
META; english/league-2/carlisle-v-luton; 2017-03-12 10:21:49 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Luton; 6/4; 11/8; ; 7/5; 6/4; ; 29/20; 7/5; 6/4; ; 11/10; 29/20; ; 6/4; ; 16/11; 16/11; ; 7/5; 16/11; ; ; 16/11; ; ; 7/5; ; 
Carlisle; 7/4; 9/5; ; 17/10; 15/8; ; 15/8; 13/8; 9/5; ; 2; 9/5; ; 9/5; ; 15/8; 7/4; ; 7/4; 7/4; ; ; 7/4; ; ; 13/8; ; 
Draw; 12/5; 9/4; ; 23/10; 12/5; ; 12/5; 11/5; 12/5; ; 11/5; 12/5; ; 23/10; ; 12/5; 12/5; ; 12/5; 12/5; ; ; 12/5; ; ; 2; ; 
META; english/league-2/carlisle-v-luton; 2017-03-12 14:21:20 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Luton; 29/20; 11/8; 29/20; 7/5; 6/4; ; 29/20; 7/5; 6/4; 7/5; 29/20; 29/20; 29/20; 29/20; 6/4; 6/4; 16/11; ; 7/5; 16/11; 8/5; ; 16/11; ; ; 7/5; ; 
Carlisle; 9/5; 9/5; 7/4; 17/10; 15/8; ; 15/8; 13/8; 9/5; 7/4; 9/5; 7/4; 7/4; 9/5; 9/5; 9/5; 7/4; ; 7/4; 7/4; 181/100; ; 7/4; ; ; 13/8; ; 
Draw; 12/5; 9/4; 9/4; 23/10; 12/5; ; 12/5; 11/5; 12/5; 12/5; 12/5; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; ; 12/5; 12/5; 5/2; ; 12/5; ; ; 21/10; ; 
META; english/league-2/carlisle-v-luton; 2017-03-12 18:21:09 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Luton; 29/20; 11/8; 29/20; 7/5; 6/4; 11/8; 29/20; 7/5; 6/4; 7/5; 29/20; 6/4; 29/20; 29/20; 6/4; 6/4; 16/11; ; 7/5; 16/11; 8/5; 26/19; 16/11; 7/5; ; 7/5; ; 
Carlisle; 9/5; 9/5; 7/4; 17/10; 15/8; 33/20; 15/8; 13/8; 9/5; 7/4; 9/5; 7/4; 7/4; 9/5; 9/5; 9/5; 9/5; ; 7/4; 9/5; 181/100; 8/5; 7/4; 7/4; ; 13/8; ; 
Draw; 12/5; 9/4; 9/4; 23/10; 12/5; 23/10; 12/5; 11/5; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 40/17; ; 12/5; 40/17; 5/2; 12/5; 12/5; 12/5; ; 21/10; ; 
META; english/league-2/carlisle-v-luton; 2017-03-12 22:21:49 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Luton; 29/20; 11/8; 29/20; 6/4; 6/4; 11/8; 6/4; 7/5; 6/4; 7/5; 6/4; 29/20; 29/20; 6/4; 6/4; 16/11; 16/11; ; 7/5; 16/11; 159/100; 26/19; 16/11; 6/4; ; 7/5; 7/5; 
Carlisle; 9/5; 9/5; 7/4; 9/5; 15/8; 33/20; 9/5; 13/8; 9/5; 7/4; 7/4; 7/4; 7/4; 15/8; 9/5; 9/5; 9/5; ; 7/4; 9/5; 181/100; 8/5; 7/4; 9/5; ; 9/5; 9/5; 
Draw; 12/5; 9/4; 9/4; 23/10; 12/5; 23/10; 12/5; 11/5; 12/5; 12/5; 12/5; 5/2; 12/5; 5/2; 23/10; 12/5; 23/10; ; 12/5; 23/10; 5/2; 12/5; 12/5; 11/5; ; 23/10; 23/10; 
META; english/league-2/carlisle-v-luton; 2017-03-13 02:22:14 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Luton; 11/8; 11/8; 27/20; 7/5; 11/8; 5/4; 13/10; 7/5; 7/5; 13/10; 11/8; 13/10; 13/10; 7/5; 11/8; 7/5; 7/5; ; 7/5; 7/5; 147/100; 16/13; 16/11; 11/8; ; 13/10; 6/5; 
Carlisle; 15/8; 19/10; 19/10; 15/8; 2; 15/8; 85/40; 13/8; 2; 2; 19/10; 21/10; 39/20; 2; 19/10; 15/8; 19/10; ; 7/4; 19/10; 99/50; 16/9; 7/4; 2; ; 15/8; 19/10; 
Draw; 12/5; 12/5; 11/5; 23/10; 12/5; 9/4; 12/5; 11/5; 12/5; 23/10; 12/5; 23/10; 49/20; 5/2; 12/5; 12/5; 23/10; ; 12/5; 23/10; 5/2; 12/5; 12/5; 11/5; ; 23/10; 19/10; 
META; english/league-2/carlisle-v-luton; 2017-03-13 06:23:50 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Luton; 11/8; 11/8; 13/10; 7/5; 13/10; 6/5; 13/10; 7/5; 7/5; 5/4; 11/8; 13/10; 13/10; 11/8; 13/10; 11/8; 23/17; ; 7/5; 23/17; 147/100; 19/16; 16/11; 13/10; ; 5/4; 6/5; 
Carlisle; 21/10; 19/10; 37/20; 15/8; 21/10; 19/10; 2; 13/8; 2; 2; 19/10; 2; 39/20; 21/10; 21/10; 15/8; 19/10; ; 7/4; 19/10; 99/50; 13/7; 7/4; 2; ; 19/10; 15/8; 
Draw; 5/2; 12/5; 23/10; 23/10; 12/5; 9/4; 5/2; 11/5; 12/5; 5/2; 12/5; 12/5; 49/20; 5/2; 23/10; 12/5; 40/17; ; 12/5; 40/17; 5/2; 12/5; 12/5; 9/4; ; 23/10; 2; 
META; english/league-2/carlisle-v-luton; 2017-03-13 10:20:42 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Luton; 11/8; 11/8; 5/4; 13/10; 13/10; 6/5; 13/10; 7/5; 13/10; 13/10; 13/10; 13/10; 5/4; 11/8; 13/10; 13/10; 5/4; 13/10; 6/5; 5/4; 27/20; 21/17; 16/13; 13/10; ; 5/4; 6/5; 
Carlisle; 21/10; 19/10; 39/20; 2; 21/10; 19/10; 2; 13/8; 2; 2; 2; 2; 2; 21/10; 21/10; 2; 39/19; 2; 2; 39/19; 109/50; 31/16; 39/19; 2; ; 2; 15/8; 
Draw; 5/2; 12/5; 47/20; 12/5; 12/5; 9/4; 5/2; 11/5; 12/5; 12/5; 12/5; 12/5; 49/20; 5/2; 23/10; 12/5; 12/5; 23/10; 12/5; 12/5; 5/2; 5/2; 27/11; 23/10; ; 23/10; 2; 
