META; english/league-2/mansfield-v-hartlepool; 2017-02-09 11:59:55 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
Mansfield; 4/5; 5/6; 4/5; 3/4; 8/11; 8/11; 3/4; 4/5; ; 8/11; 3/4; 4/5; 10/13; 3/4; 3/4; 4/5; 14/19; ; ; 14/19; 4/5; ; ; 4/5; ; 4/6; ; 
Draw; 5/2; 5/2; 12/5; 13/5; 11/4; 5/2; 11/4; 13/5; ; 13/5; 12/5; 13/5; 53/20; 13/5; 11/4; 13/5; 28/11; ; ; 28/11; 149/50; ; ; 5/2; ; 13/5; ; 
Hartlepool; 7/2; 10/3; 17/5; 7/2; 7/2; 16/5; 15/4; 7/2; ; 16/5; 17/5; 10/3; 15/4; 15/4; 7/2; 7/2; 15/4; ; ; 15/4; 71/20; ; ; 7/2; ; 3; ; 
META; english/league-2/mansfield-v-hartlepool; 2017-02-09 18:22:46 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
Mansfield; 8/11; 4/5; 8/11; 3/4; 8/11; 7/10; 3/4; 8/11; ; 8/11; 8/11; 4/6; 8/11; 3/4; 3/4; 8/11; 9/13; ; ; 9/13; 4/5; 13/18; ; 8/11; ; 4/6; ; 
Draw; 27/10; 13/5; 49/20; 5/2; 11/4; 5/2; 11/4; 13/5; ; 13/5; 27/10; 5/2; 27/10; 14/5; 11/4; 27/10; 27/10; ; ; 27/10; 149/50; 13/5; ; 13/5; ; 13/5; ; 
Hartlepool; 15/4; 7/2; 15/4; 15/4; 7/2; 10/3; 19/5; 7/2; ; 15/4; 15/4; 4; 4; 4; 7/2; 4; 4; ; ; 4; 71/20; 41/13; ; 15/4; ; 7/2; ; 
META; english/league-2/mansfield-v-hartlepool; 2017-02-09 22:21:17 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
Mansfield; 8/11; 8/11; 8/11; 3/4; 8/11; 7/10; 3/4; 3/4; ; 8/11; 8/11; 4/6; ; 3/4; 3/4; 8/11; 9/13; ; ; 9/13; 3/4; 13/18; ; 8/11; ; 4/6; ; 
Draw; 27/10; 13/5; 49/20; 5/2; 11/4; 5/2; 11/4; 5/2; ; 13/5; 27/10; 5/2; ; 14/5; 11/4; 13/5; 27/10; ; ; 27/10; 59/20; 13/5; ; 13/5; ; 13/5; ; 
Hartlepool; 15/4; 4; 15/4; 15/4; 7/2; 10/3; 19/5; 15/4; ; 15/4; 15/4; 4; ; 4; 7/2; 4; 77/19; ; ; 77/19; 39/10; 41/13; ; 15/4; ; 7/2; ; 
META; english/league-2/mansfield-v-hartlepool; 2017-02-10 02:22:13 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
Mansfield; 8/11; 8/11; 7/10; 3/4; 4/6; 4/6; 8/11; 3/4; ; 8/11; 7/10; 4/6; 7/10; 8/11; 3/4; 7/10; ; ; 4/6; 11/17; 3/4; 9/13; 9/13; 7/10; ; 4/6; ; 
Draw; 14/5; 13/5; 5/2; 5/2; 11/4; 5/2; 14/5; 5/2; ; 13/5; 27/10; 5/2; 27/10; 14/5; 11/4; 27/10; ; ; 27/10; 27/10; 59/20; 13/5; 27/10; 13/5; ; 13/5; ; 
Hartlepool; 9/2; 4; 4; 15/4; 4; 7/2; 4; 15/4; ; 15/4; 4; 4; 17/4; 9/2; 7/2; 4; ; ; 4; 17/4; 39/10; 33/10; 4; 4; ; 7/2; ; 
META; english/league-2/mansfield-v-hartlepool; 2017-02-10 06:20:55 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
Mansfield; 8/11; 8/11; 7/10; 3/4; 4/6; 4/6; 8/11; 3/4; ; 8/11; 7/10; 4/6; 7/10; 8/11; 3/4; 7/10; 11/17; ; 4/6; 11/17; 3/4; 9/13; 9/13; 7/10; ; 4/6; ; 
Draw; 14/5; 13/5; 5/2; 5/2; 11/4; 5/2; 14/5; 5/2; ; 13/5; 27/10; 5/2; 27/10; 14/5; 11/4; 27/10; 27/10; ; 27/10; 27/10; 59/20; 13/5; 27/10; 13/5; ; 13/5; ; 
Hartlepool; 9/2; 4; 4; 15/4; 4; 7/2; 4; 15/4; ; 15/4; 4; 4; 17/4; 9/2; 7/2; 4; 74/17; ; 4; 74/17; 39/10; 33/10; 4; 4; ; 4; ; 
META; english/league-2/mansfield-v-hartlepool; 2017-02-10 10:21:28 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
Mansfield; 8/11; 8/11; 7/10; 4/6; 4/6; 4/6; 8/11; 3/4; ; 8/11; 7/10; 3/4; 7/10; 8/11; 3/4; 7/10; 11/17; ; 4/6; 11/17; 3/4; 9/13; 9/13; 7/10; ; 4/6; ; 
Draw; 14/5; 13/5; 5/2; 5/2; 11/4; 5/2; 14/5; 5/2; ; 13/5; 27/10; 5/2; 27/10; 14/5; 11/4; 27/10; 27/10; ; 27/10; 27/10; 59/20; 13/5; 27/10; 13/5; ; 13/5; ; 
Hartlepool; 9/2; 4; 4; 4; 4; 7/2; 4; 15/4; ; 15/4; 4; 15/4; 17/4; 9/2; 7/2; 4; 43/10; ; 4; 43/10; 39/10; 33/10; 4; 4; ; 4; ; 
META; english/league-2/mansfield-v-hartlepool; 2017-02-10 14:21:26 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
Mansfield; 8/11; 8/11; 7/10; 7/10; 8/11; 13/20; 3/4; 3/4; ; 8/11; 7/10; 8/11; 7/10; 8/11; 8/11; 7/10; 11/17; ; 4/6; 11/17; 8/11; 9/13; 9/13; 7/10; ; 4/6; 4/7; 
Draw; 14/5; 13/5; 5/2; 5/2; 3; 5/2; 14/5; 5/2; ; 13/5; 27/10; 5/2; 53/20; 27/10; 13/5; 13/5; 45/17; ; 27/10; 45/17; 59/20; 13/5; 27/10; 13/5; ; 27/10; 23/10; 
Hartlepool; 9/2; 4; 19/5; 9/2; 4; 37/10; 4; 15/4; ; 15/4; 4; 4; 17/4; 9/2; 4; 4; 74/17; ; 4; 74/17; 41/10; 33/10; 4; 17/4; ; 21/5; 7/2; 
META; english/league-2/mansfield-v-hartlepool; 2017-02-10 18:21:23 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
