META; english/league-2/cambridge-v-leyton-orient; 2017-04-02 14:52:06 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Cambridge; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leyton Orient; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/cambridge-v-leyton-orient; 2017-04-02 19:04:15 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Cambridge; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leyton Orient; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/cambridge-v-leyton-orient; 2017-04-02 23:03:04 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Cambridge; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leyton Orient; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/cambridge-v-leyton-orient; 2017-04-03 03:00:23 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Cambridge; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leyton Orient; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/cambridge-v-leyton-orient; 2017-04-03 07:00:12 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Cambridge; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leyton Orient; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/cambridge-v-leyton-orient; 2017-04-03 14:24:50 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Cambridge; ; 4/7; ; 11/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; 
Draw; ; 16/5; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; 
Leyton Orient; ; 4; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/5; 
META; english/league-2/cambridge-v-leyton-orient; 2017-04-03 18:25:26 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Cambridge; ; 4/7; ; 11/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/2; 
Draw; ; 16/5; ; 3; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; 
Leyton Orient; ; 4; ; 5; ; 19/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 27/5; 
META; english/league-2/cambridge-v-leyton-orient; 2017-04-03 22:23:39 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Cambridge; ; 1/2; ; 11/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/2; 
Draw; ; 3; ; 3; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; 
Leyton Orient; ; 6; ; 5; ; 19/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 27/5; 
META; english/league-2/cambridge-v-leyton-orient; 2017-04-04 02:24:46 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Cambridge; ; 8/15; ; 11/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/2; 
Draw; ; 3; ; 3; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; 
Leyton Orient; ; 11/2; ; 5; ; 19/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 27/5; 
META; english/league-2/cambridge-v-leyton-orient; 2017-04-04 06:22:36 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Cambridge; ; 8/15; ; 11/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/2; 
Draw; ; 3; ; 3; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; 
Leyton Orient; ; 11/2; ; 5; ; 19/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 27/5; 
META; english/league-2/cambridge-v-leyton-orient; 2017-04-04 10:22:44 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Cambridge; ; 8/15; ; 11/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/2; 
Draw; ; 3; ; 3; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; 
Leyton Orient; ; 11/2; ; 5; ; 19/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 27/5; 
META; english/league-2/cambridge-v-leyton-orient; 2017-04-04 14:24:45 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Cambridge; ; 8/15; ; 11/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/2; 
Draw; ; 3; ; 3; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; 
Leyton Orient; ; 11/2; ; 5; ; 19/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 27/5; 
META; english/league-2/cambridge-v-leyton-orient; 2017-04-04 18:23:35 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Cambridge; ; 8/15; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; 
Draw; ; 3; ; 3; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; 
Leyton Orient; ; 11/2; ; 6; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 29/5; 
META; english/league-2/cambridge-v-leyton-orient; 2017-04-04 22:26:01 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Cambridge; ; 8/15; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; 
Draw; ; 3; ; 3; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; 
Leyton Orient; ; 11/2; ; 6; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 29/5; 
META; english/league-2/cambridge-v-leyton-orient; 2017-04-05 02:21:52 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Cambridge; ; 8/15; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; 
Draw; ; 3; ; 3; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; 
Leyton Orient; ; 11/2; ; 6; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6; 
META; english/league-2/cambridge-v-leyton-orient; 2017-04-05 06:21:45 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Cambridge; ; 8/15; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; 
Draw; ; 3; ; 3; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; 
Leyton Orient; ; 11/2; ; 6; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 26/5; 
META; english/league-2/cambridge-v-leyton-orient; 2017-04-05 10:23:01 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Cambridge; ; 1/2; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; 
Draw; ; 3; ; 3; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; 
Leyton Orient; ; 11/2; ; 6; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6; 
META; english/league-2/cambridge-v-leyton-orient; 2017-04-05 14:23:56 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Cambridge; ; 1/2; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; 
Draw; ; 3; ; 3; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; 
Leyton Orient; ; 6; ; 6; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6; 
