META; english/league-2/grimsby-v-cambridge-united; 2017-04-10 14:22:39 GMT+3; 2017-04-15 15:00; Nothing; Xlenovo
Cambridge United; ; ; 11/10; ; 23/20; ; 23/20; 11/10; ; ; ; 11/10; ; ; ; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; ; 11/10; ; 11/10; ; ; ; 
Grimsby; ; ; 47/20; ; 23/10; ; 23/10; 12/5; ; ; ; 12/5; ; ; ; 23/10; 11/5; 12/5; 9/4; 11/5; 12/5; ; 9/4; ; 9/4; ; ; ; 
Draw; ; ; 9/4; ; 13/5; ; 5/2; 5/2; ; ; ; 12/5; ; ; ; 5/2; 5/2; 11/5; 13/5; 5/2; 13/5; ; 13/5; ; 13/5; ; ; ; 
META; english/league-2/grimsby-v-cambridge-united; 2017-04-10 18:25:10 GMT+3; 2017-04-15 15:00; Nothing; Xlenovo
Cambridge United; ; ; 23/20; ; 23/20; ; 23/20; 19/20; ; 23/20; ; 23/20; 11/10; ; ; 15/13; 11/10; 15/13; 10/9; 11/10; 6/5; 19/16; 8/7; ; 8/7; ; ; ; 6/5
Draw; ; ; 43/20; ; 5/2; ; 5/2; 23/10; ; 9/4; ; 9/4; 12/5; ; ; 12/5; 9/4; 11/5; 23/10; 9/4; 5/2; 9/4; 23/10; ; 23/10; ; ; ; 12/5
Grimsby; ; ; 23/10; ; 12/5; ; 23/10; 23/10; ; 12/5; ; 5/2; 12/5; ; ; 23/10; 40/17; 12/5; 12/5; 40/17; 5/2; 133/67; 12/5; ; 12/5; ; ; ; 5/2
META; english/league-2/grimsby-v-cambridge-united; 2017-04-10 22:22:45 GMT+3; 2017-04-15 15:00; Nothing; Xlenovo
Cambridge United; ; ; 6/5; ; 23/20; ; 6/5; 19/20; ; 6/5; ; 5/4; 6/5; ; ; 15/13; 6/5; 15/13; 10/9; 6/5; 6/5; 19/16; 8/7; ; 8/7; ; ; ; 5/4
Draw; ; ; 43/20; ; 5/2; ; 5/2; 23/10; ; 9/4; ; 11/5; 12/5; ; ; 12/5; 9/4; 11/5; 23/10; 9/4; 5/2; 9/4; 23/10; ; 23/10; ; ; ; 23/10
Grimsby; ; ; 9/4; ; 12/5; ; 9/4; 23/10; ; 23/10; ; 23/10; 11/5; ; ; 23/10; 11/5; 12/5; 12/5; 11/5; 5/2; 133/67; 12/5; ; 12/5; ; ; ; 12/5
META; english/league-2/grimsby-v-cambridge-united; 2017-04-11 10:22:56 GMT+3; 2017-04-15 15:00; Nothing; Xlenovo
Cambridge United; ; ; 6/5; ; 5/4; ; 6/5; 19/20; ; 6/5; ; 5/4; 6/5; ; ; 6/5; 6/5; 15/13; 10/9; ; 6/5; 19/16; 8/7; ; 8/7; ; ; ; 6/5
Draw; ; ; 43/20; ; 12/5; ; 5/2; 23/10; ; 9/4; ; 11/5; 12/5; ; ; 12/5; 9/4; 11/5; 23/10; ; 5/2; 9/4; 23/10; ; 23/10; ; ; ; 23/10
Grimsby; ; ; 9/4; ; 9/4; ; 9/4; 23/10; ; 23/10; ; 23/10; 11/5; ; ; 9/4; 11/5; 12/5; 12/5; ; 5/2; 133/67; 12/5; ; 12/5; ; ; ; 23/10
META; english/league-2/grimsby-v-cambridge-united; 2017-04-11 14:21:43 GMT+3; 2017-04-15 15:00; Nothing; Xlenovo
Cambridge United; ; ; 6/5; ; 5/4; ; 5/4; 19/20; ; 5/4; ; 6/5; 6/5; ; ; 6/5; 6/5; 15/13; 10/9; 6/5; 127/100; 19/16; 8/7; ; 8/7; ; ; ; 5/4
Draw; ; ; 41/20; ; 12/5; ; 12/5; 23/10; ; 11/5; ; 9/4; 23/10; ; ; 12/5; 28/13; 11/5; 23/10; 28/13; 47/20; 9/4; 23/10; ; 23/10; ; ; ; 23/10
Grimsby; ; ; 23/10; ; 9/4; ; 11/5; 23/10; ; 23/10; ; 23/10; 9/4; ; ; 9/4; 9/4; 12/5; 12/5; 9/4; 5/2; 133/67; 12/5; ; 12/5; ; ; ; 12/5
META; english/league-2/grimsby-v-cambridge-united; 2017-04-11 18:24:35 GMT+3; 2017-04-15 15:00; Nothing; Xlenovo
Cambridge United; ; ; 6/5; ; 13/10; ; 5/4; 19/20; ; 5/4; ; 6/5; 6/5; ; ; 6/5; 6/5; 15/13; 10/9; 6/5; 127/100; 19/16; 8/7; ; 8/7; ; ; ; 5/4
Draw; ; ; 41/20; ; 23/10; ; 12/5; 23/10; ; 11/5; ; 9/4; 23/10; ; ; 23/10; 11/5; 11/5; 23/10; 11/5; 47/20; 9/4; 23/10; ; 23/10; ; ; ; 23/10
Grimsby; ; ; 23/10; ; 23/10; ; 11/5; 23/10; ; 23/10; ; 23/10; 9/4; ; ; 23/10; 23/10; 12/5; 12/5; 23/10; 5/2; 133/67; 12/5; ; 12/5; ; ; ; 12/5
META; english/league-2/grimsby-v-cambridge-united; 2017-04-11 22:22:24 GMT+3; 2017-04-15 15:00; Nothing; Xlenovo
