META; english/league-2/cambridge-utd-v-hartlepool; 2017-03-11 22:22:18 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Cambridge Utd; 7/10; 7/10; ; 4/6; 7/10; ; 7/10; 8/13; 4/6; ; 7/10; ; 4/6; 7/10; ; 7/10; 9/13; ; ; 9/13; ; ; ; ; ; 4/6; ; 
Draw; 3; 14/5; ; 11/4; 3; ; 3; 11/4; 3; ; 13/5; ; 3; 14/5; ; 3; 3; ; ; 3; ; ; ; ; ; 5/2; ; 
Hartlepool; 7/2; 10/3; ; 10/3; 19/5; ; 15/4; 7/2; 7/2; ; 18/5; ; 15/4; 19/5; ; 7/2; 7/2; ; ; 7/2; ; ; ; ; ; 10/3; ; 
META; english/league-2/cambridge-utd-v-hartlepool; 2017-03-12 02:21:04 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Cambridge Utd; 7/10; 7/10; ; 4/6; 7/10; ; 7/10; 8/13; 4/6; ; 4/6; ; 4/6; 7/10; ; 7/10; 9/13; ; ; 9/13; ; ; ; ; ; 4/6; ; 
Draw; 3; 14/5; ; 11/4; 3; ; 3; 11/4; 3; ; 12/5; ; 3; 14/5; ; 3; 56/19; ; ; 56/19; ; ; ; ; ; 5/2; ; 
Hartlepool; 7/2; 10/3; ; 10/3; 19/5; ; 15/4; 7/2; 7/2; ; 10/3; ; 15/4; 19/5; ; 7/2; 7/2; ; ; 7/2; ; ; ; ; ; 10/3; ; 
META; english/league-2/cambridge-utd-v-hartlepool; 2017-03-12 06:21:01 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Cambridge Utd; 7/10; 7/10; ; 4/6; 7/10; ; 7/10; 8/13; 4/6; ; 4/6; 7/10; 7/10; 7/10; ; 7/10; 5/7; ; ; 5/7; ; ; ; ; ; 4/6; ; 
Draw; 3; 14/5; ; 11/4; 3; ; 3; 11/4; 3; ; 12/5; 11/4; 3; 14/5; ; 3; 56/19; ; ; 56/19; ; ; ; ; ; 5/2; ; 
Hartlepool; 7/2; 10/3; ; 10/3; 19/5; ; 15/4; 7/2; 7/2; ; 10/3; 15/4; 7/2; 19/5; ; 7/2; 7/2; ; ; 7/2; ; ; ; ; ; 10/3; ; 
META; english/league-2/cambridge-utd-v-hartlepool; 2017-03-12 10:21:47 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Cambridge Utd; 7/10; 7/10; ; 4/6; 7/10; ; 7/10; 8/13; 4/6; ; 4/6; 7/10; 7/10; 7/10; ; 7/10; 5/7; ; 4/6; 5/7; ; ; 7/10; ; ; 4/6; ; 
Draw; 3; 14/5; ; 11/4; 3; ; 3; 11/4; 3; ; 12/5; 11/4; 3; 14/5; ; 3; 56/19; ; 3; 56/19; ; ; 3; ; ; 5/2; ; 
Hartlepool; 7/2; 10/3; ; 10/3; 19/5; ; 15/4; 7/2; 7/2; ; 10/3; 15/4; 7/2; 19/5; ; 7/2; 7/2; ; 7/2; 7/2; ; ; 7/2; ; ; 10/3; ; 
META; english/league-2/cambridge-utd-v-hartlepool; 2017-03-12 14:21:18 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Cambridge Utd; 7/10; 7/10; 8/11; 4/6; 8/11; ; 3/4; 8/13; 8/11; 3/4; 8/11; 3/4; 8/11; 8/11; ; 8/11; 5/7; ; 4/6; 5/7; 3/4; 13/17; 7/10; ; ; 4/6; ; 
Draw; 3; 14/5; 13/5; 11/4; 3; ; 3; 11/4; 14/5; 11/4; 14/5; 11/4; 14/5; 14/5; ; 3; 56/19; ; 3; 56/19; 16/5; 13/5; 3; ; ; 13/5; ; 
Hartlepool; 7/2; 10/3; 7/2; 10/3; 18/5; ; 17/5; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; 18/5; ; 7/2; 7/2; ; 7/2; 7/2; 73/20; 56/19; 7/2; ; ; 3; ; 
META; english/league-2/cambridge-utd-v-hartlepool; 2017-03-12 18:21:07 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Cambridge Utd; 7/10; 7/10; 8/11; 4/6; 8/11; 7/10; 7/10; 8/13; 8/11; 3/4; 8/11; 3/4; 8/11; 8/11; 8/11; 7/10; 5/7; ; 4/6; 5/7; 3/4; 13/17; 7/10; 7/10; ; 4/6; ; 
Draw; 3; 14/5; 5/2; 11/4; 3; 13/5; 3; 11/4; 14/5; 11/4; 14/5; 11/4; 14/5; 14/5; 3; 3; 56/19; ; 3; 56/19; 16/5; 13/5; 3; 3; ; 13/5; ; 
Hartlepool; 7/2; 10/3; 18/5; 10/3; 18/5; 16/5; 15/4; 7/2; 7/2; 7/2; 15/4; 7/2; 7/2; 18/5; 10/3; 7/2; 38/11; ; 7/2; 38/11; 73/20; 56/19; 7/2; 7/2; ; 3; ; 
META; english/league-2/cambridge-utd-v-hartlepool; 2017-03-12 22:21:43 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Cambridge Utd; 4/6; 7/10; 4/6; 3/4; 7/10; 7/10; 4/6; 8/13; 4/6; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 7/10; 9/13; ; 4/6; 9/13; 3/4; 13/17; 7/10; 4/6; ; 4/6; 4/6; 
Draw; 3; 14/5; 13/5; 13/5; 3; 13/5; 3; 11/4; 14/5; 14/5; 14/5; 13/5; 11/4; 29/10; 11/4; 14/5; 14/5; ; 3; 14/5; 16/5; 13/5; 3; 11/4; ; 14/5; 11/4; 
Hartlepool; 15/4; 10/3; 4; 15/4; 4; 16/5; 4; 7/2; 4; 4; 4; 4; 4; 9/2; 17/4; 4; 19/5; ; 7/2; 19/5; 73/20; 56/19; 7/2; 4; ; 7/2; 7/2; 
META; english/league-2/cambridge-utd-v-hartlepool; 2017-03-13 02:22:12 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Cambridge Utd; 4/6; 8/11; 4/6; 3/4; 7/10; 7/10; 7/10; 8/13; 4/6; 7/10; 4/6; 7/10; 4/6; 7/10; 7/10; 7/10; 9/13; ; 4/6; 9/13; 37/50; 3/4; 7/10; 4/6; ; 4/6; 4/6; 
Draw; 3; 13/5; 13/5; 13/5; 3; 13/5; 3; 11/4; 14/5; 14/5; 14/5; 13/5; 11/4; 29/10; 3; 14/5; 14/5; ; 3; 14/5; 31/10; 13/5; 3; 11/4; ; 14/5; 11/4; 
Hartlepool; 15/4; 4; 19/5; 15/4; 4; 16/5; 15/4; 7/2; 4; 4; 4; 4; 4; 9/2; 7/2; 4; 15/4; ; 7/2; 15/4; 77/20; 56/19; 7/2; 15/4; ; 7/2; 7/2; 
META; english/league-2/cambridge-utd-v-hartlepool; 2017-03-13 06:23:46 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Cambridge Utd; 8/11; 8/11; 4/6; 3/4; 7/10; 7/10; 7/10; 8/13; 4/6; 7/10; 4/6; 7/10; 4/6; 8/11; 7/10; 7/10; 9/13; ; 4/6; 9/13; 37/50; 3/4; 7/10; 7/10; ; 4/6; 4/6; 
Draw; 3; 13/5; 13/5; 13/5; 3; 13/5; 3; 11/4; 14/5; 14/5; 14/5; 13/5; 11/4; 29/10; 3; 14/5; 14/5; ; 3; 14/5; 31/10; 13/5; 3; 13/5; ; 14/5; 11/4; 
Hartlepool; 4; 4; 19/5; 15/4; 4; 16/5; 15/4; 7/2; 4; 4; 4; 4; 4; 9/2; 7/2; 4; 15/4; ; 7/2; 15/4; 77/20; 56/19; 7/2; 15/4; ; 4; 7/2; 
META; english/league-2/cambridge-utd-v-hartlepool; 2017-03-13 10:20:40 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Cambridge Utd; 8/11; 8/11; 4/6; 7/10; 7/10; 8/13; 7/10; 8/13; 4/6; 4/6; 4/6; 7/10; 4/6; 8/11; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; 37/50; 4/6; 7/10; 7/10; ; 4/6; 4/6; 
Draw; 3; 13/5; 13/5; 11/4; 3; 13/5; 3; 11/4; 14/5; 13/5; 14/5; 11/4; 11/4; 29/10; 3; 14/5; 11/4; 27/10; 3; 11/4; 31/10; 29/10; 3; 13/5; ; 14/5; 11/4; 
Hartlepool; 4; 4; 19/5; 19/5; 4; 37/10; 15/4; 7/2; 4; 4; 4; 4; 4; 9/2; 7/2; 4; 4; 4; 7/2; 4; 77/20; 18/5; 7/2; 4; ; 4; 7/2; 
META; english/league-2/cambridge-utd-v-hartlepool; 2017-03-13 14:22:41 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Cambridge Utd; 8/11; 8/11; 4/6; 8/11; 8/11; 8/13; 7/10; 8/13; 4/6; 4/6; 7/10; 7/10; 4/6; 8/11; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; 37/50; 4/6; 9/13; 7/10; ; 4/6; 4/6; 4/6
Draw; 3; 13/5; 13/5; 13/5; 11/4; 13/5; 3; 11/4; 14/5; 13/5; 27/10; 11/4; 11/4; 14/5; 3; 11/4; 27/10; 27/10; 27/10; 27/10; 73/25; 29/10; 27/10; 11/4; ; 14/5; 11/4; 14/5
