META; english/league-2/portsmouth-v-cambridge-utd; 2017-04-18 14:21:02 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; 10/11; ; ; ; ; ; ; ; 1; ; 19/20; ; ; 19/20; 1; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
Draw; 5/2; ; ; ; ; ; ; ; 5/2; ; 9/4; ; ; 5/2; 12/5; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
Cambridge Utd; 29/10; ; ; ; ; ; ; ; 14/5; ; 27/10; ; ; 14/5; 11/4; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
META; english/league-2/portsmouth-v-cambridge-utd; 2017-04-18 18:21:01 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; 3/4; ; ; ; ; ; ; ; 9/10; ; 4/5; ; ; 5/6; 4/5; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
Draw; 11/4; ; ; ; ; ; ; ; 5/2; ; 12/5; ; ; 13/5; 5/2; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; 
Cambridge Utd; 10/3; ; ; ; ; ; ; ; 3; ; 16/5; ; ; 10/3; 7/2; ; ; ; ; ; ; ; ; ; ; ; 3; ; 
META; english/league-2/portsmouth-v-cambridge-utd; 2017-04-18 22:20:56 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; 3/4; ; ; ; ; ; ; ; 9/10; ; 4/5; ; ; 5/6; 4/5; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
Draw; 11/4; ; ; ; ; ; ; ; 5/2; ; 12/5; ; ; 13/5; 5/2; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; 
Cambridge Utd; 10/3; ; ; ; ; ; ; ; 3; ; 16/5; ; ; 10/3; 7/2; ; ; ; ; ; ; ; ; ; ; ; 3; ; 
META; english/league-2/portsmouth-v-cambridge-utd; 2017-04-19 02:20:48 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; 3/4; ; ; ; ; ; ; ; 9/10; ; 4/5; ; ; 5/6; 4/5; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
Draw; 11/4; ; ; ; ; ; ; ; 5/2; ; 12/5; ; ; 13/5; 5/2; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; 
Cambridge Utd; 10/3; ; ; ; ; ; ; ; 3; ; 16/5; ; ; 10/3; 7/2; ; ; ; ; ; ; ; ; ; ; ; 3; ; 
META; english/league-2/portsmouth-v-cambridge-utd; 2017-04-19 06:20:48 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; 3/4; ; ; ; ; ; ; ; 9/10; ; 4/5; ; ; 4/5; 4/5; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
Draw; 11/4; ; ; ; ; ; ; ; 5/2; ; 12/5; ; ; 13/5; 5/2; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; 
Cambridge Utd; 10/3; ; ; ; ; ; ; ; 3; ; 16/5; ; ; 10/3; 7/2; ; ; ; ; ; ; ; ; ; ; ; 3; ; 
META; english/league-2/portsmouth-v-cambridge-utd; 2017-04-19 10:20:47 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; 3/4; ; ; ; ; ; ; ; 9/10; ; 4/5; ; ; 4/5; 4/5; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
Draw; 11/4; ; ; ; ; ; ; ; 5/2; ; 12/5; ; ; 13/5; 5/2; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; 
Cambridge Utd; 10/3; ; ; ; ; ; ; ; 3; ; 16/5; ; ; 10/3; 7/2; ; ; ; ; ; ; ; ; ; ; ; 3; ; 
META; english/league-2/portsmouth-v-cambridge-utd; 2017-04-19 14:20:48 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; 3/4; ; ; ; ; ; ; ; 9/10; ; 4/5; ; ; 4/5; 4/5; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; 
Draw; 11/4; ; ; ; ; ; ; ; 5/2; ; 12/5; ; ; 13/5; 5/2; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; 
Cambridge Utd; 10/3; ; ; ; ; ; ; ; 3; ; 13/4; ; ; 10/3; 7/2; ; ; ; ; ; ; ; ; ; ; ; 3; ; 
META; english/league-2/portsmouth-v-cambridge-utd; 2017-04-19 18:20:51 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; 3/4; ; ; ; ; ; ; ; 9/10; ; 5/6; ; ; 4/5; 4/5; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
Draw; 11/4; ; ; ; ; ; ; ; 5/2; ; 13/5; ; ; 13/5; 5/2; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
Cambridge Utd; 10/3; ; ; ; ; ; ; ; 3; ; 16/5; ; ; 10/3; 7/2; ; ; ; ; ; ; ; ; ; ; ; 3; ; 
META; english/league-2/portsmouth-v-cambridge-utd; 2017-04-19 22:21:02 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; 3/4; ; ; ; ; ; ; ; 9/10; ; 5/6; ; ; 4/5; 4/5; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
Draw; 11/4; ; ; ; ; ; ; ; 5/2; ; 13/5; ; ; 13/5; 5/2; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
Cambridge Utd; 10/3; ; ; ; ; ; ; ; 3; ; 16/5; ; ; 10/3; 7/2; ; ; ; ; ; ; ; ; ; ; ; 3; ; 
META; english/league-2/portsmouth-v-cambridge-utd; 2017-04-20 02:20:55 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; 3/4; ; ; ; ; ; ; ; 9/10; ; 5/6; ; ; 4/5; 4/5; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
Draw; 11/4; ; ; ; ; ; ; ; 5/2; ; 13/5; ; ; 13/5; 5/2; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
Cambridge Utd; 10/3; ; ; ; ; ; ; ; 3; ; 16/5; ; ; 10/3; 7/2; ; ; ; ; ; ; ; ; ; ; ; 3; ; 
META; english/league-2/portsmouth-v-cambridge-utd; 2017-04-20 06:20:54 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; 3/4; ; ; ; ; ; ; ; 9/10; ; 5/6; ; ; 4/5; 4/5; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
Draw; 11/4; ; ; ; ; ; ; ; 5/2; ; 13/5; ; ; 13/5; 5/2; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
Cambridge Utd; 10/3; ; ; ; ; ; ; ; 3; ; 16/5; ; ; 10/3; 7/2; ; ; ; ; ; ; ; ; ; ; ; 3; ; 
META; english/league-2/portsmouth-v-cambridge-utd; 2017-04-20 10:20:54 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; 3/4; ; ; ; ; ; ; ; 9/10; ; 5/6; ; ; 4/5; 4/5; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
Draw; 11/4; ; ; ; ; ; ; ; 5/2; ; 13/5; ; ; 13/5; 5/2; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
