META; english/league-2/wycombe-v-cambridge-utd; 2017-05-02 10:59:01 GMT+3; 2017-05-06 17:30; Nothing; Xlenovo
Wycombe; 6/4; ; ; ; ; ; ; ; 6/4; 31/20; 31/20; ; ; 6/4; 6/4; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
Cambridge Utd; 17/10; ; ; ; ; ; ; ; 7/4; 7/4; 7/4; ; ; 17/10; 9/5; ; ; ; ; ; ; ; ; ; ; ; 8/5; ; 
Draw; 12/5; ; ; ; ; ; ; ; 5/2; 2; 2; ; ; 12/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/league-2/wycombe-v-cambridge-utd; 2017-05-02 18:20:22 GMT+3; 2017-05-06 17:30; Nothing; Xlenovo
Wycombe; 6/4; ; ; ; ; ; ; ; 6/4; 29/20; 6/4; ; ; 6/4; 6/4; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
Cambridge Utd; 17/10; ; ; ; ; ; ; ; 7/4; 9/5; 7/4; ; ; 17/10; 9/5; ; ; ; ; ; ; ; ; ; ; ; 6/4; ; 
Draw; 12/5; ; ; ; ; ; ; ; 5/2; 23/10; 12/5; ; ; 12/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/league-2/wycombe-v-cambridge-utd; 2017-05-02 22:20:30 GMT+3; 2017-05-06 17:30; Nothing; Xlenovo
Wycombe; 6/4; ; ; ; ; ; ; ; 6/4; 29/20; 6/4; ; ; 6/4; 6/4; ; ; ; ; ; ; ; ; ; ; ; 11/8; ; 
Cambridge Utd; 17/10; ; ; ; ; ; ; ; 7/4; 9/5; 7/4; ; ; 17/10; 9/5; ; ; ; ; ; ; ; ; ; ; ; 6/4; ; 
Draw; 12/5; ; ; ; ; ; ; ; 5/2; 23/10; 12/5; ; ; 12/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/league-2/wycombe-v-cambridge-utd; 2017-05-03 02:20:21 GMT+3; 2017-05-06 17:30; Nothing; Xlenovo
Wycombe; 6/4; ; ; ; ; ; ; ; 6/4; 29/20; 6/4; ; ; 6/4; 6/4; ; ; ; ; ; ; ; ; ; ; ; 11/8; ; 
Cambridge Utd; 17/10; ; ; ; ; ; ; ; 7/4; 9/5; 7/4; ; ; 17/10; 9/5; ; ; ; ; ; ; ; ; ; ; ; 6/4; ; 
Draw; 12/5; ; ; ; ; ; ; ; 5/2; 23/10; 12/5; ; ; 12/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/league-2/wycombe-v-cambridge-utd; 2017-05-03 10:20:21 GMT+3; 2017-05-06 17:30; Nothing; Xlenovo
Wycombe; 6/4; ; ; ; ; ; ; ; 6/4; 29/20; 6/4; ; ; 6/4; 6/4; ; ; ; ; ; ; ; ; ; ; ; 11/8; ; 
Cambridge Utd; 17/10; ; ; ; ; ; ; ; 7/4; 9/5; 7/4; ; ; 17/10; 9/5; ; ; ; ; ; ; ; ; ; ; ; 6/4; ; 
Draw; 12/5; ; ; ; ; ; ; ; 5/2; 23/10; 12/5; ; ; 12/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/league-2/wycombe-v-cambridge-utd; 2017-05-03 14:20:24 GMT+3; 2017-05-06 17:30; Nothing; Xlenovo
Wycombe; 6/4; ; ; ; ; ; ; ; 6/4; 29/20; 6/4; ; ; 6/4; 6/4; ; ; ; ; ; ; ; ; ; ; ; 11/8; ; 
Cambridge Utd; 17/10; ; ; ; ; ; ; ; 7/4; 9/5; 7/4; ; ; 17/10; 9/5; ; ; ; ; ; ; ; ; ; ; ; 6/4; ; 
Draw; 12/5; ; ; ; ; ; ; ; 5/2; 23/10; 12/5; ; ; 12/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/league-2/wycombe-v-cambridge-utd; 2017-05-03 18:20:21 GMT+3; 2017-05-06 17:30; Nothing; Xlenovo
Wycombe; 6/4; ; ; ; ; ; ; ; 6/4; 29/20; 6/4; ; ; 6/4; 6/4; ; ; ; ; ; ; ; ; ; ; ; 11/8; ; 
Cambridge Utd; 17/10; ; ; ; ; ; ; ; 7/4; 9/5; 7/4; ; ; 17/10; 9/5; ; ; ; ; ; ; ; ; ; ; ; 6/4; ; 
Draw; 12/5; ; ; ; ; ; ; ; 5/2; 23/10; 12/5; ; ; 12/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/league-2/wycombe-v-cambridge-utd; 2017-05-03 22:20:21 GMT+3; 2017-05-06 17:30; Nothing; Xlenovo
Wycombe; 6/4; ; ; ; ; ; ; ; 6/4; 29/20; 6/4; ; ; 6/4; 6/4; ; ; ; ; ; ; ; ; ; ; ; 11/8; ; 
Cambridge Utd; 17/10; ; ; ; ; ; ; ; 7/4; 9/5; 7/4; ; ; 17/10; 9/5; ; ; ; ; ; ; ; ; ; ; ; 6/4; ; 
Draw; 12/5; ; ; ; ; ; ; ; 5/2; 23/10; 12/5; ; ; 12/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/league-2/wycombe-v-cambridge-utd; 2017-05-04 02:20:20 GMT+3; 2017-05-06 17:30; Nothing; Xlenovo
Wycombe; 6/4; ; ; ; ; ; ; ; 6/4; 29/20; 6/4; ; ; 6/4; 6/4; ; ; ; ; ; ; ; ; ; ; ; 11/8; ; 
Cambridge Utd; 17/10; ; ; ; ; ; ; ; 7/4; 9/5; 7/4; ; ; 17/10; 9/5; ; ; ; ; ; ; ; ; ; ; ; 6/4; ; 
Draw; 12/5; ; ; ; ; ; ; ; 5/2; 23/10; 12/5; ; ; 12/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/league-2/wycombe-v-cambridge-utd; 2017-05-04 10:20:32 GMT+3; 2017-05-06 17:30; Nothing; Xlenovo
Wycombe; 6/4; ; ; ; ; ; ; ; 6/4; 29/20; 6/4; ; ; 6/4; 6/4; ; ; ; ; ; ; ; ; ; ; ; 11/8; ; 
Cambridge Utd; 17/10; ; ; ; ; ; ; ; 7/4; 9/5; 7/4; ; ; 17/10; 9/5; ; ; ; ; ; ; ; ; ; ; ; 6/4; ; 
Draw; 12/5; ; ; ; ; ; ; ; 5/2; 23/10; 12/5; ; ; 12/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/league-2/wycombe-v-cambridge-utd; 2017-05-04 14:20:30 GMT+3; 2017-05-06 17:30; Nothing; Xlenovo
Wycombe; 6/4; ; ; ; ; ; ; ; 6/4; 29/20; 6/4; ; ; 6/4; 6/4; ; ; ; ; ; ; ; ; ; ; ; 11/8; ; 
Cambridge Utd; 17/10; ; ; ; ; ; ; ; 7/4; 33/20; 7/4; ; ; 17/10; 9/5; ; ; ; ; ; ; ; ; ; ; ; 6/4; ; 
Draw; 12/5; ; ; ; ; ; ; ; 5/2; 23/10; 12/5; ; ; 12/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/wycombe-v-cambridge-utd; 2017-05-04 18:20:27 GMT+3; 2017-05-06 17:30; Nothing; Xlenovo
Wycombe; 7/5; ; ; ; ; ; ; ; 6/4; 7/5; 29/20; ; ; 29/20; 6/4; ; ; ; ; ; ; ; ; ; ; ; 27/20; ; 
Cambridge Utd; 9/5; ; ; ; ; ; ; ; 9/5; 7/4; 9/5; ; ; 9/5; 9/5; ; ; ; ; ; ; ; ; ; ; ; 13/8; ; 
Draw; 12/5; ; ; ; ; ; ; ; 12/5; 23/10; 12/5; ; ; 12/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/wycombe-v-cambridge-utd; 2017-05-04 22:20:28 GMT+3; 2017-05-06 17:30; Nothing; Xlenovo
Wycombe; 7/5; ; ; ; ; ; ; ; 6/4; 7/5; 29/20; ; ; 6/4; 6/4; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
Cambridge Utd; 9/5; ; ; ; ; ; ; ; 9/5; 7/4; 9/5; ; ; 19/10; 9/5; ; ; ; ; ; ; ; ; ; ; ; 9/5; ; 
Draw; 12/5; ; ; ; ; ; ; ; 12/5; 23/10; 12/5; ; ; 12/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
META; english/league-2/wycombe-v-cambridge-utd; 2017-05-05 02:20:24 GMT+3; 2017-05-06 17:30; Nothing; Xlenovo
Wycombe; 7/5; ; ; ; ; ; ; ; 6/4; 7/5; 29/20; ; ; 6/4; 6/4; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
