META; english/league-2/notts-county-v-exeter; 2017-02-11 18:22:30 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Exeter; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Notts County; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-2/notts-county-v-exeter; 2017-02-11 22:26:27 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Exeter; 6/5; 11/10; ; 13/10; 5/4; ; 6/5; ; ; ; 6/5; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; 4/6; ; 
Exeter; 6/5; 11/10; 6/5; 13/10; 5/4; ; 6/5; ; ; ; 6/5; 5/4; ; 6/5; ; 5/4; 6/5; ; 6/5; 6/5; 13/10; ; 16/13; 6/5; ; 11/10; ; 
Notts County; 9/4; 23/10; 9/4; 7/4; 23/10; ; 23/10; ; ; ; 11/5; 9/4; ; 23/10; ; 11/5; 11/5; ; 9/4; 11/5; 57/25; ; 9/4; 9/4; ; 2; ; 
Draw; 9/4; 23/10; 43/20; 12/5; 12/5; ; 12/5; ; ; ; 21/10; 9/4; ; 23/10; ; 23/10; 23/10; ; 23/10; 23/10; 5/2; ; 23/10; 9/4; ; 21/10; ; 
META; english/league-2/notts-county-v-exeter; 2017-02-12 14:22:18 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Exeter; 6/5; 11/10; 6/5; 13/10; 5/4; 6/5; 5/4; 6/5; ; 6/5; 6/5; 6/5; 6/5; 6/5; ; 5/4; 6/5; ; 6/5; 6/5; 13/10; ; 16/13; 6/5; ; 11/10; ; 
Notts County; 9/4; 23/10; 9/4; 7/4; 23/10; 11/5; 11/5; 23/10; ; 9/4; 11/5; 11/5; 9/4; 9/4; ; 11/5; 11/5; ; 9/4; 11/5; 57/25; ; 9/4; 9/4; ; 2; ; 
Draw; 9/4; 23/10; 43/20; 12/5; 12/5; 9/4; 12/5; 23/10; ; 23/10; 21/10; 12/5; 23/10; 12/5; ; 23/10; 23/10; ; 23/10; 23/10; 5/2; ; 23/10; 9/4; ; 21/10; ; 
META; english/league-2/notts-county-v-exeter; 2017-02-12 18:21:40 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Exeter; 23/20; 6/5; 6/5; 6/5; 5/4; 11/10; 6/5; 6/5; ; 6/5; 6/5; 6/5; 23/20; 6/5; 6/5; 6/5; 6/5; ; 6/5; 6/5; 6/5; 22/19; 16/13; 6/5; ; 11/10; 10/9; 
Draw; 9/4; 9/4; 43/20; 23/10; 12/5; 11/5; 12/5; 23/10; ; 23/10; 21/10; 11/5; 47/20; 23/10; 23/10; 23/10; 23/10; ; 23/10; 23/10; 5/2; 9/4; 23/10; 9/4; ; 11/5; 11/5; 
