META; spain/la-liga-primera/real-madrid-v-celta-vigo; 2018-05-01 12:14:53 GMT+3; 2018-05-12 17:30; e70300-dr003
Real Madrid; 1/4; 1/5; 1/5; 5/18; 2/7; 1/4; 5/18; 1/16
Draw; 61/10; 5; 5; 11/2; 24/5; 21/10; ; 
Celta Vigo; 25/2; 15/2; 15/2; 8; 9; 15/2; 20/21; 
META; spain/la-liga-primera/real-madrid-v-celta-vigo; 2018-05-02 11:05:47 GMT+3; 2018-05-12 17:30; e70300-dr003
Real Madrid; 1/4; 1/5; 1/5; 5/18; 2/7; 1/4; 5/18; 1/16
Draw; 61/10; 5; 5; 11/2; 24/5; 21/10; ; 
Celta Vigo; 25/2; 15/2; 15/2; 8; 9; 15/2; 20/21; 
META; spain/la-liga-primera/real-madrid-v-celta-vigo; 2018-05-03 12:41:55 GMT+3; 2018-05-12 17:30; e70300-dr003
Real Madrid; 1/4; 1/5; 1/5; 5/18; 2/7; 1/4; 5/18; 1/14
Draw; 61/10; 5; 5; 11/2; 24/5; 21/10; ; 
Celta Vigo; 25/2; 15/2; 15/2; 8; 9; 15/2; 20/21; 
META; spain/la-liga-primera/real-madrid-v-celta-vigo; 2018-05-05 12:16:13 GMT+3; 2018-05-12 17:30; e70300-dr003
Real Madrid; 27/00; 2/9; 1/5; 5/18; 1/4; 1/4; 5/18; 1/16
Draw; 29/5; 6; 5; 5; 24/5; 21/10; ; 
Celta Vigo; 23/2; 10; 17/2; 8; 17/2; 10; 15/2; 20/21
META; spain/la-liga-primera/real-madrid-v-celta-vigo; 2018-05-07 10:32:33 GMT+3; 2018-05-12 17:30; e70300-dr003
Real Madrid; 2/9; 3/10; 2/7; 31/00; 2/7; 2/7; 2/9; 5/19; 2/7; 2/7; 3/10; 3/10; 1/3; 2/7; 5/19; 1/4; 5/18; 5/19; 2/7; 3/11; 1/10; 3/10
Draw; 11/2; 5; 24/5; 11/2; 5; 9/2; 11/2; 19/4; 5; 19/4; 19/4; 5; 21/4; 5; 21/4; 11/2; 96/19; 19/10; 26/5; ; ; 
Celta Vigo; 10; 8; 37/4; 17/2; 15/2; 15/2; 9; 17/2; 15/2; 8; 8; 17/2; 8; 13/2; 17/2; 15/2; 17/2; 2/9; 44/5; ; ; 
META; spain/la-liga-primera/real-madrid-v-celta-vigo; 2018-05-08 08:11:51 GMT+3; 2018-05-12 17:30; e70300-dr003
Real Madrid; 2/7; 1/3; 1/3; 7/20; 3/10; 3/10; 1/4; 3/10; 1/3; 3/10; 1/3; 7/20; 7/20; 1/3; 4/13; 1/4; 6/17; 3/10; 1/3; 4/13; 1/4; 1/100; 3/10
Draw; 9/2; 19/4; 9/2; 26/5; 5; 19/4; 9/2; 5; 9/2; 5; 9/2; 9/2; 5; 9/2; 24/5; 21/4; 5; 24/5; 5; 63/13; 11/5; 5; 
Celta Vigo; 9; 13/2; 7; 39/5; 15/2; 7; 31/4; 7; 15/2; 13/2; 7; 7; 15/2; 8; 32/5; 15/2; 13/2; 31/4; 11/5; 1/100; 38/5; ; 
META; spain/la-liga-primera/real-madrid-v-celta-vigo; 2018-05-09 10:11:57 GMT+3; 2018-05-12 19:45; e70300-dr003
Real Madrid; 2/7; 4/11; 1/3; 4/11; 9/25; 3/10; 3/10; 1/4; 3/10; 1/3; 3/10; 1/3; 7/20; 7/20; 1/3; 4/13; 5/19; 6/17; 3/10; 1/3; 4/13; 1/4; 3/10; 1/3
Draw; 9/2; 9/2; 9/2; 9/2; 51/10; 5; 9/2; 9/2; 5; 9/2; 5; 9/2; 9/2; 5; 9/2; 24/5; 21/4; 5; 24/5; 5; 63/13; 23/5; 7/2; 24/5
Celta Vigo; 9; 7; 38/5; 15/2; 13/2; 7; 31/4; 7; 15/2; 13/2; 7; 7; 15/2; 15/2; 32/5; 15/2; 13/2; 31/4; 33/5; 27/5; 37/5; ; ; 
META; spain/la-liga-primera/real-madrid-v-celta-vigo; 2018-05-10 12:11:48 GMT+3; 2018-05-12 19:45; e70300-dr003
Real Madrid; 2/5; 4/11; 4/11; 4/11; 37/00; 4/11; 7/20; 1/3; 6/17; 4/11; 1/3; 4/11; 4/11; 4/11; 4/11; 10/29; 10/29; 7/19; 6/17; 1/3; 10/29; 1/3; 3/10; 1/3; 4/11
Draw; 15/4; 9/2; 17/4; 9/2; 24/5; 9/2; 9/2; 4; 79/17; 9/2; 9/2; 4; 9/2; 9/2; 4; 23/5; 4; 49/10; 9/2; 19/4; 79/17; 1/50; 7/2; 24/5; 23/5
Celta Vigo; 7; 13/2; 6; 34/5; 7; 13/2; 13/2; 27/4; 13/2; 7; 13/2; 13/2; 13/2; 27/4; 7; 13/2; 7; 33/5; 34/5; 7; 33/5; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-celta-vigo; 2018-05-11 13:00:51 GMT+3; 2018-05-12 19:45; e70300-dr003
Real Madrid; 1/3; 1/3; 1/3; 4/11; 7/20; 3/10; 1/3; 2/7; 6/19; 1/3; 3/10; 1/3; 7/20; 7/20; 1/3; 1/3; 6/17; 6/17; 6/19; 4/11; 1/3; 3/10; 1/3; 1/3; 1/3; 1/3
Draw; 17/4; 9/2; 9/2; 19/5; 101/0; 5; 9/2; 5; 21/4; 9/2; 9/2; 9/2; 19/4; 5; 9/2; 19/4; 9/2; 51/10; 51/10; 5; 24/5; 5; 23/5; 24/5; 5; 26/5
Celta Vigo; 17/2; 7; 13/2; 7; 8; 13/2; 15/2; 29/4; 7; 15/2; 7; 15/2; 6; 7; 31/5; 7; 7; 33/5; 33/5; 36/5; 7; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-celta-vigo; 2018-05-12 12:13:42 GMT+3; 2018-05-12 19:45; e70300-dr003
Real Madrid; 2/7; 3/10; 1/4; 3/10; 3/10; 2/7; 2/7; 1/4; 3/10; 1/4; 2/7; 1/4; 1/4; 1/4; 30/00; 2/7; 5/18; 3/10; 3/11; 2/7; 2/7; 2/7; 2/7; 2/7; 2/7; 3/10; 2/7
Draw; 5; 5; 107/0; 11/2; 5; 53/10; 5; 5; 11/2; 5; 96/19; 5; 28/5; 51/10; 11/2; 51/10; 5; 11/2; 28/5; 29/5; 28/5; ; ; ; ; ; 
Celta Vigo; 8; 9; 43/5; 17/2; 15/2; 8; 17/2; 8; 15/2; 9; 15/2; 8; 8; 17/2; 15/2; 19/2; 33/4; 17/2; 17/2; 46/5; 44/5; 44/5; ; ; ; ; 
