META; spain/la-liga-primera/malaga-v-espanyol; 2017-12-20 12:14:27 GMT+2; 2018-01-08 20:00; e70300-dr003
Malaga; 13/10; ; 13/10; 13/10; ; 13/10; 13/10; 13/10; 13/10; 13/10; ; 13/10; ; 11/8; 13/10; ; ; 5/4; 34/25; 5/4; 13/10; 13/10; 13/10; 5/4; 5/4; ; 1/20; ; 
Draw; 21/10; ; 21/10; 11/5; ; 9/4; 11/5; 21/10; 11/5; 21/10; ; 11/5; ; 11/5; 23/10; ; ; 28/13; 119/ 50; 23/10; 11/5; 11/5; 23/10; 11/5; 11/5; ; 9/5; ; 
Espanyol; 9/4; ; 11/5; 11/5; ; 12/5; 21/10; 23/10; 11/5; 21/10; ; 9/4; ; 43/20; 11/5; ; ; 28/13; 119/ 50; 133/ 67; 11/5; 23/10; 11/5; 9/4; 28/13; ; 1/14; ; 
META; spain/la-liga-primera/malaga-v-espanyol; 2017-12-26 12:45:20 GMT+2; 2018-01-08 20:00; e70300-dr003
Malaga; 6/4; 8/5; 13/10; 6/4; 83/50; 31/20; 6/4; 6/4; 8/5; 13/10; ; 31/20; ; 8/5; 8/5; 6/4; 6/4; 6/4; 6/4; 7/5; 8/5; 8/5; 31/20; 31/20; 17/11; ; 7/5; 7/5; 
Espanyol; 19/10; 19/10; 11/5; 19/10; 52/25; 2; 19/10; 2; 19/10; 21/10; ; 2; ; 2; 2; 2; 2; 19/10; 2; 9/5; 19/10; 2; 2; 2; 37/19; ; 7/5; 9/5; 
Draw; 21/10; 2; 21/10; 11/5; 109/ 50; 11/5; 2; 21/10; 21/10; 21/10; ; 2; ; 2; 2; 21/10; 37/19; 2; 37/19; 23/10; 21/10; 2; 21/10; 2; 2; ; 9/5; 7/4; 
META; spain/la-liga-primera/malaga-v-espanyol; 2017-12-31 12:14:14 GMT+2; 2018-01-08 20:00; e70300-dr003
Malaga; 6/4; 8/5; 13/10; 6/4; 41/25; 8/5; 6/4; 6/4; 8/5; 13/10; ; 31/20; ; 8/5; 8/5; 6/4; 6/4; 6/4; 6/4; 23/15; 8/5; 6/4; 31/20; 31/20; 6/4; ; 7/5; 7/5; 8/5
Espanyol; 19/10; 19/10; 11/5; 19/10; 52/25; 19/10; 19/10; 15/8; 19/10; 21/10; ; 2; ; 2; 2; 19/10; 2; 19/10; 2; 39/19; 19/10; 2; 2; 2; 19/10; ; 6/4; 9/5; 2
Draw; 21/10; 2; 21/10; 11/5; 11/5; 21/10; 2; 21/10; 21/10; 21/10; ; 2; ; 41/20; 2; 2; 37/19; 2; 37/19; 28/13; 21/10; 2; 85/40; 2; 39/19; ; 9/5; 9/5; 21/10
META; spain/la-liga-primera/malaga-v-espanyol; 2018-01-07 12:14:21 GMT+2; 2018-01-08 20:00; e70300-dr003
Malaga; 31/20; 6/4; 17/11; 8/5; 43/25; 8/5; 6/4; 6/4; 6/4; 31/20; 8/5; 8/5; 8/5; 31/20; 8/5; 8/5; 17/11; 17/11; 17/11; 11/7; 31/21; 8/5; 8/5; 13/8; 8/5; ; 8/5; 13/8; 13/8
Draw; 2; 2; 2; 2; 21/10; 21/10; 2; 21/10; 21/10; 2; 21/10; 15/8; 2; 41/20; 2; 2; 2; 2; 2; 21/10; 39/19; 2; 21/10; 39/20; 39/19; ; 2; 2; 21/10
Espanyol ; 21/10; 2; 2; 19/10; 52/25; 2; 2; 2; 28/13; 2; 2; 21/10; 21/10; 41/20; 2; 2; 21/10; 2; 21/10; 39/19; 21/10; 2; 21/10; 21/10; 39/19; ; 2; 2; 2
META; spain/la-liga-primera/malaga-v-espanyol; 2018-01-08 12:10:19 GMT+2; 2018-01-08 20:00; e70300-dr003
Malaga; 8/5; 13/8; 8/5; 8/5; 169/100; 17/10; 8/5; 13/8; 28/17; 13/8; 13/8; 31/20; 13/8; 33/20; 8/5; 8/5; 8/5; 8/5; 8/5; 29/18; 13/8; 8/5; 17/10; 33/20; 8/5; ; 13/8; 13/8; 17/10
Espanyol ; 19/10; 19/10; 28/15; 19/10; 51/25; 19/10; 19/10; 15/8; 37/19; 19/10; 2; 15/8; 15/8; 39/20; 2; 19/10; 19/10; 37/19; 19/10; 37/19; 19/10; 15/8; 2; 2; 37/19; ; 19/10; 19/10; 2
Draw; 2; 2; 2; 2; 109/50; 21/10; 2; 2; 21/10; 2; 21/10; 21/10; 2; 41/20; 2; 21/10; 21/10; 39/19; 21/10; 21/10; 39/19; 2; 21/10; 2; 39/19; ; 2; 2; 21/10
