META; spain/la-liga-primera/deportivo-la-coruna-v-real-madrid; 2017-07-31 11:59:54 GMT+3; 2017-08-20 16:00; e70300-dr003
Real Madrid; 2/9; 3/10; 3/10; 2/7; 1/4; 7/20; 2/7; 2/9; 1/4; 5/18; 2/7; 3/10; 1/4; 1/4; 30/100; 2/7; 5/19; 1/4; 5/19; 29/100; 5/18; 1/4; 3/10; ; 1/4; ; 2/15; ; 3/10
Draw; 11/2; 9/2; 9/2; 9/2; 11/2; 21/5; 5; 5; 5; 21/5; 21/5; 4; 19/4; 5; 19/4; 9/2; 19/4; 24/5; 79/17; 11/2; 9/2; 24/5; 9/2; ; 9/2; ; 11/4; ; 24/5
Deportivo La Coruna; 10; 17/2; 9; 9; 9; 7; 17/2; 10; 19/2; 17/2; 17/2; 9; 10; 11; 8; 17/2; 35/4; 19/2; 17/2; 21/2; 15/2; 19/2; 17/2; ; 9; ; 14/5; ; 48/5
META; spain/la-liga-primera/deportivo-la-coruna-v-real-madrid; 2017-08-15 20:17:48 GMT+3; 2017-08-20 16:00; e70300-dr003
Real Madrid; 1/3; 4/11; 4/11; 1/3; 1/3; 1/3; 4/11; 1/3; 6/17; ; 1/3; 4/11; 7/20; 1/3; 4/11; 1/3; 3/10; 6/17; 10/29; 19/50; 3/8; 6/17; 1/4; ; 1/4; ; 1/3; 4/11; 4/11
Draw; 17/4; 19/5; 4; 9/2; 9/2; 19/4; 17/4; 4; 39/10; ; 18/5; 15/4; 4; 4; 17/4; 4; 9/2; 39/10; 50/13; 23/5; 41/10; 39/10; 6; ; 9/2; ; 22/5; 22/5; 22/5
Deportivo La Coruna; 7; 7; 7; 7; 15/2; 8; 7; 15/2; 15/2; ; 13/2; 7; 15/2; 15/2; 7; 7; 15/2; 15/2; 27/4; 79/10; 33/5; 15/2; 15/2; ; 9; ; 41/5; 17/2; 41/5
META; spain/la-liga-primera/deportivo-la-coruna-v-real-madrid; 2017-08-16 20:04:46 GMT+3; 2017-08-20 16:00; e70300-dr003
Real Madrid; 1/3; 1/3; 4/11; 1/3; 1/3; 1/3; 1/3; 1/3; 6/17; 1/3; 1/3; 4/11; 1/3; 1/3; 4/11; 1/3; 3/10; 6/17; 10/29; 19/50; 7/19; 6/17; 1/4; ; 1/4; ; 1/3; 4/11; 4/11
Draw; 17/4; 4; 4; 9/2; 9/2; 9/2; 9/2; 4; 39/10; 19/5; 15/4; 4; 4; 4; 17/4; 4; 17/4; 39/10; 4; 23/5; 43/10; 39/10; 6; ; 9/2; ; 21/5; 21/5; 22/5
Deportivo La Coruna; 7; 8; 15/2; 7; 8; 17/2; 15/2; 15/2; 15/2; 7; 7; 7; 8; 15/2; 7; 15/2; 31/4; 15/2; 29/4; 79/10; 32/5; 15/2; 15/2; ; 9; ; 41/5; 17/2; 41/5
