META; spain/la-liga-primera/deportivo-la-coruna-v-levante; 2018-01-17 12:26:09 GMT+2; 2018-01-27 12:00; e70300-dr003
Deportivo La Coruna; 10/11; 17/20; 10/11; 10/11; 19/20; 9/10; 17/20; 5/6; 9/10; 10/11; ; 10/11; ; 10/11; 10/11; 17/20; 9/10; 13/15; 9/10; 9/10; 9/10; 9/10; 20/23; 17/20; 13/15; 4/7; ; 
Draw; 12/5; 5/2; 23/10; 23/10; 121/ 50; 12/5; 23/10; 12/5; 9/4; 23/10; ; 9/4; ; 47/20; 12/5; 9/4; 23/10; 23/10; 23/10; 12/5; 9/4; 12/5; 5/2; 47/20; 23/10; 9/5; ; 
Levante; 3; 10/3; 16/5; 10/3; 15/4; 7/2; 10/3; 7/2; 7/2; 16/5; ; 10/3; ; 16/5; 100/ 30; 3; 16/5; 13/4; 16/5; 14/5; 17/5; 100/ 30; 33/10; 7/2; 33/10; 12/5; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-levante; 2018-01-18 18:19:25 GMT+2; 2018-01-27 12:00; e70300-dr003
Deportivo La Coruna; 10/11; 17/20; 10/11; 10/11; 19/20; 9/10; 20/23; 5/6; 9/10; 10/11; ; 10/11; ; 10/11; 10/11; 17/20; 9/10; 13/15; 9/10; 9/10; 9/10; 9/10; 20/23; 17/20; 13/15; 4/7; ; 
Draw; 12/5; 5/2; 23/10; 23/10; 121/ 50; 12/5; 23/10; 12/5; 9/4; 23/10; ; 9/4; ; 47/20; 12/5; 9/4; 23/10; 23/10; 23/10; 12/5; 9/4; 12/5; 5/2; 47/20; 23/10; 9/5; ; 
Levante; 3; 10/3; 16/5; 10/3; 15/4; 7/2; 16/5; 7/2; 7/2; 16/5; ; 10/3; ; 16/5; 100/ 30; 3; 16/5; 13/4; 16/5; 14/5; 17/5; 100/ 30; 33/10; 7/2; 33/10; 12/5; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-levante; 2018-01-19 12:15:37 GMT+2; 2018-01-27 12:00; e70300-dr003
Deportivo La Coruna; 10/11; 17/20; 10/11; 10/11; 19/20; 9/10; 17/20; 5/6; 9/10; 10/11; ; 10/11; ; 10/11; 10/11; 17/20; 9/10; 13/15; 9/10; 9/10; 9/10; 9/10; 20/23; 17/20; 13/15; ; 4/7; ; 
Draw; 12/5; 5/2; 23/10; 23/10; 121/50; 12/5; 23/10; 12/5; 9/4; 23/10; ; 9/4; ; 47/20; 12/5; 9/4; 23/10; 23/10; 23/10; 12/5; 9/4; 12/5; 5/2; 47/20; 23/10; ; 9/5; ; 
Levante; 3; 10/3; 16/5; 10/3; 15/4; 7/2; 10/3; 7/2; 7/2; 16/5; ; 10/3; ; 16/5; 100/30; 3; 16/5; 13/4; 16/5; 14/5; 17/5; 100/30; 33/10; 7/2; 33/10; ; 12/5; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-levante; 2018-01-22 12:14:44 GMT+2; 2018-01-27 12:00; e70300-dr003
Deportivo La Coruna; 1; 11/10; 11/10; 21/20; 57/50; 21/20; 11/10; 1; 21/20; 21/20; 21/20; 11/10; ; 23/20; 21/20; 21/20; 1; 21/20; 1; 13/12; 21/20; 11/10; 11/10; 21/20; 21/20; 1; ; 10/9
Draw; 23/10; 23/10; 9/4; 23/10; 123/ 50; 12/5; 9/4; 23/10; 11/5; 9/4; 23/10; 11/5; ; 23/10; 23/10; 21/10; 23/10; 23/10; 23/10; 27/11; 11/5; 23/10; 12/5; 23/10; 23/10; 9/4; ; 12/5
Levante; 11/4; 5/2; 13/5; 13/5; 57/20; 14/5; 13/5; 11/4; 3; 13/5; 11/4; 13/5; ; 13/5; 14/5; 13/5; 27/10; 45/17; 27/10; 45/17; 56/19; 13/5; 13/5; 27/10; 27/10; 13/5; ; 14/5
META; spain/la-liga-primera/deportivo-la-coruna-v-levante; 2018-01-23 02:14:14 GMT+2; 2018-01-27 12:00; e70300-dr003
Deportivo La Coruna; 1; 21/20; 21/20; 21/20; 109/ 100; 21/20; 21/20; 1; 21/20; 21/20; 1; 21/20; ; 11/10; 21/20; 1; 1; 21/20; 1; 12/11; 21/20; 21/20; 21/20; 1; 21/20; 1; 20/21; 21/20
Draw; 23/10; 12/5; 23/10; 23/10; 129/ 50; 12/5; 23/10; 12/5; 11/5; 23/10; 12/5; 12/5; ; 47/20; 12/5; 9/4; 23/10; 12/5; 23/10; 13/5; 11/5; 12/5; 5/2; 49/20; 12/5; 23/10; 11/5; 5/2
Levante; 11/4; 13/5; 13/5; 13/5; 72/25; 14/5; 13/5; 11/4; 3; 5/2; 11/4; 13/5; ; 13/5; 11/4; 13/5; 27/10; 27/10; 27/10; 5/2; 56/19; 13/5; 13/5; 27/10; 11/4; 13/5; 5/2; 14/5
META; spain/la-liga-primera/deportivo-la-coruna-v-levante; 2018-01-23 17:20:21 GMT+2; 2018-01-27 12:00; e70300-dr003
Deportivo La Coruna; 1; 21/20; 1; 21/20; 21/20; 21/20; 1; 1; 21/20; 21/20; 1; 1; ; 11/10; 1; 19/20; 1; 1; 1; 21/20; 21/20; 1; 1; 1; 1; 20/21; 1; 1
Draw; 23/10; 12/5; 23/10; 23/10; 64/25; 12/5; 12/5; 12/5; 11/5; 12/5; 12/5; 12/5; ; 47/20; 5/2; 9/4; 23/10; 12/5; 23/10; 28/11; 11/5; 12/5; 5/2; 49/20; 27/11; 23/10; 23/10; 5/2
