META; spain/la-liga-primera/barcelona-v-espanyol; 2017-08-25 20:16:26 GMT+3; 2017-09-09 19:45; e70300-dr003
Barcelona; ; ; ; ; ; ; ; ; ; ; ; ; 2/11; ; ; ; ; ; ; 23/100; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; 21/4; ; ; ; ; ; ; 33/5; ; ; ; ; ; ; ; ; 
Espanyol; ; ; ; ; ; ; ; ; ; ; ; ; 16; ; ; ; ; ; ; 13; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/barcelona-v-espanyol; 2017-08-28 14:21:39 GMT+3; 2017-09-09 19:45; e70300-dr003
Barcelona; 1/6; ; ; 1/6; ; ; 1/6; 1/7; ; ; ; 2/11; 1/6; 1/6; 1/5; ; ; ; 3/19; 2/11; 3/19; ; ; ; ; ; 2/13; ; 
Draw; 13/2; ; ; 13/2; ; ; 13/2; 13/2; ; ; ; 11/2; 6; 7; 6; ; ; ; 113/19; 38/5; 6; ; ; ; ; ; 31/5; ; 
Espanyol; 12; ; ; 14; ; ; 16; 14; ; ; ; 14; 16; 16; 12; ; ; ; 53/4; 18; 12; ; ; ; ; ; 71/5; ; 
META; spain/la-liga-primera/barcelona-v-espanyol; 2017-09-04 20:17:02 GMT+3; 2017-09-09 19:45; e70300-dr003
Barcelona; 1/7; 2/11; 1/6; 1/6; ; ; 1/7; 1/8; ; 2/13; 1/7; 1/6; 1/6; 1/7; 1/6; ; ; ; 1/7; 9/50; 2/13; ; ; 1/6; ; ; 1/6; 1/6; 
Draw; 7; 6; 13/2; 13/2; ; ; 15/2; 15/2; ; 6; 6; 13/2; 6; 15/2; 13/2; ; ; ; 13/2; 39/5; 32/5; ; ; 13/2; ; ; 33/5; 34/5; 
Espanyol; 14; 14; 16; 14; ; ; 16; 17; ; 16; 16; 14; 16; 18; 14; ; ; ; 57/4; 35/2; 23/2; ; ; 14; ; ; 19; 35/2; 
META; spain/la-liga-primera/barcelona-v-espanyol; 2017-09-07 19:17:50 GMT+3; 2017-09-09 19:45; e70300-dr003
Barcelona; 1/7; 2/11; 2/11; 1/6; ; ; 1/7; 1/8; ; 1/6; 1/6; 1/6; 1/6; 1/7; 1/6; ; ; ; 1/7; 9/50; 2/11; ; 1/8; 1/6; ; ; 1/6; 1/6; 
Draw; 15/2; 13/2; 6; 13/2; ; ; 15/2; 15/2; ; 13/2; 13/2; 6; 7; 15/2; 13/2; ; ; ; 7; 39/5; 7; ; 8; 13/2; ; ; 37/5; 36/5; 
Espanyol; 18; 12; 15; 14; ; ; 16; 17; ; 18; 18; 14; 14; 18; 14; ; ; ; 33/2; 35/2; 13; ; 16; 14; ; ; 18; 35/2; 
