META; spain/la-liga-primera/las-palmas-v-barcelona; 2018-02-19 16:18:42 GMT+2; 2018-03-01 20:00; e70300-dr003
Barcelona; 1/6; ; ; ; 23/100; 1/5; 1/6; 1/6; 1/5; ; ; 1/5; ; 1/5; 2/9; 2/11; 2/11; 1/5; 1/5; 1/5; 1/5; 1/5; 1/5; 3/16; ; 2/11; ; 
Draw; 11/2; ; ; ; 63/10; 6; 11/2; 6; 6; ; ; 11/2; ; 6; 6; 5; 96/17; 21/4; 53/10; 6; 6; 11/2; 11/2; 57/10; ; 11/2; ; 
Las Palmas; 16; ; ; ; 29/2; 14; 14; 13; 23/2; ; ; 12; ; 13; 10; 12; 45/4; 12; 10; 11; 11; 14; 14; 23/2; ; 64/5; ; 
META; spain/la-liga-primera/las-palmas-v-barcelona; 2018-02-20 12:17:37 GMT+2; 2018-03-01 20:00; e70300-dr003
Barcelona; 1/6; 1/5; ; ; 2/9; 2/11; 2/13; 1/8; 1/5; ; ; 2/11; ; 1/5; 1/5; 2/11; 2/11; 1/5; 2/11; 1/5; 1/5; 2/11; 2/11; 2/11; ; 1/6; ; 
Draw; 11/2; 11/2; ; ; 7; 7; 6; 6; 6; ; ; 6; ; 6; 6; 11/2; 23/4; 21/4; 6; 23/4; 6; 13/2; 11/2; 29/5; ; 32/5; ; 
Las Palmas; 16; 12; ; ; 13; 15; 14; 12; 21/2; ; ; 12; ; 13; 12; 10; 45/4; 12; 10; 21/2; 11; 14; 14; 23/2; ; 69/5; ; 
META; spain/la-liga-primera/las-palmas-v-barcelona; 2018-02-24 12:16:56 GMT+2; 2018-03-01 20:00; e70300-dr003
Barcelona; 1/6; 2/9; 1/5; 1/5; 2/9; 2/11; 1/6; 1/6; 1/5; 1/5; 2/11; 1/5; ; 2/9; 1/5; 2/11; 3/16; 1/5; 2/11; 1/5; 1/5; 2/11; 1/5; 3/16; ; 1/6; ; 
Draw; 11/2; 11/2; 6; 6; 7; 6; 6; 11/2; 6; 6; 6; 11/2; ; 11/2; 6; 11/2; 29/5; 21/4; 6; 23/4; 6; 13/2; 11/2; 76/13; ; 11/2; ; 
Las Palmas; 16; 11; 14; 11; 13; 16; 12; 13; 21/2; 12; 14; 12; ; 12; 12; 10; 47/4; 12; 10; 21/2; 11; 14; 14; 47/4; ; 73/5; ; 
META; spain/la-liga-primera/las-palmas-v-barcelona; 2018-02-27 18:16:02 GMT+2; 2018-03-01 20:00; e70300-dr003
Barcelona; 2/11; 2/9; 1/5; 1/5; 2/9; 1/5; 2/11; 1/6; 1/5; 1/5; ; 1/5; 2/7; 2/11; 2/9; 1/6; 3/14; 1/5; 3/14; 1/5; 2/11; 1/5; 3/14; ; 2/9; 2/9; 2/9
Draw; 13/2; 11/2; 6; 11/2; 67/10; 13/2; 11/2; 6; 32/5; 6; 6; 11/2; 5; 6; 6; 11/2; 23/4; 25/4; 63/10; 6; 13/2; 6; 113/19; ; 29/5; 6; 31/5
Las Palmas; 14; 11; 14; 12; 14; 14; 14; 13; 12; 14; ; 12; 9; 14; 10; 10; 47/4; 23/2; 23/2; 12; 12; 14; 47/4; ; 64/5; 66/5; 64/5
META; spain/la-liga-primera/las-palmas-v-barcelona; 2018-03-01 15:57:47 GMT+2; ; e70300-dr003
Barcelona d w d w d w; 2/11; 1/5; 2/11; 1/5; 11/50; 2/11; 2/11; 1/6; 3/14; 2/11; 2/11; 2/11; 1/5; 1/5; 1/5; 2/11; 1/5; 1/6; 1/5; 1/5; 2/11; 1/5; 1/5; 1/5; 1/5; 2/9
Draw; 13/2; 11/2; 6; 11/2; 36/5; 13/2; 11/2; 6; 13/2; 13/2; 6; 6; 13/2; 6; 29/5; 27/4; 33/5; 6; 13/2; 6; 59/10; 34/5; 7; ; ; 
Las Palmas w l w d l d; 14; 12; 12; 12; 25/2; 15; 14; 14; 23/2; 14; 14; 14; 14; 17; 12; 13; 25/2; 29/2; 13; 23/2; 14; 14; 25/2; 73/5; 76/5; 76/5
META; spain/la-liga-primera/las-palmas-v-barcelona; 2018-03-01 23:00:06 GMT+2; 2018-03-01 20:00; In Play; e70300-dr003
Barcelona; 1/20; 1/20; 1/16; 1/25; 13/200; 1/20; 1/16; 1/33; 1/14; 1/18; 1/25; 1/20; 1/16; 1/16; 1/20; 1/33; 1/25; 1/33; 1/20; 1/20; 1/20; 1/20; 1/12; 1/12; 1/12
Draw; 11; 12; 11; 12; 11; 13; 12; 12; 11; 12; 14; 12; 11; 10; 39/4; 10; 11; 23/2; 12; 11; 11; 11; 66/5; 66/5; 64/5
Las Palmas; 33; 66; 50; 40; 45; 75; 75; 60; 45; 55; 66; 50; 50; 40; 47; 40; 40; 66; 40; 40; 66; 67/2; 61; 68; 
META; spain/la-liga-primera/las-palmas-v-barcelona; 2018-03-02 00:00:03 GMT+2; 2018-03-01 20:00; In Play; e70300-dr003
Draw; 1/16; 1/50; 2/5; 1/4; 1/25; 1/18; 1/22; 1/16; 1/7; 2/9; 1/28; 2/7; 7/20; 1/33; 1/33; 1/33; 5/18; 11; 1/33; 1/33; 3/10
