META; spain/la-liga-primera/sevilla-v-getafe; 2018-01-17 12:26:29 GMT+2; 2018-01-28 17:30; e70300-dr003
Sevilla; 3/5; 8/13; 11/18; 4/6; 33/50; 8/13; 8/13; 4/7; 5/8; 8/13; ; 8/13; ; 13/20; 8/13; 4/7; 8/13; 10/17; 8/13; 4/6; 5/8; 8/13; 8/13; 8/13; 11/18; 4/9; ; 
Draw; 3; 3; 29/10; 14/5; 10/3; 3; 3; 3; 3; 29/10; ; 14/5; ; 3; 3; 14/5; 14/5; 3; 14/5; 29/10; 3; 3; 3; 59/20; 3; 21/10; ; 
Getafe; 17/4; 17/4; 17/4; 4; 9/2; 9/2; 4; 9/2; 4; 21/5; ; 4; ; 17/4; 9/2; 4; 17/4; 41/10; 17/4; 17/5; 39/10; 17/4; 22/5; 17/4; 54/13; 3; ; 
META; spain/la-liga-primera/sevilla-v-getafe; 2018-01-18 18:19:40 GMT+2; 2018-01-28 17:30; e70300-dr003
Sevilla; 3/5; 8/13; 11/18; 4/6; 33/50; 8/13; 8/13; 4/7; 5/8; 8/13; ; 8/13; ; 13/20; 8/13; 4/7; 8/13; 10/17; 8/13; 4/6; 5/8; 8/13; 8/13; 8/13; 11/18; 4/9; ; 
Draw; 3; 3; 29/10; 14/5; 10/3; 3; 3; 3; 3; 29/10; ; 14/5; ; 3; 3; 14/5; 14/5; 3; 14/5; 29/10; 3; 3; 3; 59/20; 3; 21/10; ; 
Getafe; 17/4; 17/4; 17/4; 4; 9/2; 9/2; 4; 9/2; 4; 21/5; ; 4; ; 17/4; 9/2; 4; 17/4; 41/10; 17/4; 17/5; 39/10; 17/4; 22/5; 17/4; 54/13; 3; ; 
META; spain/la-liga-primera/sevilla-v-getafe; 2018-01-19 12:15:55 GMT+2; 2018-01-28 17:30; e70300-dr003
Sevilla; 3/5; 8/13; 11/18; 4/6; 33/50; 8/13; 8/13; 4/7; 5/8; 8/13; ; 8/13; ; 13/20; 8/13; 4/7; 8/13; 10/17; 8/13; 11/17; 5/8; 8/13; 8/13; 8/13; 11/18; ; 4/9; ; 
Draw; 3; 3; 29/10; 14/5; 10/3; 3; 3; 3; 3; 29/10; ; 3; ; 3; 3; 14/5; 14/5; 3; 14/5; 29/10; 3; 3; 31/10; 59/20; 3; ; 21/10; ; 
Getafe; 17/4; 17/4; 17/4; 4; 9/2; 9/2; 4; 9/2; 4; 21/5; ; 4; ; 17/4; 9/2; 4; 17/4; 41/10; 17/4; 39/11; 39/10; 17/4; 22/5; 17/4; 54/13; ; 3; ; 
META; spain/la-liga-primera/sevilla-v-getafe; 2018-01-22 12:14:59 GMT+2; 2018-01-28 17:30; e70300-dr003
