META; spain/la-liga-primera/eibar-v-espanyol; 2017-12-01 18:24:18 GMT+2; 2017-12-03 17:30; e70300-dr003
Eibar; 11/8; 13/10; 13/10; 7/5; 7/5; 11/8; 11/8; 13/10; 23/17; 13/10; 11/8; 13/10; 11/10; 27/20; 13/10; 11/8; 7/5; 23/17; 141/100; 9/7; 4/3; 13/10; 13/10; 27/20; 23/17; ; 13/10; 13/10; 11/8
Draw; 21/10; 21/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; 11/5; 21/10; 11/5; 21/10; 23/10; 43/20; 11/5; 21/10; 21/10; 28/13; 9/4; 11/5; 28/13; 2; 11/5; 11/5; 28/13; ; 19/10; 2; 11/5
Espanyol; 23/10; 23/10; 9/4; 21/10; 11/5; 23/10; 11/5; 9/4; 23/10; 23/10; 23/10; 9/4; 5/2; 23/10; 23/10; 23/10; 11/5; 9/4; 121/50; 12/5; 9/4; 23/10; 23/10; 9/4; 23/10; ; 21/10; 21/10; 12/5
