META; spain/la-liga-primera/las-palmas-v-espanyol; 2017-12-07 10:55:32 GMT+2; 2017-12-17 17:30; e70300-dr003
Las Palmas; 29/20; ; 6/4; 6/4; 7/5; 31/20; 6/4; 6/4; 8/5; 29/20; ; 29/20; ; 6/4; 8/5; ; 7/5; 16/11; 159/100; 19/13; 8/5; 6/4; 6/4; 29/20; 16/11; ; 21/20; ; 
Espanyol; 15/8; ; 9/5; 9/5; 24/13; 15/8; 9/5; 9/5; 17/10; 9/5; ; 9/5; ; 37/20; 7/4; ; 24/13; 9/5; 39/20; 11/6; 17/10; 9/5; 9/5; 37/20; 9/5; ; 7/5; ; 
Draw; 9/4; ; 9/4; 23/10; 23/10; 12/5; 9/4; 23/10; 9/4; 11/5; ; 23/10; ; 23/10; 23/10; ; 23/10; 9/4; 49/20; 12/5; 9/4; 23/10; 12/5; 23/10; 9/4; ; 9/5; ; 
META; spain/la-liga-primera/las-palmas-v-espanyol; 2017-12-08 12:13:44 GMT+2; 2017-12-17 17:30; e70300-dr003
Las Palmas; 29/20; 6/4; 6/4; 6/4; 7/5; 31/20; 6/4; 6/4; 8/5; 29/20; ; 29/20; ; 6/4; 8/5; ; 7/5; 16/11; 159/100; 19/13; 8/5; 6/4; 6/4; 29/20; 16/11; ; 6/5; ; 
Espanyol; 15/8; 9/5; 9/5; 9/5; 24/13; 15/8; 9/5; 9/5; 17/10; 9/5; ; 9/5; ; 37/20; 7/4; ; 24/13; 9/5; 39/20; 11/6; 17/10; 9/5; 9/5; 37/20; 9/5; ; 6/4; ; 
Draw; 9/4; 23/10; 9/4; 23/10; 23/10; 12/5; 9/4; 23/10; 9/4; 11/5; ; 23/10; ; 23/10; 23/10; ; 23/10; 9/4; 49/20; 12/5; 9/4; 23/10; 12/5; 23/10; 9/4; ; 9/5; ; 
META; spain/la-liga-primera/las-palmas-v-espanyol; 2017-12-11 18:13:55 GMT+2; 2017-12-17 17:30; e70300-dr003
Las Palmas; 29/20; 6/4; ; 6/4; 7/5; 6/4; 6/4; 6/4; 17/11; 6/4; 6/4; 31/20; ; 31/20; 8/5; ; 7/5; 6/4; 41/25; 19/13; 17/11; 6/4; 6/4; 29/20; 17/11; ; 7/5; 7/5; 13/8
Espanyol; 15/8; 9/5; ; 9/5; 24/13; 15/8; 9/5; 9/5; 9/5; 7/4; 15/8; 7/4; ; 37/20; 7/4; ; 24/13; 9/5; 191/100; 11/6; 9/5; 9/5; 9/5; 37/20; 9/5; ; 7/4; 13/8; 15/8
Draw; 9/4; 23/10; ; 23/10; ; 23/10; 9/4; 23/10; 23/10; 11/5; 12/5; 23/10; ; 23/10; 23/10; ; 23/10; 9/4; 121/50; 12/5; 23/10; 23/10; 12/5; 23/10; 9/4; ; 21/10; 2; 12/5
META; spain/la-liga-primera/las-palmas-v-espanyol; 2017-12-12 10:58:25 GMT+2; 2017-12-17 17:30; e70300-dr003
Las Palmas; 29/20; 7/5; 16/11; ; 7/5; 6/4; 29/20; 6/4; 17/11; 29/20; 6/4; 6/4; ; 6/4; 6/4; ; 7/5; 16/11; 157/100; 13/9; 17/11; 6/4; 29/20; 29/20; 6/4; ; 7/5; 11/8; 
Espanyol; 15/8; 15/8; 28/15; ; 24/13; 15/8; 7/4; 9/5; 9/5; 9/5; 19/10; 15/8; ; 19/10; 15/8; ; 24/13; 24/13; 99/50; 19/10; 9/5; 9/5; 15/8; 37/20; 24/13; ; 7/4; 7/4; 
Draw; 9/4; 23/10; ; ; ; 23/10; 9/4; 23/10; 23/10; 11/5; 12/5; 9/4; ; 23/10; 23/10; ; 23/10; 9/4; 61/25; 12/5; 23/10; 23/10; 12/5; 23/10; 9/4; ; 9/5; 2; 
