META; spain/la-liga-primera/barcelona-v-celta-vigo; 2017-12-01 18:24:02 GMT+2; 2017-12-02 12:00; e70300-dr003
Barcelona; 1/8; 1/8; 1/8; 1/7; 1/9; 1/8; 1/9; 1/7; 1/8; 2/15; 1/8; 1/8; 1/10; 1/7; 1/7; 1/7; 1/9; 1/8; 7/50; 1/7; 2/17; 2/15; 1/8; 2/15; 1/8; ; 2/15; 1/7; 1/7
Draw; 9; 15/2; 8; 13/2; 35/4; 17/2; 9; 7; 9; 8; 9; 15/2; 10; 17/2; 8; 8; 35/4; 31/4; 10; 41/5; 17/2; 8; 9; 8; 8; ; 10; 48/5; 49/5
Celta Vigo; 16; 16; 22; 16; 20; 22; 16; 16; 17; 22; 18; 16; 16; 20; 12; 16; 20; 65/4; 20; 17; 17; 14; 22; 18; 33/2; ; 21; 20; 20
