META; spain/la-liga-primera/barcelona-v-real-sociedad; 2018-05-15 10:48:09 GMT+3; 2018-05-20 19:45; e70300-dr003
Barcelona; 2/11; 1/4; 1/5; 23/00; 1/5; 2/11; 1/7; 2/9; 1/5; 1/5; 1/5; 1/5; 2/9; 1/5; 3/14; 2/9; 2/11; 3/14; 1/5; 1/5; 2/9; 2/9
Draw; 6; 11/2; 13/2; 34/5; 13/2; 13/2; 6; 13/2; 6; 6; 13/2; 25/4; 34/5; 13/2; 13/2; 25/4; 33/5; 29/5; 31/5; 33/5; ; 
Real Sociedad; 12; 12; 41/4; 12; 10; 10; 19/2; 12; 11; 11; 11; 19/2; 19/2; 9; 12; 19/2; 52/5; 46/5; 44/5; 49/5; ; 
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2018-05-16 16:14:21 GMT+3; 2018-05-20 19:45; e70300-dr003
Barcelona; 1/5; 2/9; 2/9; 2/9; 23/00; 1/5; 2/11; 1/6; 3/13; 1/5; 1/5; 2/9; 1/4; 2/9; 2/9; 2/9; 2/11; 3/13; 3/13; 1/5; 2/9; 2/9; 2/9; 1/4; 2/9
Draw; 6; 6; 69/10; 13/2; 13/2; 6; 13/2; 6; 13/2; 6; 6; 13/2; 13/2; 13/2; 13/2; 6; 13/2; 13/2; 31/5; 27/5; 32/5; 34/5; ; ; 
Real Sociedad; 10; 9; 10; 10; 19/2; 10; 17/2; 10; 10; 15/2; 10; 19/2; 21/2; 83/10; 17/2; 11; 19/2; 52/5; 42/5; 46/5; 59/5; ; ; ; 
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2018-05-17 12:12:23 GMT+3; 2018-05-20 19:45; e70300-dr003
Barcelona; 1/5; 2/9; 1/5; 2/9; 23/00; 1/5; 2/11; 1/6; 3/13; 1/5; 1/5; 1/5; 1/4; 1/5; 2/9; 3/14; 3/16; 2/9; 3/13; 2/11; 3/14; 1/5; 2/9; 1/4; 1/4
Draw; 6; 6; 69/10; 13/2; 13/2; 6; 13/2; 13/2; 13/2; 6; 6; 13/2; 13/2; 25/4; 33/5; 6; 13/2; 13/2; 6; 32/5; 33/5; ; ; ; 
Real Sociedad; 10; 10; 10; 10; 19/2; 10; 10; 10; 10; 15/2; 11; 39/4; 10; 87/10; 17/2; 12; 39/4; 52/5; 46/5; 46/5; 56/5; ; ; ; 
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2018-05-19 12:10:46 GMT+3; 2018-05-20 19:45; e70300-dr003
Barcelona; 2/9; 1/4; 2/9; 1/4; 1/4; 1/5; 2/9; 1/6; 1/4; 2/9; 2/9; 2/9; 2/9; 2/9; 1/4; 3/13; 2/9; 1/4; 4/17; 2/9; 3/13; 2/9; 1/4; 1/4; 1/4; 1/4
Draw; 6; 11/2; 6; 67/10; 13/2; 6; 13/2; 6; 6; 11/2; 6; 13/2; 25/4; 25/4; 32/5; 6; 13/2; 25/4; 6; 31/5; 32/5; 29/5; ; ; ; 
Real Sociedad; 10; 17/2; 10; 89/10; 10; 17/2; 10; 42/5; 17/2; 9; 8; 11; 15/2; 17/2; 19/2; 83/10; 8; 21/2; 35/4; 8; 49/5; 49/5; 51/5; ; ; 
