META; spain/la-liga-primera/eibar-v-real-madrid; 2018-03-01 15:58:29 GMT+2; ; e70300-dr003
Real Madrid; 2/5; 4/9; 12/25; 4/9; 2/5; 2/5; 4/9; 4/9; 9/20; 4/9; 3/7; 5/12; 4/9; 9/20; 9/20; 4/9; 2/5
Draw; 15/4; 7/2; 21/5; 18/5; 15/4; 10/3; 17/5; 7/2; 15/4; 15/4; 39/11; 15/4; 62/17; 15/4; 7/2; 18/5; 
Eibar; 6; 11/2; 29/5; 6; 11/2; 5; 11/2; 11/2; 11/2; 11/2; 21/4; 11/2; 47/10; 11/2; 11/2; 53/10; 11/2
META; spain/la-liga-primera/eibar-v-real-madrid; 2018-03-02 08:19:35 GMT+2; 2018-03-10 12:00; e70300-dr003
Real Madrid; 2/5; 4/9; 12/25; 4/9; 4/9; 2/5; 4/9; 4/9; 9/20; 4/9; 5/11; 5/12; 4/9; 9/20; 9/20; 5/11; 2/5
Draw; 15/4; 17/5; 21/5; 18/5; 15/4; 10/3; 17/5; 10/3; 15/4; 7/2; 39/11; 15/4; 62/17; 19/5; 7/2; 39/11; 
Eibar; 6; 11/2; 29/5; 6; 11/2; 5; 11/2; 6; 11/2; 6; 96/19; 11/2; 47/10; 11/2; 11/2; 51/10; 11/2
META; spain/la-liga-primera/eibar-v-real-madrid; 2018-03-02 13:58:43 GMT+2; 2018-03-10 12:00; e70300-dr003
Real Madrid; 2/5; 4/9; 12/25; 4/9; 2/5; 4/9; 4/9; 9/20; 4/9; 7/15; 5/12; 4/9; 9/20; 12/25; 7/15; 2/5; 
Draw; 15/4; 17/5; 21/5; 18/5; 7/2; 10/3; 17/5; 10/3; 15/4; 7/2; 38/11; 15/4; 62/17; 19/5; 7/2; 39/11; 3
Eibar; 6; 11/2; 29/5; 6; 11/2; 6; 11/2; 6; 49/10; 11/2; 47/10; 11/2; 21/4; 5; 11/2; ; 
META; spain/la-liga-primera/eibar-v-real-madrid; 2018-03-03 12:18:00 GMT+2; 2018-03-10 12:00; e70300-dr003
