META; spain/la-liga-primera/betis-v-real-madrid; 2018-02-05 12:46:20 GMT+2; 2018-02-18 19:45; e70300-dr003
Real Madrid; 2/7; 1/3; 3/10; ; 4/11; ; ; ; ; 3/10; ; ; ; 1/3; 1/3; 1/3; 1/3; 10/29; 3/10; ; ; 3/10; 3/10; 1/3; ; ; ; 
Draw; 9/2; 4; 9/2; ; 47/10; ; ; ; ; 9/2; ; ; ; 9/2; 19/4; 9/2; 74/17; 4; 47/10; ; ; 19/4; 19/4; 22/5; ; ; ; 
Betis; 17/2; 7; 15/2; ; 42/5; ; ; ; ; 15/2; ; ; ; 7; 7; 15/2; 25/4; 7; 63/10; ; ; 8; 15/2; 25/4; ; ; ; 
META; spain/la-liga-primera/betis-v-real-madrid; 2018-02-07 14:15:16 GMT+2; 2018-02-18 19:45; e70300-dr003
Real Madrid; 2/7; 1/3; 1/3; 1/3; 4/11; 3/10; 3/10; 2/7; 1/3; 3/10; ; 1/3; ; 1/3; 1/3; 1/3; 1/3; 3/10; 3/10; 1/3; ; 3/10; 3/10; 1/3; ; ; ; 
Draw; 9/2; 19/4; 9/2; 9/2; 47/10; 5; 9/2; 9/2; 24/5; 9/2; ; 4; ; 9/2; 19/4; 9/2; 49/11; 17/4; 47/10; 24/5; ; 19/4; 19/4; 9/2; ; ; ; 
Betis; 17/2; 13/2; 15/2; 7; 42/5; 15/2; 7; 15/2; 23/4; 15/2; ; 15/2; ; 7; 7; 15/2; 25/4; 33/4; 63/10; 23/4; ; 8; 7; 25/4; ; ; ; 
META; spain/la-liga-primera/betis-v-real-madrid; 2018-02-12 20:48:47 GMT+2; 2018-02-18 19:45; e70300-dr003
Real Madrid; 2/7; 3/10; 3/10; 1/3; 17/50; 3/10; 3/10; 1/4; 3/10; 3/10; 2/7; 3/10; ; 3/10; 1/3; 3/10; 5/18; 5/18; 6/19; 3/10; 3/10; 2/7; 2/7; 2/7; ; ; 1/4; 3/10
Draw; 9/2; 19/4; 24/5; 9/2; 26/5; 11/2; 19/4; 5; 24/5; 19/4; 5; 9/2; ; 19/4; 19/4; 9/2; 24/5; 9/2; 26/5; 24/5; 21/4; 21/4; 5; 63/13; ; ; 4; 26/5
Betis; 8; 13/2; 15/2; 7; 83/10; 8; 7; 15/2; 15/2; 15/2; 15/2; 15/2; ; 15/2; 7; 15/2; 31/4; 33/4; 36/5; 15/2; 7; 8; 8; 31/4; ; ; 7; 17/2
META; spain/la-liga-primera/betis-v-real-madrid; 2018-02-16 18:37:51 GMT+2; 2018-02-18 19:45; e70300-dr003
Real Madrid; 1/3; 1/3; 1/3; 1/3; 7/20; 3/10; 1/3; 2/7; 4/13; 4/11; 3/10; 1/3; 4/11; 4/11; 7/20; 1/3; 10/29; 10/29; 7/19; 3/10; 1/3; 1/3; 1/3; 10/29; ; 1/3; 4/11; 1/3
Draw; 19/4; 19/4; 9/2; 9/2; 26/5; 5; 19/4; 9/2; 24/5; 9/2; 5; 9/2; 17/4; 19/4; 5; 9/2; 79/17; 9/2; 5; 24/5; 5; 19/4; 5; 47/10; ; 24/5; 7/2; 26/5
Betis; 7; 13/2; 13/2; 7; 79/10; 15/2; 7; 15/2; 15/2; 13/2; 7; 13/2; 13/2; 7; 6; 7; 27/4; 29/4; 29/5; 15/2; 6; 7; 7; 27/4; ; 34/5; 31/5; 36/5
